NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	79	2.976550817489624	0.03347405	No	
row_1	BID	437	2.366011619567871	0.04495118	No	
row_2	COX10	3009	1.3696037530899048	-0.07000276	No	
row_3	NDUFC1	3012	1.368943452835083	-0.052842	No	
row_4	COA6	3118	1.3418670892715454	-0.041319963	No	
row_5	NDUFA12	4291	1.095149278640747	-0.087784804	No	
row_6	UQCC3	5179	0.9388993978500366	-0.121562615	No	
row_7	NDUFAF1	5202	0.9350429773330688	-0.11090233	No	
row_8	COX5A	5683	0.8524172306060791	-0.12483886	No	
row_9	COX6A2	6341	0.7511143684387207	-0.14915596	No	
row_10	DLD	6708	0.6957516670227051	-0.1592052	No	
row_11	COX4I1	7133	0.6287633180618286	-0.17308213	No	
row_12	CCNB1	7301	0.6021182537078857	-0.17407764	No	
row_13	TAZ	7314	0.6010346412658691	-0.16711521	No	
row_14	NDUFB11	7349	0.5951240658760071	-0.16135877	No	
row_15	NDUFA7	7394	0.5876705050468445	-0.15621062	No	
row_16	NDUFA4	7828	0.519221305847168	-0.17193185	No	
row_17	CDK1	7920	0.5049048066139221	-0.17024465	No	
row_18	NDUFA8	9905	0.19636885821819305	-0.26980487	No	
row_19	NDUFS1	9964	0.18794101476669312	-0.2704177	No	
row_20	NDUFS2	10226	0.1482609361410141	-0.28197116	No	
row_21	NDUFA10	10305	0.13600701093673706	-0.28426751	No	
row_22	NDUFS3	10651	0.07962581515312195	-0.30100662	No	
row_23	NDUFS8	10657	0.07902790606021881	-0.30026716	No	
row_24	NDUFA11	10983	0.024914124980568886	-0.31666762	No	
row_25	COX6A1	11326	-0.02894424833357334	-0.33389157	No	
row_26	NDUFV1	11329	-0.0290560070425272	-0.33362803	No	
row_27	NDUFA13	12618	-0.24099589884281158	-0.39683035	No	
row_28	NDUFS7	13000	-0.30771687626838684	-0.41254452	No	
row_29	COX5B	13063	-0.31676390767097473	-0.41173846	No	
row_30	COX15	13148	-0.32930275797843933	-0.41190577	No	
row_31	COX7B	13154	-0.3300728499889374	-0.40800038	No	
row_32	NDUFA2	13322	-0.36559101939201355	-0.41197872	No	
row_33	SDHA	13324	-0.36576056480407715	-0.4074176	No	
row_34	SNCA	13327	-0.3662189245223999	-0.4029021	No	
row_35	COQ9	13465	-0.38715872168540955	-0.40506554	No	
row_36	UQCRC2	13945	-0.46866777539253235	-0.42379007	No	
row_37	SDHD	14106	-0.4970802068710327	-0.4257502	No	
row_38	COX7A2L	14187	-0.5109249353408813	-0.42342135	No	
row_39	COX4I2	14255	-0.525601863861084	-0.42023882	No	
row_40	CYC1	14469	-0.566532552242279	-0.42404887	No	
row_41	DNAJC15	15008	-0.6777653694152832	-0.44317085	Yes	
row_42	NDUFB2	15054	-0.6855888366699219	-0.43683928	Yes	
row_43	CYCS	15132	-0.7024645209312439	-0.43194067	Yes	
row_44	NDUFB4	15338	-0.746627926826477	-0.4330681	Yes	
row_45	NDUFA9	15418	-0.7579155564308167	-0.42757306	Yes	
row_46	NDUFA6	15538	-0.7844932675361633	-0.42380002	Yes	
row_47	NDUFB8	15838	-0.8541461229324341	-0.42840597	Yes	
row_48	NDUFB9	15877	-0.8615499138832092	-0.41949537	Yes	
row_49	NDUFB6	16109	-0.9065741300582886	-0.41994292	Yes	
row_50	UQCRHL	16253	-0.9351850748062134	-0.41550383	Yes	
row_51	UQCRB	16354	-0.9566283226013184	-0.40858287	Yes	
row_52	COX8A	16561	-1.0084459781646729	-0.40646	Yes	
row_53	UQCR11	16639	-1.026856780052185	-0.39747047	Yes	
row_54	PINK1	16642	-1.0274466276168823	-0.38461632	Yes	
row_55	UQCR10	16683	-1.0374865531921387	-0.37358984	Yes	
row_56	COX6B1	16803	-1.0697294473648071	-0.36621973	Yes	
row_57	NDUFS5	16952	-1.106622576713562	-0.35987583	Yes	
row_58	NDUFB10	17000	-1.1143889427185059	-0.34823957	Yes	
row_59	NDUFB7	17170	-1.1578303575515747	-0.3423299	Yes	
row_60	UQCRH	17404	-1.2309191226959229	-0.33879003	Yes	
row_61	UQCRFS1	17488	-1.2546550035476685	-0.32723635	Yes	
row_62	NDUFA3	17642	-1.3079420328140259	-0.3186108	Yes	
row_63	MECP2	18008	-1.4331880807876587	-0.31930885	Yes	
row_64	NDUFA5	18097	-1.4723941087722778	-0.30526644	Yes	
row_65	NDUFB5	18108	-1.4773997068405151	-0.28714937	Yes	
row_66	ISCU	18192	-1.5088828802108765	-0.27238968	Yes	
row_67	UQCRQ	18279	-1.5511232614517212	-0.25725156	Yes	
row_68	NDUFS4	18436	-1.6118983030319214	-0.2449471	Yes	
row_69	COX6C	18687	-1.7438887357711792	-0.23581253	Yes	
row_70	PARK7	18722	-1.7717393636703491	-0.2152179	Yes	
row_71	NDUFS6	18748	-1.783010482788086	-0.19401826	Yes	
row_72	NDUFA1	18963	-1.92593514919281	-0.18073644	Yes	
row_73	NDUFV3	18992	-1.9541306495666504	-0.15753312	Yes	
row_74	NDUFB1	19018	-1.9792943000793457	-0.13385817	Yes	
row_75	COX7C	19050	-2.001753568649292	-0.11020857	Yes	
row_76	SDHAF2	19066	-2.015925884246826	-0.085557364	Yes	
row_77	NDUFB3	19093	-2.040670156478882	-0.061159838	Yes	
row_78	SDHC	19188	-2.132641077041626	-0.0390997	Yes	
row_79	NDUFV2	19233	-2.1880693435668945	-0.013769073	Yes	
row_80	NDUFAB1	19289	-2.274531841278076	0.012086197	Yes	
