NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLOC1S3	752	2.1125571727752686	-0.0017812476	No	
row_1	KIF4A	1597	1.7513431310653687	-0.014588327	No	
row_2	AP3B2	1618	1.7441595792770386	0.014805167	No	
row_3	SPAST	2546	1.4716928005218506	-0.0071428516	No	
row_4	TRIM46	3315	1.298547387123108	-0.023943543	No	
row_5	KIF5C	5536	0.875119686126709	-0.122713394	No	
row_6	SPG7	5784	0.8366559743881226	-0.12080832	No	
row_7	KIF1A	7629	0.5488111972808838	-0.20595574	No	
row_8	DLG2	7862	0.5149582028388977	-0.20889108	No	
row_9	BLOC1S4	8031	0.4882443845272064	-0.20900488	No	
row_10	MAP1A	8181	0.46390751004219055	-0.20856722	No	
row_11	FBXW11	8890	0.3563605844974518	-0.2387191	No	
row_12	RAB27B	9283	0.2911626100540161	-0.2537764	No	
row_13	SNAPIN	9498	0.256168931722641	-0.26030082	No	
row_14	KIF1B	9502	0.255278617143631	-0.25600246	No	
row_15	KIF1C	9535	0.25015994906425476	-0.253283	No	
row_16	NEFL	9760	0.21869832277297974	-0.26097465	No	
row_17	KIF5B	9794	0.21361465752124786	-0.25894395	No	
row_18	AP3S2	10628	0.08349039405584335	-0.30027592	No	
row_19	DTNBP1	10915	0.03536868095397949	-0.3143498	No	
row_20	DST	11345	-0.031277090311050415	-0.33584043	No	
row_21	AGBL4	11474	-0.05113246291875839	-0.3415235	No	
row_22	BLOC1S6	12288	-0.18274283409118652	-0.38009703	No	
row_23	BLOC1S5	12561	-0.23218277096748352	-0.39001906	No	
row_24	MAPT	13071	-0.31769102811813354	-0.4106235	No	
row_25	TMEM108	13164	-0.33216458559036255	-0.40955573	No	
row_26	RANGAP1	13344	-0.37024810910224915	-0.41229263	No	
row_27	AP3S1	14102	-0.4963534474372864	-0.44251978	No	
row_28	RAB21	15057	-0.6864988803863525	-0.47954968	Yes	
row_29	AP3M1	15235	-0.7219163775444031	-0.4760502	Yes	
row_30	NDEL1	15300	-0.7364583015441895	-0.46649268	Yes	
row_31	BLOC1S1	15368	-0.7508545517921448	-0.45683816	Yes	
row_32	ZC3H14	16044	-0.8925038576126099	-0.4759438	Yes	
row_33	KIF3B	16172	-0.9185603260993958	-0.46644622	Yes	
row_34	PAFAH1B1	16173	-0.9190247654914856	-0.450417	Yes	
row_35	TRAK2	16575	-1.0122510194778442	-0.45335972	Yes	
row_36	TERF2	16623	-1.0230735540390015	-0.43792996	Yes	
row_37	ARL8A	16781	-1.0635377168655396	-0.42744476	Yes	
row_38	HAP1	16926	-1.1011292934417725	-0.41563612	Yes	
row_39	DYNC1H1	17074	-1.130959153175354	-0.4034613	Yes	
row_40	ARL8B	17438	-1.2416166067123413	-0.40045157	Yes	
row_41	MGARP	17666	-1.315463662147522	-0.38916802	Yes	
row_42	OPA1	17797	-1.353982925415039	-0.3722301	Yes	
row_43	UCHL1	17824	-1.3653331995010376	-0.34975213	Yes	
row_44	KIF5A	18331	-1.5730286836624146	-0.34830746	Yes	
row_45	AP3B1	18439	-1.613208293914795	-0.32566684	Yes	
row_46	MAPK8IP3	18463	-1.6266181468963623	-0.29847753	Yes	
row_47	AP3M2	18491	-1.640966773033142	-0.27124345	Yes	
row_48	HIF1A	18507	-1.6472749710083008	-0.24328294	Yes	
row_49	SOD1	18731	-1.773688793182373	-0.22380178	Yes	
row_50	ACTR10	18956	-1.9211151599884033	-0.20180064	Yes	
row_51	KIF3A	18975	-1.9311070442199707	-0.16904376	Yes	
row_52	HSPB1	19084	-2.0310981273651123	-0.13916586	Yes	
row_53	BLOC1S2	19239	-2.193974494934082	-0.108809985	Yes	
row_54	AP3D1	19253	-2.2158901691436768	-0.07082922	Yes	
row_55	SYBU	19288	-2.27264404296875	-0.032937273	Yes	
row_56	TRAK1	19425	-2.580528736114502	0.0050852867	Yes	
