NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLOC1S3	752	2.1125571727752686	-0.008046697	No	
row_1	KIF4A	1597	1.7513431310653687	-0.026055504	No	
row_2	AP3B2	1618	1.7441595792770386	-0.0018142366	No	
row_3	WASF1	2025	1.6203703880310059	7.929236E-4	No	
row_4	SPAST	2546	1.4716928005218506	-0.004613624	No	
row_5	APBA1	3119	1.3418073654174805	-0.014574779	No	
row_6	TRIM46	3315	1.298547387123108	-0.005784631	No	
row_7	KIF5C	5536	0.875119686126709	-0.107215434	No	
row_8	SPG7	5784	0.8366559743881226	-0.10778997	No	
row_9	FLOT2	5787	0.8364266753196716	-0.09577467	No	
row_10	KIF17	5831	0.8308554291725159	-0.08594752	No	
row_11	KIF1A	7629	0.5488111972808838	-0.17036338	No	
row_12	DLG2	7862	0.5149582028388977	-0.17482765	No	
row_13	BLOC1S4	8031	0.4882443845272064	-0.1763893	No	
row_14	MAP1A	8181	0.46390751004219055	-0.17732693	No	
row_15	FBXW11	8890	0.3563605844974518	-0.20855568	No	
row_16	RAB27B	9283	0.2911626100540161	-0.2244864	No	
row_17	SNAPIN	9498	0.256168931722641	-0.23177478	No	
row_18	KIF1B	9502	0.255278617143631	-0.22823052	No	
row_19	KIF1C	9535	0.25015994906425476	-0.22625104	No	
row_20	NEFL	9760	0.21869832277297974	-0.2345963	No	
row_21	KIF5B	9794	0.21361465752124786	-0.23319767	No	
row_22	FEZ1	10061	0.1731993854045868	-0.24436095	No	
row_23	AP3S2	10628	0.08349039405584335	-0.27224413	No	
row_24	CNIH2	10763	0.062095798552036285	-0.2782322	No	
row_25	BORCS5	10768	0.06171513721346855	-0.27754366	No	
row_26	DTNBP1	10915	0.03536868095397949	-0.28453574	No	
row_27	DST	11345	-0.031277090311050415	-0.30613348	No	
row_28	AGBL4	11474	-0.05113246291875839	-0.31197196	No	
row_29	BLOC1S6	12288	-0.18274283409118652	-0.35111314	No	
row_30	BLOC1S5	12561	-0.23218277096748352	-0.36173028	No	
row_31	APP	12816	-0.27499663829803467	-0.3708019	No	
row_32	MAPT	13071	-0.31769102811813354	-0.379255	No	
row_33	HNRNPU	13111	-0.3233284056186676	-0.37657526	No	
row_34	TMEM108	13164	-0.33216458559036255	-0.3744357	No	
row_35	AP3S1	14102	-0.4963534474372864	-0.41540697	No	
row_36	RAB21	15057	-0.6864988803863525	-0.45449728	No	
row_37	AP3M1	15235	-0.7219163775444031	-0.45313612	No	
row_38	SFPQ	15284	-0.7331166863441467	-0.444982	No	
row_39	NDEL1	15300	-0.7364583015441895	-0.43508324	No	
row_40	BLOC1S1	15368	-0.7508545517921448	-0.42764875	No	
row_41	KIF3B	16172	-0.9185603260993958	-0.45561543	Yes	
row_42	PAFAH1B1	16173	-0.9190247654914856	-0.44230065	Yes	
row_43	TRAK2	16575	-1.0122510194778442	-0.4482469	Yes	
row_44	TERF2	16623	-1.0230735540390015	-0.4358405	Yes	
row_45	KLC3	16774	-1.0616945028305054	-0.42816883	Yes	
row_46	ARL8A	16781	-1.0635377168655396	-0.41306874	Yes	
row_47	HAP1	16926	-1.1011292934417725	-0.40451735	Yes	
row_48	PURA	17071	-1.130364179611206	-0.39554238	Yes	
row_49	DYNC1H1	17074	-1.130959153175354	-0.3792599	Yes	
row_50	ARL8B	17438	-1.2416166067123413	-0.3799299	Yes	
row_51	MGARP	17666	-1.315463662147522	-0.3725395	Yes	
row_52	OPA1	17797	-1.353982925415039	-0.35960516	Yes	
row_53	UCHL1	17824	-1.3653331995010376	-0.3411607	Yes	
row_54	MAP2	17934	-1.4024989604949951	-0.32644406	Yes	
row_55	HSPA8	18206	-1.5150094032287598	-0.31842425	Yes	
row_56	KIF5A	18331	-1.5730286836624146	-0.302008	Yes	
row_57	SPG11	18358	-1.5837914943695068	-0.28039855	Yes	
row_58	AP3B1	18439	-1.613208293914795	-0.26113853	Yes	
row_59	MAPK8IP3	18463	-1.6266181468963623	-0.23875439	Yes	
row_60	AP3M2	18491	-1.640966773033142	-0.21636797	Yes	
row_61	HIF1A	18507	-1.6472749710083008	-0.19327337	Yes	
row_62	SOD1	18731	-1.773688793182373	-0.17903861	Yes	
row_63	ACTR10	18956	-1.9211151599884033	-0.16271937	Yes	
row_64	KIF3A	18975	-1.9311070442199707	-0.1356668	Yes	
row_65	HSPB1	19084	-2.0310981273651123	-0.11179165	Yes	
row_66	BLOC1S2	19239	-2.193974494934082	-0.08792118	Yes	
row_67	AP3D1	19253	-2.2158901691436768	-0.0564857	Yes	
row_68	SYBU	19288	-2.27264404296875	-0.025307389	Yes	
row_69	TRAK1	19425	-2.580528736114502	0.0050886674	Yes	
