NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK13	9094	0.320768266916275	-0.4470205	No	
row_1	GTF2H3	9491	0.25804603099823	-0.4518621	No	
row_2	GTF2H5	10321	0.13340911269187927	-0.48637077	No	
row_3	CDK12	10533	0.09982433170080185	-0.4912075	No	
row_4	GTF2H1	12132	-0.15693581104278564	-0.5637324	No	
row_5	GTF2H4	12263	-0.1783231645822525	-0.55971307	No	
row_6	CCNK	12469	-0.2169601321220398	-0.557224	No	
row_7	GTF2H2	12599	-0.2368733137845993	-0.5496453	No	
row_8	RB1	13369	-0.3741195797920227	-0.56665564	No	
row_9	ERCC2	13732	-0.4324643313884735	-0.55930376	No	
row_10	GTF2H2C_2	14070	-0.49118173122406006	-0.5471521	No	
row_11	SNW1	16339	-0.9549134373664856	-0.60621613	Yes	
row_12	CCNT2	17200	-1.1680201292037964	-0.5803251	Yes	
row_13	CCNT1	17400	-1.2294307947158813	-0.516866	Yes	
row_14	MMS19	18060	-1.4513204097747803	-0.46369597	Yes	
row_15	ERCC3	18140	-1.4904497861862183	-0.37844554	Yes	
row_16	CCNH	18226	-1.5239888429641724	-0.29149324	Yes	
row_17	CDK7	18277	-1.5502256155014038	-0.20117451	Yes	
row_18	CDK9	19195	-2.1393704414367676	-0.12000718	Yes	
row_19	MNAT1	19294	-2.283616304397583	0.011791917	Yes	
