NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	1	4.971157073974609	0.14030053	Yes	
row_1	KMT5C	178	2.69634747505188	0.20739916	Yes	
row_2	PLK1	186	2.6799728870391846	0.28270438	Yes	
row_3	CENPT	539	2.2769839763641357	0.3289351	Yes	
row_4	CENPA	541	2.2743895053863525	0.39309713	Yes	
row_5	RAD21L1	554	2.259868621826172	0.456285	Yes	
row_6	AURKB	802	2.0826117992401123	0.5024139	Yes	
row_7	MEIKIN	1049	1.9503909349441528	0.54486114	Yes	
row_8	NDC80	2492	1.4832950830459595	0.51277167	Yes	
row_9	CENPO	2575	1.4650242328643799	0.54992783	Yes	
row_10	CENPK	2626	1.456106185913086	0.5884736	Yes	
row_11	RAD21	5899	0.8203758597373962	0.4437976	No	
row_12	BUB1B	6023	0.8044393658638	0.46020022	No	
row_13	AURKC	6533	0.7232025861740112	0.4545093	No	
row_14	CCNB1	7301	0.6021182537078857	0.43216562	No	
row_15	KMT5B	9690	0.23003610968589783	0.31616732	No	
row_16	SS18L1	10096	0.16793423891067505	0.3001341	No	
row_17	SYCP2L	10702	0.07111191749572754	0.2711082	No	
row_18	AURKA	10882	0.04188172146677971	0.26310885	No	
row_19	MIS12	10898	0.038999591022729874	0.2634405	No	
row_20	CENPB	11389	-0.03907410427927971	0.23940903	No	
row_21	PMF1	12167	-0.16137877106666565	0.20410891	No	
row_22	MIS18BP1	13036	-0.3123861253261566	0.16840434	No	
row_23	DSN1	13867	-0.4559985101222992	0.13870363	No	
row_24	CENPC	14082	-0.49287357926368713	0.14164187	No	
row_25	ATRX	14309	-0.5352967381477356	0.1451623	No	
row_26	PELI1	15405	-0.7558526992797852	0.11033422	No	
row_27	REC8	16416	-0.9712727665901184	0.08594823	No	
row_28	NUF2	16510	-0.9964029788970947	0.10930945	No	
row_29	SYCP2	18410	-1.602473258972168	0.057142854	No	
