NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	1	4.971157073974609	0.22388832	Yes	
row_1	PLK1	186	2.6799728870391846	0.3351831	Yes	
row_2	CENPT	539	2.2769839763641357	0.41971233	Yes	
row_3	CENPA	541	2.2743895053863525	0.52211726	Yes	
row_4	NDC80	2492	1.4832950830459595	0.48897743	Yes	
row_5	CENPO	2575	1.4650242328643799	0.5507701	Yes	
row_6	CENPK	2626	1.456106185913086	0.6138014	Yes	
row_7	BUB1B	6023	0.8044393658638	0.47595719	No	
row_8	CCNB1	7301	0.6021182537078857	0.43762097	No	
row_9	MIS12	10898	0.038999591022729874	0.25504318	No	
row_10	PMF1	12167	-0.16137877106666565	0.19731395	No	
row_11	MIS18BP1	13036	-0.3123861253261566	0.1668917	No	
row_12	DSN1	13867	-0.4559985101222992	0.14488676	No	
row_13	CENPC	14082	-0.49287357926368713	0.15611976	No	
row_14	PELI1	15405	-0.7558526992797852	0.12240218	No	
row_15	REC8	16416	-0.9712727665901184	0.11438224	No	
row_16	NUF2	16510	-0.9964029788970947	0.15450071	No	
