NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	78	2.9768905639648438	0.0017873535	Yes	
row_1	OR2T8	130	2.7907979488372803	0.0046257456	Yes	
row_2	OR52E8	144	2.753028154373169	0.00938661	Yes	
row_3	OR6C70	147	2.7527410984039307	0.014725032	Yes	
row_4	OR4C45	176	2.6971840858459473	0.018587112	Yes	
row_5	OR13C4	180	2.6908886432647705	0.023750665	Yes	
row_6	OR10A7	231	2.6158294677734375	0.026295613	Yes	
row_7	OR5AN1	233	2.6153948307037354	0.031414993	Yes	
row_8	OR2H2	237	2.61094331741333	0.036420453	Yes	
row_9	OR52E1	239	2.6096160411834717	0.041528404	Yes	
row_10	OR8S1	255	2.5891904830932617	0.045860164	Yes	
row_11	OR4F5	269	2.562887668609619	0.050245028	Yes	
row_12	OR2M7	270	2.562002658843994	0.055311378	Yes	
row_13	OR56A4	282	2.544290781021118	0.059764583	Yes	
row_14	OR2A14	290	2.533864974975586	0.06440739	Yes	
row_15	OR1L8	325	2.4869384765625	0.06753837	Yes	
row_16	OR12D2	338	2.4746899604797363	0.07180138	Yes	
row_17	OR2J3	348	2.4618160724639893	0.0761966	Yes	
row_18	OR4E1	378	2.430952787399292	0.07947965	Yes	
row_19	OR11A1	388	2.424846649169922	0.08380177	Yes	
row_20	OR51A7	432	2.3732752799987793	0.086234964	Yes	
row_21	OR51I2	435	2.3689911365509033	0.09081452	Yes	
row_22	REEP6	466	2.3360185623168945	0.09385728	Yes	
row_23	OR13C9	504	2.3040308952331543	0.096468896	Yes	
row_24	OR5H6	526	2.285691499710083	0.09988514	Yes	
row_25	OR10H4	530	2.283409833908081	0.104242906	Yes	
row_26	OR13D1	562	2.2525241374969482	0.107068	Yes	
row_27	OR10G3	580	2.2419381141662598	0.11060796	Yes	
row_28	GNAT3	590	2.2337183952331543	0.11455212	Yes	
row_29	TAS2R16	623	2.2093899250030518	0.11723936	Yes	
row_30	OR9A4	637	2.1992552280426025	0.120905146	Yes	
row_31	OR4N5	645	2.195525646209717	0.12487889	Yes	
row_32	OR4F15	664	2.174614906311035	0.12823316	Yes	
row_33	OR6M1	716	2.139611005783081	0.12978382	Yes	
row_34	OR2T12	744	2.118551731109619	0.13255422	Yes	
row_35	OR6C4	765	2.104398012161255	0.13566452	Yes	
row_36	TAS2R14	772	2.099346399307251	0.13950063	Yes	
row_37	OR51A2	778	2.0949671268463135	0.14338064	Yes	
row_38	OR2A25	780	2.093041181564331	0.14746706	Yes	
row_39	OR52N4	790	2.0874452590942383	0.15112197	Yes	
row_40	OR13H1	815	2.0790457725524902	0.15397191	Yes	
row_41	OR2K2	869	2.044642448425293	0.15522967	Yes	
row_42	OR13C3	870	2.0437393188476562	0.15927115	Yes	
row_43	OR56A3	914	2.017052173614502	0.16099992	Yes	
row_44	OR6C68	916	2.014705181121826	0.16493145	Yes	
row_45	OR5H2	999	1.9717698097229004	0.16452095	Yes	
row_46	OR5C1	1000	1.9714807271957397	0.16841954	Yes	
row_47	OR2T35	1009	1.9665565490722656	0.17188795	Yes	
row_48	OR2L8	1020	1.9622267484664917	0.17524268	Yes	
row_49	OR9A2	1023	1.9606778621673584	0.17901479	Yes	
row_50	TAS2R39	1024	1.9606109857559204	0.18289189	Yes	
row_51	OR9Q2	1039	1.955289363861084	0.18602267	Yes	
row_52	OR2Y1	1047	1.9528385400772095	0.18951651	Yes	
row_53	OR7G1	1060	1.9429386854171753	0.19272798	Yes	
row_54	OR10G8	1094	1.9294463396072388	0.19480908	Yes	
row_55	OR1G1	1117	1.9223546981811523	0.19745427	Yes	
row_56	OR10G2	1120	1.9218226671218872	0.20114955	Yes	
row_57	OR5P2	1151	1.9051578044891357	0.20334029	Yes	
row_58	TULP1	1186	1.8902493715286255	0.20529133	Yes	
row_59	OR56A1	1193	1.8871252536773682	0.20870776	Yes	
row_60	OR1A1	1200	1.8842803239822388	0.21211858	Yes	
row_61	KIT	1203	1.8837833404541016	0.21573864	Yes	
row_62	OR1E3	1232	1.8722354173660278	0.21796939	Yes	
row_63	OR5AC1	1266	1.8610891103744507	0.21991532	Yes	
row_64	OR13C8	1286	1.8537251949310303	0.22258246	Yes	
row_65	OR4C3	1318	1.843291163444519	0.2245983	Yes	
row_66	OR1I1	1323	1.840706706047058	0.22802807	Yes	
row_67	OR1E2	1356	1.8276649713516235	0.22996044	Yes	
row_68	OR1P1	1360	1.82663094997406	0.23341493	Yes	
row_69	OR5F1	1438	1.801933765411377	0.23293138	Yes	
row_70	OR52N2	1462	1.7918989658355713	0.23526603	Yes	
row_71	OR2T3	1475	1.7874510288238525	0.23817003	Yes	
row_72	OR52W1	1481	1.7855254411697388	0.24143812	Yes	
row_73	OR51F1	1518	1.7755142450332642	0.24305715	Yes	
row_74	OR52B6	1588	1.755375862121582	0.24290197	Yes	
row_75	OR10Q1	1601	1.7500669956207275	0.24573204	Yes	
row_76	OR51T1	1622	1.7429665327072144	0.24812761	Yes	
row_77	OR6C1	1658	1.7299094200134277	0.24970901	Yes	
row_78	OR11G2	1660	1.7295292615890503	0.25307658	Yes	
row_79	OR52E6	1661	1.7295029163360596	0.25649667	Yes	
row_80	OR51E2	1695	1.722362756729126	0.25816828	Yes	
row_81	OR4M1	1706	1.7173988819122314	0.26103884	Yes	
row_82	OR6Y1	1765	1.6965123414993286	0.2613454	Yes	
row_83	OR8K3	1778	1.693566083908081	0.26406375	Yes	
row_84	OR4A16	1812	1.683097243309021	0.26565766	Yes	
row_85	OR10A3	1815	1.6824843883514404	0.26887968	Yes	
row_86	OR4C15	1824	1.679533839225769	0.2717805	Yes	
row_87	OR4C46	1852	1.6711987257003784	0.27366623	Yes	
row_88	OR1M1	1926	1.6478418111801147	0.2730882	Yes	
row_89	OR6A2	1951	1.6413021087646484	0.2750725	Yes	
row_90	OR2T4	1960	1.6368149518966675	0.27788883	Yes	
row_91	OR2W1	1988	1.6306571960449219	0.2796944	Yes	
row_92	OR5D13	1991	1.6293407678604126	0.2828113	Yes	
row_93	OR11H6	2003	1.6248334646224976	0.2854463	Yes	
row_94	OR4N2	2020	1.62089204788208	0.28781068	Yes	
row_95	OR8D1	2032	1.6186373233795166	0.2904334	Yes	
row_96	OR14J1	2096	1.6012343168258667	0.29028878	Yes	
row_97	OR5R1	2112	1.5954697132110596	0.29265544	Yes	
row_98	OR2F2	2133	1.5857127904891968	0.29474005	Yes	
row_99	OR4B1	2134	1.5852575302124023	0.2978749	Yes	
row_100	OR5AP2	2144	1.5830409526824951	0.30053234	Yes	
row_101	OR10AG1	2171	1.5755033493041992	0.3022814	Yes	
row_102	OR8B12	2207	1.5631543397903442	0.30353305	Yes	
row_103	OR51B4	2226	1.5570950508117676	0.30566618	Yes	
row_104	OR6N1	2227	1.5566896200180054	0.30874452	Yes	
row_105	OR56A5	2236	1.553573489189148	0.31139627	Yes	
row_106	OR7A10	2256	1.5459961891174316	0.3134549	Yes	
row_107	TAS2R38	2293	1.5362504720687866	0.31460077	Yes	
row_108	OR13C7	2318	1.5283842086791992	0.31636178	Yes	
row_109	OR4D6	2319	1.5278184413909912	0.31938303	Yes	
row_110	OR5B17	2399	1.505276083946228	0.3182077	Yes	
row_111	OR6K6	2429	1.498046636581421	0.31964594	Yes	
row_112	RTP2	2453	1.4912164211273193	0.321386	Yes	
row_113	OR10K1	2470	1.4883153438568115	0.32348824	Yes	
row_114	CST4	2531	1.4746372699737549	0.32325092	Yes	
row_115	OR6V1	2533	1.4744282960891724	0.32611403	Yes	
row_116	OR2J1	2534	1.4743660688400269	0.3290296	Yes	
row_117	TAS2R1	2540	1.4728662967681885	0.3316794	Yes	
row_118	OR1J1	2544	1.4720466136932373	0.3344327	Yes	
row_119	OR1D2	2555	1.4695992469787598	0.33681324	Yes	
row_120	OR10J1	2590	1.4631284475326538	0.33791965	Yes	
row_121	OR1S1	2593	1.4626966714859009	0.340707	Yes	
row_122	OR5M9	2597	1.4620429277420044	0.34344053	Yes	
row_123	RTP3	2634	1.4534345865249634	0.34442264	Yes	
row_124	OR2J2	2677	1.44259512424469	0.34506798	Yes	
row_125	OR5M1	2684	1.4416258335113525	0.34760344	Yes	
row_126	PPEF1	2727	1.4303693771362305	0.3482246	Yes	
row_127	OR1J2	2730	1.4297921657562256	0.3509469	Yes	
row_128	OR2T11	2762	1.4219249486923218	0.3521295	Yes	
row_129	OR4K2	2785	1.4154024124145508	0.3537722	Yes	
row_130	OR2L3	2826	1.408308744430542	0.35445485	Yes	
row_131	OR52N5	2832	1.4079378843307495	0.35697624	Yes	
row_132	OR13A1	2840	1.4073154926300049	0.35939133	Yes	
row_133	OR2T34	2903	1.391036033630371	0.35888356	Yes	
row_134	OR4F17	2981	1.3740917444229126	0.35755393	Yes	
row_135	OR10G7	3052	1.3590563535690308	0.3565625	Yes	
row_136	OR11H7	3122	1.3410487174987793	0.355588	Yes	
row_137	OR10A6	3160	1.3338967561721802	0.35628116	Yes	
row_138	OR2M5	3195	1.3269070386886597	0.35711816	Yes	
row_139	OR5B12	3253	1.314155101776123	0.35672116	Yes	
row_140	OR2AE1	3259	1.3131471872329712	0.35905513	Yes	
row_141	OR2B3	3270	1.3107211589813232	0.3611215	Yes	
row_142	OR4A47	3279	1.3084744215011597	0.36328855	Yes	
row_143	OR3A1	3282	1.3072348833084106	0.3657685	Yes	
row_144	OR4C11	3284	1.3066657781600952	0.36829987	Yes	
row_145	OR8J2	3287	1.305567741394043	0.3707765	Yes	
row_146	OR14A16	3297	1.3027944564819336	0.37287977	Yes	
row_147	OR2G3	3311	1.2991732358932495	0.37476563	Yes	
row_148	OR10K2	3383	1.2836010456085205	0.3735724	Yes	
row_149	OR5M3	3389	1.2828224897384644	0.37584642	Yes	
row_150	OR2M3	3428	1.2744107246398926	0.3763694	Yes	
row_151	OR3A2	3448	1.270039677619934	0.3778823	Yes	
row_152	OR6C2	3510	1.2557799816131592	0.37715963	Yes	
row_153	OR2M2	3530	1.2523646354675293	0.3786376	Yes	
row_154	CST1	3531	1.252238392829895	0.3811139	Yes	
row_155	OR1N1	3552	1.2475496530532837	0.3825298	Yes	
row_156	CACNA1F	3591	1.2375515699386597	0.38297987	Yes	
row_157	OR52I2	3597	1.236322045326233	0.3851619	Yes	
row_158	OR1Q1	3599	1.2357149124145508	0.38755298	Yes	
row_159	OR1L6	3606	1.2333327531814575	0.38967654	Yes	
row_160	OR10AD1	3629	1.2273766994476318	0.39094743	Yes	
row_161	OR2A1	3683	1.2145196199417114	0.39056364	Yes	
row_162	OR7C2	3690	1.2130699157714844	0.39264712	Yes	
row_163	OR6F1	3699	1.2113343477249146	0.3946221	Yes	
row_164	AZGP1	3721	1.2069919109344482	0.3959052	Yes	
row_165	CXCR4	3727	1.205881118774414	0.39802706	Yes	
row_166	OR5H14	3734	1.2042913436889648	0.4000932	Yes	
row_167	LPO	3773	1.1959145069122314	0.40046096	Yes	
row_168	OR10AC1	3809	1.188836932182312	0.40097237	Yes	
row_169	OR52L1	3826	1.1856945753097534	0.40247616	Yes	
