NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WASF1	2025	1.6203703880310059	-0.048974127	No	
row_1	SPAST	2546	1.4716928005218506	-0.025803564	No	
row_2	MYO19	4359	1.082247257232666	-0.082077555	No	
row_3	MAP1S	6315	0.7550526857376099	-0.15676495	No	
row_4	LRPPRC	6449	0.7350740432739258	-0.138693	No	
row_5	MARK1	8160	0.46773335337638855	-0.21054605	No	
row_6	KIF1B	9502	0.255278617143631	-0.27067056	No	
row_7	NEFL	9760	0.21869832277297974	-0.27644408	No	
row_8	FEZ1	10061	0.1731993854045868	-0.28596348	No	
row_9	AGBL4	11474	-0.05113246291875839	-0.3566422	No	
row_10	MAPT	13071	-0.31769102811813354	-0.42773008	No	
row_11	TRAK2	16575	-1.0122510194778442	-0.5730924	Yes	
row_12	HAP1	16926	-1.1011292934417725	-0.5537526	Yes	
row_13	RHOT2	17494	-1.2564603090286255	-0.5402809	Yes	
row_14	UXT	17576	-1.2862560749053955	-0.50087714	Yes	
row_15	MAP1B	17579	-1.2866616249084473	-0.45740834	Yes	
row_16	MGARP	17666	-1.315463662147522	-0.41727188	Yes	
row_17	OPA1	17797	-1.353982925415039	-0.37808743	Yes	
row_18	UCHL1	17824	-1.3653331995010376	-0.3331853	Yes	
row_19	HIF1A	18507	-1.6472749710083008	-0.31237653	Yes	
row_20	RHOT1	18762	-1.788413643836975	-0.26483953	Yes	
row_21	ACTR10	18956	-1.9211151599884033	-0.20968056	Yes	
row_22	UBB	19241	-2.194303274154663	-0.14993703	Yes	
row_23	SYBU	19288	-2.27264404296875	-0.07533547	Yes	
row_24	TRAK1	19425	-2.580528736114502	0.0050768806	Yes	
