NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPAM1	9	3.7267749309539795	0.13812502	Yes	
row_1	LYZL4	253	2.590834379196167	0.22201186	Yes	
row_2	TMEM95	683	2.1623215675354004	0.2804282	Yes	
row_3	FOLR2	889	2.0287678241729736	0.34536177	Yes	
row_4	LYZL6	1378	1.8230738639831543	0.3881379	Yes	
row_5	CRISP1	1769	1.6956745386123657	0.4312006	Yes	
row_6	IZUMO1R	2045	1.6151541471481323	0.4771646	Yes	
row_7	SERPINA5	2273	1.5409327745437622	0.52282935	Yes	
row_8	EQTN	2628	1.4558651447296143	0.5588199	Yes	
row_9	FOLR3	3111	1.343169093132019	0.5840575	Yes	
row_10	CD9	3189	1.3276419639587402	0.62948066	Yes	
row_11	ROPN1B	3517	1.2538626194000244	0.65934354	Yes	
row_12	C16orf92	3594	1.2371482849121094	0.7014528	Yes	
row_13	ADAM2	5048	0.9613078236579895	0.6627107	No	
row_14	SPACA6	7474	0.5732933282852173	0.5597089	No	
row_15	FOLR1	7506	0.5663935542106628	0.5791819	No	
row_16	SPACA3	7548	0.5593256950378418	0.59787947	No	
row_17	NOX5	9214	0.3028792142868042	0.5237842	No	
row_18	IZUMO1	10364	0.12692292034626007	0.4695991	No	
