NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRA5	4897	0.9872452020645142	-0.19474065	No	
row_1	JAKMIP1	7863	0.5149301886558533	-0.3173725	No	
row_2	AKAP5	8286	0.44666793942451477	-0.31353936	No	
row_3	GABRG1	11054	0.013980410993099213	-0.45458153	No	
row_4	PLCL2	12053	-0.14488495886325836	-0.4974799	No	
row_5	PLCL1	12416	-0.20623111724853516	-0.5042788	No	
row_6	SHISA7	14194	-0.5124223828315735	-0.56615555	No	
row_7	GABARAP	14216	-0.5180450677871704	-0.5376974	No	
row_8	TRAK2	16575	-1.0122510194778442	-0.60086066	Yes	
row_9	MAF1	16580	-1.0135304927825928	-0.54328257	Yes	
row_10	LHFPL4	17307	-1.2020364999771118	-0.51196784	Yes	
row_11	GABARAPL2	17368	-1.218827724456787	-0.44555604	Yes	
row_12	GABARAPL1	18064	-1.454332709312439	-0.3982684	Yes	
row_13	GABRB1	18641	-1.7211493253707886	-0.32966903	Yes	
row_14	PPP2CA	18855	-1.8449078798294067	-0.23540622	Yes	
row_15	ARFGEF2	19205	-2.1482739448547363	-0.13081948	Yes	
row_16	TRAK1	19425	-2.580528736114502	0.005074786	Yes	
