NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CUL4A	8023	0.4892357289791107	-0.3877222	No	
row_1	RPS27A	9122	0.31611308455467224	-0.42869687	No	
row_2	GTF2H3	9491	0.25804603099823	-0.4350508	No	
row_3	GTF2H5	10321	0.13340911269187927	-0.47109357	No	
row_4	PARP1	10930	0.03274102136492729	-0.5006862	No	
row_5	CUL4B	11265	-0.019638322293758392	-0.5168626	No	
row_6	GTF2H1	12132	-0.15693581104278564	-0.5536615	No	
row_7	GTF2H4	12263	-0.1783231645822525	-0.55167735	No	
row_8	GTF2H2	12599	-0.2368733137845993	-0.5573661	No	
row_9	USP45	13145	-0.32904472947120667	-0.5693529	No	
row_10	ERCC1	13592	-0.4085496962070465	-0.5724055	No	
row_11	ERCC2	13732	-0.4324643313884735	-0.55855346	No	
row_12	XPC	14331	-0.5386671423912048	-0.56308883	No	
row_13	XPA	15196	-0.7146693468093872	-0.57272726	Yes	
row_14	RBX1	15255	-0.7259175777435303	-0.5404846	Yes	
row_15	DDB2	15456	-0.766758918762207	-0.51354295	Yes	
row_16	DDB1	16370	-0.9611222743988037	-0.513738	Yes	
row_17	UBA52	16449	-0.9787890315055847	-0.47025317	Yes	
row_18	RNF111	16745	-1.0527682304382324	-0.4343081	Yes	
row_19	ERCC4	17083	-1.1335214376449585	-0.39659935	Yes	
row_20	RAD23B	18021	-1.4386297464370728	-0.3748594	Yes	
row_21	ERCC3	18140	-1.4904497861862183	-0.30860326	Yes	
row_22	CHD1L	18299	-1.5594069957733154	-0.2410531	Yes	
row_23	CETN2	19067	-2.016397476196289	-0.18256488	Yes	
row_24	UBC	19101	-2.0498178005218506	-0.08481235	Yes	
row_25	UBB	19241	-2.194303274154663	0.014513579	Yes	
