NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH11	317	2.4974443912506104	-0.002148328	No	
row_1	RPGR	381	2.4286468029022217	0.008444403	No	
row_2	BLOC1S3	752	2.1125571727752686	0.0013606838	No	
row_3	KIF4A	1597	1.7513431310653687	-0.03229178	No	
row_4	AP3B2	1618	1.7441595792770386	-0.02337921	No	
row_5	KIF23	1681	1.7252448797225952	-0.016746175	No	
row_6	WASF1	2025	1.6203703880310059	-0.025240695	No	
row_7	SPAST	2546	1.4716928005218506	-0.04373512	No	
row_8	KIF3C	2551	1.470339059829712	-0.03555681	No	
row_9	ADCY10	2695	1.4391887187957764	-0.034743324	No	
row_10	CLN3	2900	1.3922277688980103	-0.03735173	No	
row_11	APBA1	3119	1.3418073654174805	-0.04097157	No	
row_12	TRIM46	3315	1.298547387123108	-0.04364887	No	
row_13	SYNE2	3483	1.2625242471694946	-0.045083825	No	
row_14	IFT172	3524	1.2531787157058716	-0.040005375	No	
row_15	PRKCZ	3781	1.1943633556365967	-0.04643091	No	
row_16	STK11	3977	1.1572175025939941	-0.04991419	No	
row_17	TRAF3IP1	4242	1.1062287092208862	-0.05725599	No	
row_18	NEFH	4638	1.0368530750274658	-0.07176696	No	
row_19	IFT140	4990	0.9723966121673584	-0.08437043	No	
row_20	CCDC40	5072	0.9584553241729736	-0.083092704	No	
row_21	SLC9A3R1	5146	0.9446437954902649	-0.08148009	No	
row_22	DNAH1	5365	0.9078294038772583	-0.08757485	No	
row_23	ROPN1L	5447	0.8897350430488586	-0.086689025	No	
row_24	KIF5C	5536	0.875119686126709	-0.086248495	No	
row_25	SPG7	5784	0.8366559743881226	-0.09424862	No	
row_26	FLOT2	5787	0.8364266753196716	-0.08958202	No	
row_27	KIF17	5831	0.8308554291725159	-0.087067135	No	
row_28	CABYR	5921	0.8171451091766357	-0.08700894	No	
row_29	BAG3	6091	0.7930814027786255	-0.09122447	No	
row_30	WDR34	6104	0.7914080619812012	-0.08733166	No	
row_31	KIF13A	6143	0.7847210168838501	-0.08482134	No	
row_32	WDR19	6170	0.7799025774002075	-0.081718035	No	
row_33	KIF27	6191	0.7774171233177185	-0.07831866	No	
row_34	MAP1S	6315	0.7550526857376099	-0.08037258	No	
row_35	LRPPRC	6449	0.7350740432739258	-0.08305749	No	
row_36	COPG2	6474	0.7316245436668396	-0.08012609	No	
row_37	TMEM201	6694	0.6971893906593323	-0.0874738	No	
