NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFC1	3012	1.368943452835083	-0.12227471	No	
row_1	NDUFA12	4291	1.095149278640747	-0.16200426	No	
row_2	NDUFAF1	5202	0.9350429773330688	-0.18662563	No	
row_3	DLD	6708	0.6957516670227051	-0.24744512	No	
row_4	NDUFB11	7349	0.5951240658760071	-0.26623774	No	
row_5	NDUFA7	7394	0.5876705050468445	-0.254611	No	
row_6	NDUFA4	7828	0.519221305847168	-0.26457074	No	
row_7	NDUFA8	9905	0.19636885821819305	-0.36650178	No	
row_8	NDUFS1	9964	0.18794101476669312	-0.3650385	No	
row_9	NDUFS2	10226	0.1482609361410141	-0.37493375	No	
row_10	NDUFA10	10305	0.13600701093673706	-0.3757243	No	
row_11	NDUFS3	10651	0.07962581515312195	-0.39155337	No	
row_12	NDUFS8	10657	0.07902790606021881	-0.38994277	No	
row_13	NDUFA11	10983	0.024914124980568886	-0.40603787	No	
row_14	NDUFV1	11329	-0.0290560070425272	-0.42306182	No	
row_15	NDUFA13	12618	-0.24099589884281158	-0.48348665	No	
row_16	NDUFS7	13000	-0.30771687626838684	-0.49577445	No	
row_17	NDUFA2	13322	-0.36559101939201355	-0.50361466	No	
row_18	SNCA	13327	-0.3662189245223999	-0.495167	No	
row_19	COQ9	13465	-0.38715872168540955	-0.49305207	No	
row_20	DNAJC15	15008	-0.6777653694152832	-0.5561959	Yes	
row_21	NDUFB2	15054	-0.6855888366699219	-0.5423069	Yes	
row_22	NDUFB4	15338	-0.746627926826477	-0.5391933	Yes	
row_23	NDUFA9	15418	-0.7579155564308167	-0.5253407	Yes	
row_24	NDUFA6	15538	-0.7844932675361633	-0.51291347	Yes	
row_25	NDUFB8	15838	-0.8541461229324341	-0.5080808	Yes	
row_26	NDUFB9	15877	-0.8615499138832092	-0.48967478	Yes	
row_27	NDUFB6	16109	-0.9065741300582886	-0.48011255	Yes	
row_28	PINK1	16642	-1.0274466276168823	-0.48314607	Yes	
row_29	NDUFS5	16952	-1.106622576713562	-0.4728612	Yes	
row_30	NDUFB10	17000	-1.1143889427185059	-0.44894314	Yes	
row_31	NDUFB7	17170	-1.1578303575515747	-0.43026146	Yes	
row_32	NDUFA3	17642	-1.3079420328140259	-0.42353603	Yes	
row_33	NDUFA5	18097	-1.4723941087722778	-0.41205224	Yes	
row_34	NDUFB5	18108	-1.4773997068405151	-0.37765756	Yes	
row_35	ISCU	18192	-1.5088828802108765	-0.34626645	Yes	
row_36	NDUFS4	18436	-1.6118983030319214	-0.3206548	Yes	
row_37	PARK7	18722	-1.7717393636703491	-0.29342252	Yes	
row_38	NDUFS6	18748	-1.783010482788086	-0.2525769	Yes	
row_39	NDUFA1	18963	-1.92593514919281	-0.21805649	Yes	
row_40	NDUFV3	18992	-1.9541306495666504	-0.17332163	Yes	
row_41	NDUFB1	19018	-1.9792943000793457	-0.1278382	Yes	
row_42	NDUFB3	19093	-2.040670156478882	-0.08341998	Yes	
row_43	NDUFV2	19233	-2.1880693435668945	-0.038855765	Yes	
row_44	NDUFAB1	19289	-2.274531841278076	0.0120635	Yes	
