NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFC1	3012	1.368943452835083	-0.115657896	No	
row_1	NDUFA12	4291	1.095149278640747	-0.15011786	No	
row_2	NDUFA7	7394	0.5876705050468445	-0.292594	No	
row_3	NDUFA4	7828	0.519221305847168	-0.30005902	No	
row_4	NDUFA8	9905	0.19636885821819305	-0.40100625	No	
row_5	NDUFS1	9964	0.18794101476669312	-0.39864206	No	
row_6	NDUFS2	10226	0.1482609361410141	-0.40782207	No	
row_7	NDUFA10	10305	0.13600701093673706	-0.40795988	No	
row_8	WDR93	10613	0.08665134012699127	-0.42125094	No	
row_9	NDUFS3	10651	0.07962581515312195	-0.42088696	No	
row_10	NDUFS8	10657	0.07902790606021881	-0.41889796	No	
row_11	NDUFV1	11329	-0.0290560070425272	-0.45250377	No	
row_12	NDUFA13	12618	-0.24099589884281158	-0.5117478	No	
row_13	NDUFS7	13000	-0.30771687626838684	-0.52255446	No	
row_14	NDUFA2	13322	-0.36559101939201355	-0.52863777	No	
row_15	NDUFB2	15054	-0.6855888366699219	-0.59798056	Yes	
row_16	NDUFB4	15338	-0.746627926826477	-0.5912868	Yes	
row_17	NDUFA9	15418	-0.7579155564308167	-0.57380426	Yes	
row_18	NDUFAF2	15485	-0.7732250094413757	-0.5552196	Yes	
row_19	NDUFA6	15538	-0.7844932675361633	-0.53559643	Yes	
row_20	NDUFB8	15838	-0.8541461229324341	-0.5266685	Yes	
row_21	NDUFB9	15877	-0.8615499138832092	-0.50413734	Yes	
row_22	NDUFB6	16109	-0.9065741300582886	-0.4902303	Yes	
row_23	NDUFS5	16952	-1.106622576713562	-0.5019915	Yes	
row_24	NDUFB10	17000	-1.1143889427185059	-0.4727377	Yes	
row_25	NDUFB7	17170	-1.1578303575515747	-0.44850975	Yes	
row_26	NDUFA3	17642	-1.3079420328140259	-0.43551308	Yes	
row_27	NDUFA5	18097	-1.4723941087722778	-0.41697115	Yes	
row_28	NDUFB5	18108	-1.4773997068405151	-0.37550372	Yes	
row_29	NDUFS4	18436	-1.6118983030319214	-0.3464809	Yes	
row_30	NDUFS6	18748	-1.783010482788086	-0.3117749	Yes	
row_31	NDUFA1	18963	-1.92593514919281	-0.26803026	Yes	
row_32	NDUFV3	18992	-1.9541306495666504	-0.21394008	Yes	
row_33	NDUFB1	19018	-1.9792943000793457	-0.15898095	Yes	
row_34	NDUFB3	19093	-2.040670156478882	-0.10479216	Yes	
row_35	NDUFV2	19233	-2.1880693435668945	-0.0497504	Yes	
row_36	NDUFAB1	19289	-2.274531841278076	0.012058561	Yes	
