NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXRED1	1773	1.6947611570358276	-0.046002302	No	
row_1	NDUFC1	3012	1.368943452835083	-0.07319706	No	
row_2	NDUFA12	4291	1.095149278640747	-0.109713085	No	
row_3	NDUFAF1	5202	0.9350429773330688	-0.13159312	No	
row_4	NDUFB11	7349	0.5951240658760071	-0.2259304	No	
row_5	NDUFA7	7394	0.5876705050468445	-0.21258767	No	
row_6	NDUFA4	7828	0.519221305847168	-0.22102614	No	
row_7	NDUFA8	9905	0.19636885821819305	-0.32235664	No	
row_8	NDUFS1	9964	0.18794101476669312	-0.32034403	No	
row_9	NDUFS2	10226	0.1482609361410141	-0.32980308	No	
row_10	NDUFA10	10305	0.13600701093673706	-0.33019558	No	
row_11	WDR93	10613	0.08665134012699127	-0.34365097	No	
row_12	NDUFS3	10651	0.07962581515312195	-0.34343603	No	
row_13	NDUFS8	10657	0.07902790606021881	-0.34159467	No	
row_14	NDUFA11	10983	0.024914124980568886	-0.3576128	No	
row_15	NDUFV1	11329	-0.0290560070425272	-0.37454736	No	
row_16	NDUFA13	12618	-0.24099589884281158	-0.4342518	No	
row_17	NDUFS7	13000	-0.30771687626838684	-0.44563633	No	
row_18	NDUFA2	13322	-0.36559101939201355	-0.4524052	No	
row_19	NDUFB2	15054	-0.6855888366699219	-0.5230425	Yes	
row_20	NDUFB4	15338	-0.746627926826477	-0.5177458	Yes	
row_21	NDUFA9	15418	-0.7579155564308167	-0.50167984	Yes	
row_22	NDUFA6	15538	-0.7844932675361633	-0.48696116	Yes	
row_23	NDUFB8	15838	-0.8541461229324341	-0.4796313	Yes	
row_24	NDUFB9	15877	-0.8615499138832092	-0.45870999	Yes	
row_25	NDUFB6	16109	-0.9065741300582886	-0.44649845	Yes	
row_26	NDUFS5	16952	-1.106622576713562	-0.46033373	Yes	
row_27	NDUFB10	17000	-1.1143889427185059	-0.43316218	Yes	
row_28	NDUFB7	17170	-1.1578303575515747	-0.41109863	Yes	
row_29	NDUFA3	17642	-1.3079420328140259	-0.4005492	Yes	
row_30	NDUFA5	18097	-1.4723941087722778	-0.38476157	Yes	
row_31	NDUFB5	18108	-1.4773997068405151	-0.34605432	Yes	
row_32	NDUFS4	18436	-1.6118983030319214	-0.32004544	Yes	
row_33	NDUFS6	18748	-1.783010482788086	-0.2886729	Yes	
row_34	NDUFA1	18963	-1.92593514919281	-0.24852797	Yes	
row_35	NDUFV3	18992	-1.9541306495666504	-0.19808874	Yes	
row_36	NDUFB1	19018	-1.9792943000793457	-0.14682752	Yes	
row_37	NDUFB3	19093	-2.040670156478882	-0.0964517	Yes	
row_38	NDUFV2	19233	-2.1880693435668945	-0.045498792	Yes	
row_39	NDUFAB1	19289	-2.274531841278076	0.012060447	Yes	
