NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPRD1	0	5.180831432342529	0.048802238	Yes	
row_1	NTSR2	152	2.744279146194458	0.066878825	Yes	
row_2	ECEL1	295	2.5280919075012207	0.08338232	Yes	
row_3	TENM1	337	2.476090908050537	0.10459574	Yes	
row_4	SSTR1	409	2.4006872177124023	0.123554386	Yes	
row_5	NPPB	508	2.2991299629211426	0.14016636	Yes	
row_6	PENK	642	2.1963188648223877	0.15400797	Yes	
row_7	UTS2R	653	2.187351942062378	0.1740975	Yes	
row_8	QRFPR	665	2.174600601196289	0.19401543	Yes	
row_9	OPRL1	682	2.1662535667419434	0.21359731	Yes	
row_10	PROKR2	754	2.1111655235290527	0.22982873	Yes	
row_11	NPBWR1	776	2.096980571746826	0.24850066	Yes	
row_12	NMB	878	2.0381267070770264	0.2624996	Yes	
row_13	NPB	929	2.003711700439453	0.27879995	Yes	
row_14	NMUR2	1188	1.890081524848938	0.28332156	Yes	
row_15	NPW	1330	1.8380743265151978	0.29337674	Yes	
row_16	PYY	1338	1.8334486484527588	0.31028703	Yes	
row_17	SSTR5	1567	1.7621536254882812	0.31514806	Yes	
row_18	NXPH3	1584	1.7578351497650146	0.33088273	Yes	
row_19	CARTPT	1704	1.7181068658828735	0.34094045	Yes	
row_20	GPR1	1872	1.6646934747695923	0.34802386	Yes	
row_21	SORCS1	2009	1.6231118440628052	0.35631156	Yes	
row_22	RXFP4	2100	1.599297285079956	0.36674312	Yes	
row_23	AGRP	2212	1.5610734224319458	0.3757335	Yes	
row_24	OPRM1	2577	1.4645758867263794	0.37078977	Yes	
row_25	NPS	2632	1.454378366470337	0.3817096	Yes	
row_26	POMC	2800	1.4135043621063232	0.38642687	Yes	
row_27	NPFFR1	2862	1.4011259078979492	0.3964847	Yes	
row_28	KISS1R	2965	1.3775941133499146	0.4042101	Yes	
row_29	SSTR4	3412	1.2786489725112915	0.39329338	Yes	
row_30	HCRT	3493	1.2600549459457397	0.4010442	Yes	
row_31	NPPA	3583	1.2400833368301392	0.40814355	Yes	
row_32	GPR139	3590	1.2376313209533691	0.41949284	Yes	
row_33	CYSLTR1	3789	1.1924898624420166	0.42053226	Yes	
row_34	TYRO3	3886	1.1746121644973755	0.4266545	Yes	
row_35	UCN	3933	1.165468692779541	0.43526474	Yes	
row_36	HCRTR1	3951	1.1611731052398682	0.4453275	Yes	
row_37	PROK2	4228	1.1091479063034058	0.4415662	Yes	
row_38	MCHR2	4234	1.1083085536956787	0.4517488	Yes	
row_39	NMUR1	4404	1.0745091438293457	0.45316985	Yes	
row_40	PDYN	4534	1.052965521812439	0.45644727	Yes	
row_41	TAC3	4750	1.0148699283599854	0.45493832	Yes	
row_42	SSTR3	4932	0.9821193218231201	0.4548713	Yes	
row_43	PROKR1	5051	0.9609730243682861	0.4578485	Yes	
row_44	ADCYAP1	5472	0.8862696886062622	0.4445742	No	
row_45	NMU	5820	0.831754744052887	0.43454465	No	
row_46	LTB4R	5872	0.8238536715507507	0.43967953	No	
row_47	NPFFR2	5994	0.8083232045173645	0.44106436	No	
row_48	SORL1	6137	0.7856858968734741	0.44115478	No	
row_49	PNOC	6291	0.7586081624031067	0.44042385	No	
row_50	GPR84	6330	0.7526406049728394	0.4455572	No	
row_51	NPY	6497	0.7282030582427979	0.44387057	No	
row_52	NPY5R	6612	0.7102437019348145	0.4446919	No	
row_53	PMCH	6888	0.6669614911079407	0.43681675	No	
row_54	NXPH2	6894	0.6650246381759644	0.44282374	No	
row_55	MC2R	7476	0.5730255842208862	0.41831005	No	
row_56	GALP	7907	0.5074338912963867	0.4009524	No	
