NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CUL4A	8023	0.4892357289791107	-0.38371456	No	
row_1	RPS27A	9122	0.31611308455467224	-0.42214268	No	
row_2	GTF2H3	9491	0.25804603099823	-0.4264234	No	
row_3	GTF2H5	10321	0.13340911269187927	-0.46138763	No	
row_4	PARP1	10930	0.03274102136492729	-0.49071136	No	
row_5	CUL4B	11265	-0.019638322293758392	-0.50672674	No	
row_6	GTF2H1	12132	-0.15693581104278564	-0.542258	No	
row_7	GTF2H4	12263	-0.1783231645822525	-0.5388425	No	
row_8	GTF2H2	12599	-0.2368733137845993	-0.5426281	No	
row_9	ERCC2	13732	-0.4324643313884735	-0.5762219	No	
row_10	XPC	14331	-0.5386671423912048	-0.5764312	No	
row_11	XPA	15196	-0.7146693468093872	-0.58032954	Yes	
row_12	RBX1	15255	-0.7259175777435303	-0.542265	Yes	
row_13	DDB2	15456	-0.766758918762207	-0.50917244	Yes	
row_14	DDB1	16370	-0.9611222743988037	-0.5016504	Yes	
row_15	UBA52	16449	-0.9787890315055847	-0.45031568	Yes	
row_16	RAD23B	18021	-1.4386297464370728	-0.44953698	Yes	
row_17	ERCC3	18140	-1.4904497861862183	-0.3713274	Yes	
row_18	CHD1L	18299	-1.5594069957733154	-0.29127038	Yes	
row_19	CETN2	19067	-2.016397476196289	-0.21660419	Yes	
row_20	UBC	19101	-2.0498178005218506	-0.1024134	Yes	
row_21	UBB	19241	-2.194303274154663	0.014510556	Yes	
