NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPA1	3802	1.189984679222107	-0.1491049	No	
row_1	CUL4A	8023	0.4892357289791107	-0.34668487	No	
row_2	RPS27A	9122	0.31611308455467224	-0.39080852	No	
row_3	GTF2H3	9491	0.25804603099823	-0.3997288	No	
row_4	GTF2H5	10321	0.13340911269187927	-0.43710345	No	
row_5	PARP1	10930	0.03274102136492729	-0.46702617	No	
row_6	CUL4B	11265	-0.019638322293758392	-0.48340026	No	
row_7	RPA2	11603	-0.06855680048465729	-0.49804094	No	
row_8	GTF2H1	12132	-0.15693581104278564	-0.51906884	No	
row_9	GTF2H4	12263	-0.1783231645822525	-0.5188572	No	
row_10	GTF2H2	12599	-0.2368733137845993	-0.52690166	No	
row_11	ERCC2	13732	-0.4324643313884735	-0.56828046	No	
row_12	XPC	14331	-0.5386671423912048	-0.5781717	No	
row_13	RPA3	15000	-0.6749353408813477	-0.5863962	Yes	
row_14	XPA	15196	-0.7146693468093872	-0.5688264	Yes	
row_15	RBX1	15255	-0.7259175777435303	-0.5437955	Yes	
row_16	DDB2	15456	-0.766758918762207	-0.5244726	Yes	
row_17	ERCC5	16274	-0.9402272701263428	-0.53010476	Yes	
row_18	DDB1	16370	-0.9611222743988037	-0.49789757	Yes	
row_19	UBA52	16449	-0.9787890315055847	-0.4641368	Yes	
row_20	RAD23B	18021	-1.4386297464370728	-0.48921528	Yes	
row_21	ERCC3	18140	-1.4904497861862183	-0.43776643	Yes	
row_22	CCNH	18226	-1.5239888429641724	-0.38333097	Yes	
row_23	CDK7	18277	-1.5502256155014038	-0.32608807	Yes	
row_24	CHD1L	18299	-1.5594069957733154	-0.26700348	Yes	
row_25	CETN2	19067	-2.016397476196289	-0.22855252	Yes	
row_26	UBC	19101	-2.0498178005218506	-0.15116344	Yes	
row_27	UBB	19241	-2.194303274154663	-0.07363714	Yes	
row_28	MNAT1	19294	-2.283616304397583	0.011797288	Yes	
