NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	78	2.9768905639648438	0.03215236	Yes	
row_1	OR5AN1	233	2.6153948307037354	0.056002043	Yes	
row_2	OR5H6	526	2.285691499710083	0.06874485	Yes	
row_3	OR5H2	999	1.9717698097229004	0.06841124	Yes	
row_4	OR5C1	1000	1.9714807271957397	0.0923627	Yes	
row_5	OR9Q2	1039	1.955289363861084	0.11416201	Yes	
row_6	OR5P2	1151	1.9051578044891357	0.13159578	Yes	
row_7	OR5AC1	1266	1.8610891103744507	0.14833978	Yes	
row_8	OR5F1	1438	1.801933765411377	0.16143195	Yes	
row_9	OR10Q1	1601	1.7500669956207275	0.17435713	Yes	
row_10	OR8K3	1778	1.693566083908081	0.18587545	Yes	
row_11	OR5D13	1991	1.6293407678604126	0.19476098	Yes	
row_12	OR8D1	2032	1.6186373233795166	0.2123674	Yes	
row_13	OR14J1	2096	1.6012343168258667	0.22857884	Yes	
row_14	OR5R1	2112	1.5954697132110596	0.24719027	Yes	
row_15	OR5AP2	2144	1.5830409526824951	0.26482734	Yes	
row_16	OR8B12	2207	1.5631543397903442	0.2806276	Yes	
row_17	OR5B17	2399	1.505276083946228	0.28908652	Yes	
row_18	OR5M9	2597	1.4620429277420044	0.29671144	Yes	
row_19	OR5M1	2684	1.4416258335113525	0.30980024	Yes	
row_20	OR13A1	2840	1.4073154926300049	0.31892157	Yes	
row_21	OR5B12	3253	1.314155101776123	0.31368613	Yes	
row_22	OR8J2	3287	1.305567741394043	0.3278493	Yes	
row_23	OR14A16	3297	1.3027944564819336	0.34321377	Yes	
row_24	OR5M3	3389	1.2828224897384644	0.354116	Yes	
row_25	OBP2B	3415	1.2779594659805298	0.3683554	Yes	
row_26	LCN1	3649	1.2230255603790283	0.371224	Yes	
row_27	OR5H14	3734	1.2042913436889648	0.38153234	Yes	
row_28	LCN9	3766	1.1974188089370728	0.39448452	Yes	
row_29	OR14C36	3953	1.160889983177185	0.3990168	Yes	
row_30	OR8G5	4219	1.1110424995422363	0.39887822	Yes	
row_31	OR5P3	4284	1.09730863571167	0.40891603	Yes	
row_32	OR8K1	4448	1.0669993162155151	0.41349116	Yes	
row_33	OR8H3	4584	1.044973611831665	0.41923958	Yes	
row_34	OR5K4	4812	1.0040689706802368	0.4197568	Yes	
row_35	OR5H15	5240	0.9287241697311401	0.40906692	Yes	
row_36	OR5B2	5384	0.9035742878913879	0.4126858	Yes	
row_37	OR5D14	5720	0.8465391397476196	0.40573165	Yes	
row_38	OR9Q1	5733	0.8446476459503174	0.41537574	Yes	
row_39	OR6B3	5877	0.8234971761703491	0.41802177	Yes	
row_40	OR5K2	6007	0.8066731691360474	0.42118382	Yes	
row_41	OR8H2	6132	0.7865769267082214	0.42435902	Yes	
row_42	OR5W2	6183	0.777941107749939	0.43123728	Yes	
row_43	OR8B4	6254	0.7667697668075562	0.43695062	Yes	
row_44	OR8I2	6292	0.758493959903717	0.44426155	Yes	
row_45	OR8B8	6419	0.739233672618866	0.44675866	Yes	
row_46	OR5J2	6790	0.6830250024795532	0.43601695	No	
row_47	OR5L1	7006	0.6481671929359436	0.43282783	No	
row_48	OR8H1	7034	0.6440632939338684	0.43926316	No	
row_49	PTGDS	7348	0.595133900642395	0.4303868	No	
row_50	OR8D4	7438	0.5806348323822021	0.43286106	No	
row_51	OR5D18	7886	0.511987566947937	0.41607907	No	
row_52	OR5K1	8211	0.45879632234573364	0.4049803	No	
row_53	OR5K3	8391	0.43126553297042847	0.4010086	No	
row_54	OR5M10	9235	0.29826560616493225	0.36125243	No	
row_55	OR8J3	9345	0.2811432480812073	0.359059	No	
row_56	OR5AU1	9360	0.2796900272369385	0.36173654	No	
row_57	LCN2	9472	0.2622697055339813	0.3592109	No	
row_58	OR5B3	9586	0.24307040870189667	0.3563491	No	
row_59	OR8U1	9609	0.24054788053035736	0.35813943	No	
row_60	OR8J1	9763	0.2177177220582962	0.35291126	No	
row_61	OR5AS1	9789	0.21429628133773804	0.35422826	No	
row_62	OR8K5	9866	0.2015775591135025	0.35276634	No	
row_63	OR9G4	10137	0.1610884964466095	0.34082952	No	
row_64	OR5AK2	10166	0.1562250852584839	0.34128663	No	
row_65	OR8B3	10236	0.14660945534706116	0.33951715	No	
row_66	OR5H1	10556	0.09654507040977478	0.3242747	No	
