NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	78	2.9768905639648438	0.0030846721	Yes	
row_1	OR2T8	130	2.7907979488372803	0.007133024	Yes	
row_2	OR52E8	144	2.753028154373169	0.0130769145	Yes	
row_3	OR6C70	147	2.7527410984039307	0.019595128	Yes	
row_4	OR4C45	176	2.6971840858459473	0.024620555	Yes	
row_5	OR13C4	180	2.6908886432647705	0.030937685	Yes	
row_6	OR10A7	231	2.6158294677734375	0.034617357	Yes	
row_7	OR5AN1	233	2.6153948307037354	0.04085741	Yes	
row_8	OR2H2	237	2.61094331741333	0.0469822	Yes	
row_9	OR52E1	239	2.6096160411834717	0.053208344	Yes	
row_10	OR8S1	255	2.5891904830932617	0.058653515	Yes	
row_11	OR4F5	269	2.562887668609619	0.06413995	Yes	
row_12	OR2M7	270	2.562002658843994	0.07030382	Yes	
row_13	OR56A4	282	2.544290781021118	0.07585006	Yes	
row_14	OR2A14	290	2.533864974975586	0.08158031	Yes	
row_15	OR1L8	325	2.4869384765625	0.08578627	Yes	
row_16	OR12D2	338	2.4746899604797363	0.091112785	Yes	
row_17	OR2J3	348	2.4618160724639893	0.09656516	Yes	
row_18	OR4E1	378	2.430952787399292	0.10089779	Yes	
row_19	OR11A1	388	2.424846649169922	0.10626121	Yes	
row_20	OR51A7	432	2.3732752799987793	0.10972324	Yes	
row_21	OR51I2	435	2.3689911365509033	0.1153182	Yes	
row_22	OR13C9	504	2.3040308952331543	0.11730679	Yes	
row_23	OR5H6	526	2.285691499710083	0.12170814	Yes	
row_24	OR10H4	530	2.283409833908081	0.12704492	Yes	
row_25	OR13D1	562	2.2525241374969482	0.13084373	Yes	
row_26	OR10G3	580	2.2419381141662598	0.1353489	Yes	
row_27	OR9A4	637	2.1992552280426025	0.1377127	Yes	
row_28	OR4N5	645	2.195525646209717	0.14262895	Yes	
row_29	OR4F15	664	2.174614906311035	0.14691989	Yes	
row_30	OR6M1	716	2.139611005783081	0.14940156	Yes	
row_31	OR2T12	744	2.118551731109619	0.15308714	Yes	
row_32	OR6C4	765	2.104398012161255	0.1571046	Yes	
row_33	OR51A2	778	2.0949671268463135	0.16151755	Yes	
row_34	OR2A25	780	2.093041181564331	0.16650087	Yes	
row_35	OR52N4	790	2.0874452590942383	0.17105255	Yes	
row_36	OR13H1	815	2.0790457725524902	0.1747999	Yes	
row_37	OR2K2	869	2.044642448425293	0.17694855	Yes	
row_38	OR13C3	870	2.0437393188476562	0.18186554	Yes	
row_39	OR56A3	914	2.017052173614502	0.18447055	Yes	
row_40	OR6C68	916	2.014705181121826	0.1892654	Yes	
row_41	OR5H2	999	1.9717698097229004	0.18972278	Yes	
row_42	OR5C1	1000	1.9714807271957397	0.19446592	Yes	
row_43	OR2T35	1009	1.9665565490722656	0.19877903	Yes	
row_44	OR2L8	1020	1.9622267484664917	0.20297717	Yes	
row_45	OR9A2	1023	1.9606778621673584	0.20758978	Yes	
row_46	OR9Q2	1039	1.955289363861084	0.21150985	Yes	
row_47	OR2Y1	1047	1.9528385400772095	0.21584223	Yes	
row_48	OR7G1	1060	1.9429386854171753	0.21988942	Yes	
row_49	OR10G8	1094	1.9294463396072388	0.2228064	Yes	
row_50	OR1G1	1117	1.9223546981811523	0.22628132	Yes	
row_51	OR10G2	1120	1.9218226671218872	0.23080045	Yes	
row_52	OR5P2	1151	1.9051578044891357	0.2338158	Yes	
row_53	OR56A1	1193	1.8871252536773682	0.23621278	Yes	
row_54	OR1A1	1200	1.8842803239822388	0.24043247	Yes	
row_55	OR1E3	1232	1.8722354173660278	0.24331635	Yes	
row_56	OR5AC1	1266	1.8610891103744507	0.24606887	Yes	
row_57	OR13C8	1286	1.8537251949310303	0.2495355	Yes	
row_58	OR4C3	1318	1.843291163444519	0.25234976	Yes	
row_59	OR1I1	1323	1.840706706047058	0.25656918	Yes	
row_60	OR1E2	1356	1.8276649713516235	0.25929356	Yes	
row_61	OR1P1	1360	1.82663094997406	0.2635314	Yes	
row_62	OR5F1	1438	1.801933765411377	0.2638415	Yes	
row_63	OR52N2	1462	1.7918989658355713	0.2669503	Yes	
row_64	OR2T3	1475	1.7874510288238525	0.27062342	Yes	
row_65	OR52W1	1481	1.7855254411697388	0.27465782	Yes	
row_66	OR51F1	1518	1.7755142450332642	0.2770476	Yes	
row_67	OR52B6	1588	1.755375862121582	0.27766395	Yes	
row_68	OR10Q1	1601	1.7500669956207275	0.2812471	Yes	
row_69	OR51T1	1622	1.7429665327072144	0.28439498	Yes	
row_70	OR6C1	1658	1.7299094200134277	0.28672734	Yes	
row_71	OR11G2	1660	1.7295292615890503	0.29083613	Yes	
row_72	OR52E6	1661	1.7295029163360596	0.2949971	Yes	
row_73	OR51E2	1695	1.722362756729126	0.29741585	Yes	
row_74	OR4M1	1706	1.7173988819122314	0.30102494	Yes	
row_75	OR6Y1	1765	1.6965123414993286	0.30207467	Yes	
row_76	OR8K3	1778	1.693566083908081	0.3055219	Yes	
row_77	OR4A16	1812	1.683097243309021	0.3078462	Yes	
row_78	OR10A3	1815	1.6824843883514404	0.31178948	Yes	
row_79	OR4C15	1824	1.679533839225769	0.31541204	Yes	
row_80	OR4C46	1852	1.6711987257003784	0.31802136	Yes	
row_81	OR1M1	1926	1.6478418111801147	0.31816986	Yes	
row_82	OR6A2	1951	1.6413021087646484	0.32086408	Yes	
row_83	OR2T4	1960	1.6368149518966675	0.32438385	Yes	
row_84	OR2W1	1988	1.6306571960449219	0.32689562	Yes	
row_85	OR5D13	1991	1.6293407678604126	0.33071107	Yes	
row_86	OR11H6	2003	1.6248334646224976	0.33404523	Yes	
row_87	OR4N2	2020	1.62089204788208	0.3371085	Yes	
row_88	OR8D1	2032	1.6186373233795166	0.34042773	Yes	
row_89	OR14J1	2096	1.6012343168258667	0.34098685	Yes	
row_90	OR5R1	2112	1.5954697132110596	0.34404126	Yes	
row_91	OR2F2	2133	1.5857127904891968	0.34681082	Yes	
row_92	OR4B1	2134	1.5852575302124023	0.35062474	Yes	
row_93	OR5AP2	2144	1.5830409526824951	0.35396287	Yes	
row_94	OR10AG1	2171	1.5755033493041992	0.35639423	Yes	
row_95	OR8B12	2207	1.5631543397903442	0.3583254	Yes	
row_96	OR51B4	2226	1.5570950508117676	0.36113065	Yes	
row_97	OR6N1	2227	1.5566896200180054	0.36487585	Yes	
row_98	OR56A5	2236	1.553573489189148	0.36819538	Yes	
row_99	OR7A10	2256	1.5459961891174316	0.37092164	Yes	
row_100	OR13C7	2318	1.5283842086791992	0.37141004	Yes	
row_101	OR4D6	2319	1.5278184413909912	0.3750858	Yes	
row_102	OR5B17	2399	1.505276083946228	0.37457767	Yes	
row_103	OR6K6	2429	1.498046636581421	0.37666586	Yes	
row_104	OR10K1	2470	1.4883153438568115	0.3781556	Yes	
row_105	OR6V1	2533	1.4744282960891724	0.3784619	Yes	
row_106	OR2J1	2534	1.4743660688400269	0.38200906	Yes	
row_107	OR1J1	2544	1.4720466136932373	0.38508016	Yes	
row_108	OR1D2	2555	1.4695992469787598	0.38809308	Yes	
row_109	OR10J1	2590	1.4631284475326538	0.3898359	Yes	
row_110	OR1S1	2593	1.4626966714859009	0.3932504	Yes	
row_111	OR5M9	2597	1.4620429277420044	0.3966111	Yes	
row_112	OR2J2	2677	1.44259512424469	0.39595217	Yes	
row_113	OR5M1	2684	1.4416258335113525	0.3991069	Yes	
row_114	OR1J2	2730	1.4297921657562256	0.40019447	Yes	
row_115	OR2T11	2762	1.4219249486923218	0.40199497	Yes	
row_116	OR4K2	2785	1.4154024124145508	0.4042502	Yes	
row_117	OR2L3	2826	1.408308744430542	0.40554747	Yes	
row_118	OR52N5	2832	1.4079378843307495	0.40867344	Yes	
row_119	OR13A1	2840	1.4073154926300049	0.41169336	Yes	
row_120	OR2T34	2903	1.391036033630371	0.41179904	Yes	
row_121	OR4F17	2981	1.3740917444229126	0.41107985	Yes	
row_122	OR10G7	3052	1.3590563535690308	0.4106904	Yes	
row_123	OR11H7	3122	1.3410487174987793	0.41030988	Yes	
row_124	OR10A6	3160	1.3338967561721802	0.41158494	Yes	
row_125	OR2M5	3195	1.3269070386886597	0.41300002	Yes	
row_126	OR5B12	3253	1.314155101776123	0.4131821	Yes	
row_127	OR2AE1	3259	1.3131471872329712	0.41608	Yes	
row_128	OR2B3	3270	1.3107211589813232	0.4187107	Yes	
row_129	OR4A47	3279	1.3084744215011597	0.42144054	Yes	
row_130	OR3A1	3282	1.3072348833084106	0.42448103	Yes	
row_131	OR4C11	3284	1.3066657781600952	0.42757246	Yes	
row_132	OR8J2	3287	1.305567741394043	0.43060893	Yes	
row_133	OR14A16	3297	1.3027944564819336	0.43327284	Yes	
row_134	OR2G3	3311	1.2991732358932495	0.43571892	Yes	
row_135	OR10K2	3383	1.2836010456085205	0.43509567	Yes	
row_136	OR5M3	3389	1.2828224897384644	0.4379206	Yes	
row_137	OR2M3	3428	1.2744107246398926	0.43900028	Yes	
row_138	OR3A2	3448	1.270039677619934	0.44106263	Yes	
row_139	OR6C2	3510	1.2557799816131592	0.4408952	Yes	
row_140	OR2M2	3530	1.2523646354675293	0.44291502	Yes	
row_141	OR1N1	3552	1.2475496530532837	0.4448187	Yes	
row_142	OR52I2	3597	1.236322045326233	0.4454931	Yes	
row_143	OR1Q1	3599	1.2357149124145508	0.44841382	Yes	
row_144	OR1L6	3606	1.2333327531814575	0.45106742	Yes	
row_145	OR10AD1	3629	1.2273766994476318	0.4528703	Yes	
row_146	OR2A1	3683	1.2145196199417114	0.4530218	Yes	
row_147	OR7C2	3690	1.2130699157714844	0.45562664	Yes	
row_148	OR6F1	3699	1.2113343477249146	0.45812276	Yes	
row_149	OR5H14	3734	1.2042913436889648	0.45924285	Yes	
row_150	OR10AC1	3809	1.188836932182312	0.45823476	Yes	
row_151	OR52L1	3826	1.1856945753097534	0.46025103	Yes	
row_152	OR9G1	3890	1.1738859415054321	0.45978197	Yes	
row_153	OR3A3	3936	1.1645268201828003	0.46023136	Yes	
row_154	OR14C36	3953	1.160889983177185	0.46218795	Yes	
row_155	OR4A5	3986	1.1550637483596802	0.46329412	Yes	
row_156	OR52K1	4006	1.1522661447525024	0.46507314	Yes	
row_157	OR6N2	4011	1.1510820388793945	0.4676334	Yes	
row_158	OR52R1	4012	1.1510307788848877	0.47040266	Yes	
row_159	OR6C6	4018	1.1500810384750366	0.47290823	Yes	
row_160	OR7D4	4118	1.1300262212753296	0.47045183	Yes	
row_161	OR10H1	4127	1.1280262470245361	0.47274753	Yes	
row_162	OR5V1	4130	1.1278283596038818	0.4753564	Yes	
row_163	OR8G5	4219	1.1110424995422363	0.47342932	Yes	
row_164	OR5P3	4284	1.09730863571167	0.47272378	Yes	
row_165	OR4Q3	4289	1.0957741737365723	0.47515097	Yes	
row_166	OR10R2	4298	1.0941178798675537	0.4773651	Yes	
row_167	OR2T33	4333	1.0866646766662598	0.4782022	Yes	
row_168	OR51S1	4366	1.0803827047348022	0.4791287	Yes	
row_169	OR8K1	4448	1.0669993162155151	0.47746158	Yes	
row_170	OR4A15	4519	1.0553239583969116	0.47634137	Yes	
row_171	OR52Z1	4530	1.0538517236709595	0.47835407	Yes	
row_172	OR8H3	4584	1.044973611831665	0.47809765	Yes	
row_173	OR2T1	4667	1.0327025651931763	0.47629574	Yes	
row_174	OR4Q2	4682	1.0285283327102661	0.4780384	Yes	
row_175	OR4K15	4733	1.0184693336486816	0.47787502	Yes	
row_176	OR5T2	4745	1.0165032148361206	0.4797456	Yes	
row_177	OR11H12	4752	1.0147268772125244	0.48187327	Yes	
row_178	OR10A5	4802	1.005353569984436	0.4817306	Yes	
row_179	OR5K4	4812	1.0040689706802368	0.4836758	Yes	
row_180	OR11H2	4871	0.9908367395401001	0.48302776	Yes	
row_181	OR1A2	4950	0.9779295325279236	0.48130316	Yes	
row_182	OR2A12	4981	0.973548173904419	0.48207718	Yes	
row_183	OR4C12	4992	0.9720454812049866	0.48389307	Yes	
row_184	OR6C76	5050	0.9612247943878174	0.48322606	Yes	
row_185	OR1S2	5120	0.9496909976005554	0.481904	Yes	
row_186	OR56B1	5171	0.9397013187408447	0.4815511	Yes	
row_187	OR1N2	5223	0.93179851770401	0.48112693	Yes	
row_188	OR1C1	5239	0.9288873076438904	0.48257762	Yes	
row_189	OR5H15	5240	0.9287241697311401	0.48481202	Yes	
row_190	OR10J4	5267	0.9245666265487671	0.48567727	Yes	
row_191	OR4F4	5347	0.9106321334838867	0.4837385	Yes	
row_192	OR56B4	5356	0.9092024564743042	0.48550776	Yes	
row_193	OR2T29	5364	0.9079623818397522	0.4873263	Yes	
row_194	OR2L5	5376	0.9054515361785889	0.4889297	Yes	
row_195	OR5B2	5384	0.9035742878913879	0.49073765	Yes	
row_196	OR4K1	5430	0.8950306177139282	0.49053866	Yes	
row_197	OR13C2	5431	0.8948360681533813	0.49269152	Yes	
row_198	OR4F3	5454	0.8885374665260315	0.49367923	Yes	
row_199	OR4A8	5548	0.8729774951934814	0.490918	Yes	
row_200	OR1E1	5643	0.8578457236289978	0.48806813	Yes	
row_201	OR4K17	5655	0.8570252656936646	0.48955503	Yes	
row_202	OR2F1	5668	0.8539407849311829	0.4909822	Yes	
row_203	OR4D5	5717	0.8467660546302795	0.49051028	Yes	
row_204	OR5D14	5720	0.8465391397476196	0.4924424	Yes	
row_205	OR9Q1	5733	0.8446476459503174	0.49384725	Yes	
row_206	OR52M1	5774	0.8382068276405334	0.49377292	Yes	
row_207	OR4S1	5776	0.8378393054008484	0.4957364	Yes	
row_208	OR4D9	5783	0.8368032574653625	0.497436	Yes	
row_209	OR2T6	5858	0.8265824913978577	0.49555635	Yes	
row_210	OR6B3	5877	0.8234971761703491	0.49659666	Yes	
row_211	OR4D10	6002	0.8075240254402161	0.4920575	Yes	
row_212	OR5K2	6007	0.8066731691360474	0.49378917	Yes	
row_213	OR2G2	6022	0.8045573234558105	0.494993	Yes	
row_214	OR8H2	6132	0.7865769267082214	0.49118754	Yes	
row_215	OR2A4	6139	0.7855172753334045	0.49276376	Yes	
row_216	OR5W2	6183	0.777941107749939	0.49238762	Yes	
row_217	OR52J3	6209	0.7747330069541931	0.4929447	Yes	
row_218	OR8B4	6254	0.7667697668075562	0.4924894	Yes	
row_219	OR52N1	6269	0.7628094553947449	0.4935928	Yes	
row_220	OR4E2	6272	0.7624733448028564	0.49532264	Yes	
row_221	OR8I2	6292	0.758493959903717	0.4961543	Yes	
row_222	OR4L1	6298	0.7574492692947388	0.49771526	Yes	
row_223	OR8B8	6419	0.739233672618866	0.4932209	No	
row_224	OR7G3	6503	0.7272929549217224	0.49063194	No	
row_225	OR51B2	6531	0.7234347462654114	0.49096105	No	
row_226	OR6P1	6550	0.7200906872749329	0.49175256	No	
row_227	OR51J1	6568	0.718016505241394	0.49259135	No	
row_228	OR1D4	6631	0.7053040862083435	0.49104726	No	
row_229	OR10H5	6648	0.7030560970306396	0.49190235	No	
row_230	OR10H3	6723	0.6943056583404541	0.4897045	No	
row_231	OR51D1	6769	0.6867945790290833	0.4890045	No	
row_232	OR5J2	6790	0.6830250024795532	0.4896023	No	
row_233	OR1F1	6800	0.6801584362983704	0.49076822	No	
row_234	OR4K3	6814	0.6786507964134216	0.49172142	No	
row_235	OR4N4	6852	0.6716626882553101	0.49140322	No	
row_236	OR10J3	6920	0.6608516573905945	0.48949078	No	
row_237	OR2V1	7003	0.6496968865394592	0.4867674	No	
row_238	OR5L1	7006	0.6481671929359436	0.48822227	No	
row_239	OR11H4	7008	0.6478090882301331	0.48972857	No	
row_240	OR8H1	7034	0.6440632939338684	0.48997125	No	
row_241	OR4S2	7086	0.6374388337135315	0.48883888	No	
row_242	OR4X1	7093	0.6360194683074951	0.4900554	No	
row_243	OR2D3	7165	0.6253696084022522	0.48784855	No	
row_244	OR13F1	7328	0.5994803309440613	0.48082244	No	
row_245	OR52A1	7359	0.5925093293190002	0.48067972	No	
row_246	OR52E4	7367	0.5917836427688599	0.48173758	No	
row_247	OR51Q1	7369	0.5916059017181396	0.48310864	No	
row_248	OR10A2	7386	0.5891716480255127	0.48368973	No	
row_249	OR8D4	7438	0.5806348323822021	0.48242068	No	
row_250	OR2W5	7462	0.5762737989425659	0.48260483	No	
row_251	OR6C3	7483	0.570827305316925	0.4829327	No	
row_252	OR4F29	7692	0.5402703285217285	0.47335956	No	
row_253	OR4F16	7693	0.5402703285217285	0.47465938	No	
row_254	OR10T2	7762	0.5290905833244324	0.4723777	No	
row_255	OR51H1	7816	0.5209571719169617	0.4708605	No	
row_256	OR5D18	7886	0.511987566947937	0.4684854	No	
row_257	OR13C5	7959	0.49884432554244995	0.46592185	No	
row_258	OR51M1	8050	0.4847036302089691	0.46238333	No	
row_259	OR4D11	8056	0.4838029742240906	0.46328592	No	
row_260	OR12D1	8119	0.4752066731452942	0.46118823	No	
row_261	OR52B2	8141	0.47145602107048035	0.46122473	No	
row_262	OR5K1	8211	0.45879632234573364	0.45872164	No	
row_263	OR2A7	8239	0.45540374517440796	0.4584059	No	
row_264	OR6S1	8268	0.4492951035499573	0.4580232	No	
row_265	OR6K3	8348	0.43662774562835693	0.454944	No	
row_266	OR2AT4	8365	0.43457087874412537	0.45515317	No	
row_267	OR5K3	8391	0.43126553297042847	0.45488387	No	
row_268	OR7E24	8407	0.42819878458976746	0.45512998	No	
row_269	OR1L4	8541	0.40665119886398315	0.4491559	No	
row_270	OR2B6	8663	0.3899936378002167	0.44376904	No	
row_271	OR1D5	8826	0.3667336702346802	0.43618298	No	
row_272	OR2M4	8883	0.35787340998649597	0.43411663	No	
row_273	OR2C3	8919	0.35172826051712036	0.43313324	No	
row_274	OR10A4	8983	0.3397127389907837	0.4306573	No	
row_275	OR2A5	8998	0.3366270661354065	0.43073535	No	
row_276	OR2S2	9027	0.33122488856315613	0.43006858	No	
row_277	OR7A5	9050	0.3283553421497345	0.42970854	No	
row_278	OR2V2	9065	0.32622772455215454	0.42976156	No	
row_279	OR7D2	9068	0.3250850439071655	0.4304391	No	
row_280	OR11H1	9099	0.32009798288345337	0.42964104	No	
row_281	OR5T3	9110	0.318050354719162	0.42988348	No	
row_282	OR5M10	9235	0.29826560616493225	0.4241191	No	
row_283	OR8J3	9345	0.2811432480812073	0.41909763	No	
row_284	OR5AU1	9360	0.2796900272369385	0.4190387	No	
row_285	OR12D3	9422	0.27073004841804504	0.41650134	No	
row_286	OR10H2	9473	0.26226183772087097	0.41451862	No	
row_287	OR2L13	9556	0.24703237414360046	0.41082647	No	
row_288	OR5B3	9586	0.24307040870189667	0.40989533	No	
row_289	OR8U1	9609	0.24054788053035736	0.40932405	No	
row_290	OR4K14	9628	0.23806284368038177	0.40895587	No	
row_291	OR51V1	9655	0.2345343679189682	0.408161	No	
row_292	OR6X1	9677	0.23123876750469208	0.4076196	No	
row_293	OR10C1	9678	0.23119355738162994	0.4081758	No	
row_294	OR8J1	9763	0.2177177220582962	0.40430862	No	
row_295	OR5AS1	9789	0.21429628133773804	0.40351734	No	
row_296	OR8K5	9866	0.2015775591135025	0.40002948	No	
row_297	OR10Z1	9991	0.18321973085403442	0.3939883	No	
row_298	OR52I1	10063	0.1726909577846527	0.39069235	No	
row_299	OR10G4	10098	0.16748197376728058	0.38931796	No	
row_300	OR9G4	10137	0.1610884964466095	0.38771912	No	
row_301	OR5AK2	10166	0.1562250852584839	0.3866313	No	
row_302	OR2Z1	10211	0.15029127895832062	0.38469285	No	
row_303	OR8B3	10236	0.14660945534706116	0.383791	No	
row_304	OR4F21	10264	0.14118432998657227	0.38271928	No	
row_305	OR13J1	10313	0.1346653252840042	0.3805341	No	
row_306	OR4P4	10314	0.13452036678791046	0.38085774	No	
row_307	OR2AP1	10382	0.12426114827394485	0.37765434	No	
row_308	OR2B11	10446	0.11177507787942886	0.37463	No	
row_309	OR5H1	10556	0.09654507040977478	0.36916444	No	
row_310	OR2H1	10567	0.09474135935306549	0.36886963	No	
row_311	OR5AR1	10577	0.09267925471067429	0.36862215	No	
row_312	OR8B2	10615	0.08629771322011948	0.36689562	No	
row_313	OR14I1	10677	0.07608103007078171	0.36388996	No	
row_314	OR10X1	10685	0.07399196922779083	0.36370206	No	
row_315	OR10W1	10778	0.059800513088703156	0.35903674	No	
row_316	OR4C13	10800	0.055583544075489044	0.3580727	No	
row_317	OR5D16	10816	0.05242052301764488	0.35741472	No	
row_318	OR4D1	10822	0.05138466879725456	0.35727698	No	
row_319	OR51G2	10856	0.0450444296002388	0.35566032	No	
row_320	OR6Q1	10886	0.041245073080062866	0.3542436	No	
row_321	OR7C1	10904	0.03768534958362579	0.3534456	No	
row_322	OR10S1	10978	0.025116151198744774	0.34969002	No	
row_323	OR7A17	11020	0.019386596977710724	0.34759346	No	
row_324	OR51E1	11084	0.010167750529944897	0.34432465	No	
row_325	OR2T27	11224	-0.013519282452762127	0.3370911	No	
row_326	OR6B1	11237	-0.016252577304840088	0.3365029	No	
row_327	OR5A2	11330	-0.029221026226878166	0.331764	No	
row_328	OR52H1	11334	-0.029560506343841553	0.3316783	No	
row_329	OR52B4	11351	-0.0321287102997303	0.33091924	No	
row_330	OR2L2	11398	-0.039988040924072266	0.32861084	No	
row_331	OR4C5	11430	-0.04486103728413582	0.32709828	No	
row_332	OR7G2	11487	-0.05313552916049957	0.32429877	No	
row_333	OR6T1	11551	-0.06286142766475677	0.32115674	No	
row_334	OR9K2	11579	-0.06595391035079956	0.31990403	No	
row_335	OR1B1	11607	-0.06971302628517151	0.31866035	No	
row_336	OR52D1	11629	-0.07429860532283783	0.31774136	No	
row_337	OR13G1	11817	-0.1043618768453598	0.30821723	No	
row_338	OR11L1	11823	-0.10623951256275177	0.30821145	No	
row_339	OR5AL1	11840	-0.10879763960838318	0.30763683	No	
row_340	OR1J4	11844	-0.10949807614088058	0.30774343	No	
row_341	OR2A42	12001	-0.13517989218235016	0.29991394	No	
row_342	OR4K5	12061	-0.14617018401622772	0.29718146	No	
row_343	OR51I1	12075	-0.14793193340301514	0.2968578	No	
row_344	OR10J5	12080	-0.14841221272945404	0.29700574	No	
row_345	OR51B6	12081	-0.14848102629184723	0.29736298	No	
row_346	OR2B2	12166	-0.16101329028606415	0.29335934	No	
row_347	OR5I1	12452	-0.2140970081090927	0.27897638	No	
row_348	OR1L3	12597	-0.23682823777198792	0.2720187	No	
row_349	OR6C65	12633	-0.24477453529834747	0.27077803	No	
row_350	OR6B2	12872	-0.28595685958862305	0.2590248	No	
row_351	OR2T10	12910	-0.2925061583518982	0.2577944	No	
row_352	OR2AG2	12916	-0.2932279109954834	0.25823852	No	
row_353	OR4D2	12930	-0.29524141550064087	0.25826928	No	
row_354	OR8D2	12964	-0.29993343353271484	0.25726584	No	
row_355	OR5A1	13023	-0.3106789290904999	0.2549814	No	
row_356	OR8A1	13114	-0.32381993532180786	0.2510558	No	
row_357	OR10G9	13295	-0.3585736155509949	0.2425092	No	
row_358	OR2G6	13521	-0.39680203795433044	0.23170222	No	
row_359	OR52K2	13756	-0.4376879036426544	0.22052315	No	
row_360	OR2AG1	13791	-0.4428102672100067	0.21981119	No	
row_361	OR51F2	13862	-0.45368292927742004	0.21724352	No	
row_362	OR2T2	13947	-0.4689958393573761	0.21398085	No	
row_363	OR1L1	14054	-0.48783761262893677	0.2096135	No	
row_364	OR2D2	14195	-0.512466311454773	0.20352809	No	
row_365	OR2T5	14392	-0.5506183505058289	0.19460712	No	
row_366	OR1K1	14455	-0.5642601251602173	0.19272368	No	
row_367	OR51G1	14672	-0.6104395985603333	0.18290116	No	
row_368	OR6J1	14785	-0.6326892971992493	0.17856865	No	
row_369	OR51L1	14790	-0.6339758634567261	0.17988482	No	
row_370	OR4C16	14873	-0.6489473581314087	0.17715965	No	
row_371	OR9I1	14876	-0.6507123112678528	0.17862064	No	
