NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLOC1S3	752	2.1125571727752686	-0.014158079	No	
row_1	AP3B2	1618	1.7441595792770386	-0.03840377	No	
row_2	KIF23	1681	1.7252448797225952	-0.021568783	No	
row_3	WASF1	2025	1.6203703880310059	-0.020403508	No	
row_4	SPAST	2546	1.4716928005218506	-0.030067367	No	
row_5	KIF3C	2551	1.470339059829712	-0.013207827	No	
row_6	CLN3	2900	1.3922277688980103	-0.0149476165	No	
row_7	TRIM46	3315	1.298547387123108	-0.02116923	No	
row_8	SYNE2	3483	1.2625242471694946	-0.01510514	No	
row_9	PRKCZ	3781	1.1943633556365967	-0.016518362	No	
row_10	STK11	3977	1.1572175025939941	-0.0131166065	No	
row_11	NEFH	4638	1.0368530750274658	-0.035027906	No	
row_12	KIF13A	6143	0.7847210168838501	-0.10327447	No	
row_13	MAP1S	6315	0.7550526857376099	-0.103306	No	
row_14	LRPPRC	6449	0.7350740432739258	-0.10161499	No	
row_15	COPG2	6474	0.7316245436668396	-0.09435787	No	
row_16	TMEM201	6694	0.6971893906593323	-0.09752975	No	
row_17	KIF1A	7629	0.5488111972808838	-0.1391979	No	
row_18	COPG1	7638	0.5477897524833679	-0.13325152	No	
row_19	BLOC1S4	8031	0.4882443845272064	-0.14774628	No	
row_20	NDE1	8444	0.42349064350128174	-0.16402125	No	
row_21	FBXW11	8890	0.3563605844974518	-0.18277262	No	
row_22	BICD2	9476	0.26118531823158264	-0.20982915	No	
row_23	SNAPIN	9498	0.256168931722641	-0.20793605	No	
row_24	KIF1B	9502	0.255278617143631	-0.20512749	No	
row_25	KIF1C	9535	0.25015994906425476	-0.20386988	No	
row_26	NEFL	9760	0.21869832277297974	-0.21285245	No	
row_27	KIF5B	9794	0.21361465752124786	-0.21207044	No	
row_28	VAMP7	9950	0.1899927407503128	-0.21783733	No	
row_29	FEZ1	10061	0.1731993854045868	-0.22148468	No	
row_30	RAB1A	10100	0.16715684533119202	-0.22149903	No	
row_31	AP3S2	10628	0.08349039405584335	-0.24763489	No	
row_32	CNIH2	10763	0.062095798552036285	-0.2538061	No	
row_33	BORCS5	10768	0.06171513721346855	-0.25329557	No	
row_34	DTNBP1	10915	0.03536868095397949	-0.2603942	No	
row_35	DYNC1I1	11454	-0.04849468544125557	-0.28750196	No	
row_36	AGBL4	11474	-0.05113246291875839	-0.28788573	No	
row_37	BLOC1S6	12288	-0.18274283409118652	-0.3275793	No	
row_38	CDC42	12462	-0.21588477492332458	-0.33397144	No	
row_39	BLOC1S5	12561	-0.23218277096748352	-0.33631703	No	
row_40	MAPT	13071	-0.31769102811813354	-0.35880888	No	
row_41	AP3S1	14102	-0.4963534474372864	-0.40602338	No	
row_42	AP3M1	15235	-0.7219163775444031	-0.45586604	No	
row_43	RASGRP1	15260	-0.7265059351921082	-0.44866833	No	
row_44	NDEL1	15300	-0.7364583015441895	-0.4421266	No	
row_45	BLOC1S1	15368	-0.7508545517921448	-0.4368579	No	
row_46	KIFAP3	15988	-0.8811997771263123	-0.45846704	Yes	
row_47	BICD1	16080	-0.9013188481330872	-0.45268637	Yes	
row_48	KIF3B	16172	-0.9185603260993958	-0.44670558	Yes	
row_49	PAFAH1B1	16173	-0.9190247654914856	-0.43603906	Yes	
row_50	TRIM58	16291	-0.9444260597229004	-0.4310953	Yes	
row_51	TRAK2	16575	-1.0122510194778442	-0.43390214	Yes	
row_52	HAP1	16926	-1.1011292934417725	-0.43912336	Yes	
row_53	DYNC1H1	17074	-1.130959153175354	-0.43355763	Yes	
row_54	SUN1	17218	-1.1748855113983154	-0.4272763	Yes	
row_55	RHOT2	17494	-1.2564603090286255	-0.42683733	Yes	
row_56	UXT	17576	-1.2862560749053955	-0.4160746	Yes	
row_57	MAP1B	17579	-1.2866616249084473	-0.401244	Yes	
row_58	MGARP	17666	-1.315463662147522	-0.3903995	Yes	
row_59	RAB6A	17713	-1.327423095703125	-0.37735882	Yes	
row_60	OPA1	17797	-1.353982925415039	-0.3659129	Yes	
row_61	UCHL1	17824	-1.3653331995010376	-0.35140362	Yes	
row_62	MAP2	17934	-1.4024989604949951	-0.34073186	Yes	
row_63	KIF5A	18331	-1.5730286836624146	-0.34284195	Yes	
row_64	AP3B1	18439	-1.613208293914795	-0.32962176	Yes	
row_65	AP3M2	18491	-1.640966773033142	-0.3131992	Yes	
row_66	HIF1A	18507	-1.6472749710083008	-0.2948518	Yes	
row_67	SUN2	18541	-1.6683080196380615	-0.27718613	Yes	
row_68	LAMP1	18678	-1.7396360635757446	-0.2639901	Yes	
row_69	HTT	18750	-1.783918023109436	-0.24693702	Yes	
row_70	RHOT1	18762	-1.788413643836975	-0.22674581	Yes	
row_71	PEX14	18771	-1.7944504022598267	-0.20633025	Yes	
row_72	ARHGAP21	18775	-1.796401858329773	-0.18563488	Yes	
row_73	FYCO1	18935	-1.9005903005599976	-0.17175372	Yes	
row_74	ACTR10	18956	-1.9211151599884033	-0.15048523	Yes	
row_75	KIF3A	18975	-1.9311070442199707	-0.1289979	Yes	
row_76	MREG	19119	-2.0633463859558105	-0.11240482	Yes	
row_77	BLOC1S2	19239	-2.193974494934082	-0.09306124	Yes	
row_78	UBB	19241	-2.194303274154663	-0.06764482	Yes	
row_79	AP3D1	19253	-2.2158901691436768	-0.042492177	Yes	
row_80	SYBU	19288	-2.27264404296875	-0.017863777	Yes	
row_81	TRAK1	19425	-2.580528736114502	0.0050919387	Yes	
