NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGN	10	3.7263524532318115	0.17590615	Yes	
row_1	TACR2	154	2.742649793624878	0.2984226	Yes	
row_2	SEMG1	895	2.025398015975952	0.356379	Yes	
row_3	PGAM4	1458	1.7937943935394287	0.4124949	Yes	
row_4	PRDM14	1652	1.73187255859375	0.48459452	Yes	
row_5	TPPP2	2434	1.4970093965530396	0.51543343	Yes	
row_6	TACR1	2801	1.4135006666183472	0.563592	Yes	
row_7	TACR3	2970	1.376503348350525	0.6201487	Yes	
row_8	EPPIN	4709	1.0233403444290161	0.5795056	No	
row_9	SEMG2	7428	0.5815601348876953	0.46771133	No	
row_10	RNASE10	8891	0.3562302887439728	0.40963292	No	
row_11	IQCF1	9415	0.27130386233329773	0.39566788	No	
row_12	TAC4	11227	-0.014349179342389107	0.30351353	No	
row_13	DEFB1	12101	-0.15136612951755524	0.26592886	No	
row_14	CFAP69	12843	-0.28038936853408813	0.24121907	No	
row_15	TEX101	15865	-0.8587484359741211	0.12701572	No	
row_16	CCR6	17558	-1.277829647064209	0.10077908	No	
