NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADH6	119	2.8292853832244873	0.15800539	Yes	
row_1	HSD17B6	128	2.797236204147339	0.31984267	Yes	
row_2	RDH12	965	1.986195683479309	0.3921867	Yes	
row_3	AKR1C3	972	1.9842469692230225	0.50697094	Yes	
row_4	ADH4	1500	1.7816075086593628	0.5832904	Yes	
row_5	ADH1B	1819	1.6810834407806396	0.66449434	Yes	
row_6	SDR16C5	6026	0.804183304309845	0.4955022	No	
row_7	RDH11	6532	0.7233489155769348	0.51156765	No	
row_8	RDH16	7948	0.5006661415100098	0.46806216	No	
row_9	DHRS7C	8842	0.3632942736148834	0.4433511	No	
row_10	DHRS9	9696	0.22897912561893463	0.41290015	No	
row_11	ADH1C	10783	0.05950154364109039	0.36067337	No	
row_12	ADH7	11282	-0.02245534025132656	0.33644393	No	
row_13	SDR9C7	11458	-0.04920205473899841	0.33032572	No	
row_14	ADH1A	11461	-0.04950931668281555	0.33309487	No	
row_15	RDH5	11471	-0.05089018866419792	0.3355852	No	
row_16	RDH8	11491	-0.05364968627691269	0.33772293	No	
row_17	DHRS3	12378	-0.2005925327539444	0.30393362	No	
row_18	BMP2	12923	-0.29403841495513916	0.29309836	No	
row_19	RDH10	15512	-0.7805911302566528	0.20569089	No	
