NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	78	2.9768905639648438	0.0027669368	Yes	
row_1	OR2T8	130	2.7907979488372803	0.006518929	Yes	
row_2	OR52E8	144	2.753028154373169	0.012173023	Yes	
row_3	OR6C70	147	2.7527410984039307	0.018402223	Yes	
row_4	OR4C45	176	2.6971840858459473	0.023142688	Yes	
row_5	OR13C4	180	2.6908886432647705	0.029177226	Yes	
row_6	OR10A7	231	2.6158294677734375	0.032578968	Yes	
row_7	OR5AN1	233	2.6153948307037354	0.038544483	Yes	
row_8	OR2H2	237	2.61094331741333	0.044395074	Yes	
row_9	OR52E1	239	2.6096160411834717	0.050347295	Yes	
row_10	OR8S1	255	2.5891904830932617	0.055519722	Yes	
row_11	OR4F5	269	2.562887668609619	0.060736317	Yes	
row_12	OR2M7	270	2.562002658843994	0.066631325	Yes	
row_13	OR56A4	282	2.544290781021118	0.07190981	Yes	
row_14	OR2A14	290	2.533864974975586	0.077373676	Yes	
row_15	OR1L8	325	2.4869384765625	0.08131633	Yes	
row_16	OR12D2	338	2.4746899604797363	0.08638232	Yes	
row_17	OR2J3	348	2.4618160724639893	0.09157573	Yes	
row_18	OR4E1	378	2.430952787399292	0.09565127	Yes	
row_19	OR11A1	388	2.424846649169922	0.10075961	Yes	
row_20	OR51A7	432	2.3732752799987793	0.10396965	Yes	
row_21	OR51I2	435	2.3689911365509033	0.10931586	Yes	
row_22	OR13C9	504	2.3040308952331543	0.11105801	Yes	
row_23	OR5H6	526	2.285691499710083	0.11521806	Yes	
row_24	OR10H4	530	2.283409833908081	0.12031501	Yes	
row_25	OR13D1	562	2.2525241374969482	0.12387531	Yes	
row_26	OR10G3	580	2.2419381141662598	0.12814406	Yes	
row_27	OR9A4	637	2.1992552280426025	0.13027324	Yes	
row_28	OR4N5	645	2.195525646209717	0.1349586	Yes	
row_29	OR4F15	664	2.174614906311035	0.13902009	Yes	
row_30	OR6M1	716	2.139611005783081	0.14127374	Yes	
row_31	OR2T12	744	2.118551731109619	0.14473516	Yes	
row_32	OR6C4	765	2.104398012161255	0.1485304	Yes	
row_33	OR51A2	778	2.0949671268463135	0.15272267	Yes	
row_34	OR2A25	780	2.093041181564331	0.15748629	Yes	
row_35	OR52N4	790	2.0874452590942383	0.16181828	Yes	
row_36	OR13H1	815	2.0790457725524902	0.16534582	Yes	
row_37	OR2K2	869	2.044642448425293	0.16727628	Yes	
row_38	OR13C3	870	2.0437393188476562	0.17197879	Yes	
row_39	OR56A3	914	2.017052173614502	0.17436919	Yes	
row_40	OR6C68	916	2.014705181121826	0.17895254	Yes	
row_41	OR5H2	999	1.9717698097229004	0.1791974	Yes	
row_42	OR5C1	1000	1.9714807271957397	0.18373364	Yes	
row_43	OR2T35	1009	1.9665565490722656	0.18783984	Yes	
row_44	OR2L8	1020	1.9622267484664917	0.19183137	Yes	
row_45	OR9A2	1023	1.9606778621673584	0.19623809	Yes	
row_46	OR9Q2	1039	1.955289363861084	0.19995195	Yes	
row_47	OR2Y1	1047	1.9528385400772095	0.20407891	Yes	
row_48	OR7G1	1060	1.9429386854171753	0.20792139	Yes	
row_49	OR10G8	1094	1.9294463396072388	0.21063362	Yes	
row_50	OR1G1	1117	1.9223546981811523	0.2139053	Yes	
row_51	OR10G2	1120	1.9218226671218872	0.2182226	Yes	
row_52	OR5P2	1151	1.9051578044891357	0.22103599	Yes	
row_53	NCAM2	1165	1.8994674682617188	0.2247261	Yes	
row_54	OR56A1	1193	1.8871252536773682	0.22765501	Yes	
row_55	OR1A1	1200	1.8842803239822388	0.23167656	Yes	
row_56	OR1E3	1232	1.8722354173660278	0.23436184	Yes	
row_57	OR5AC1	1266	1.8610891103744507	0.2369168	Yes	
row_58	OR13C8	1286	1.8537251949310303	0.2401876	Yes	
row_59	OR4C3	1318	1.843291163444519	0.24280629	Yes	
row_60	OR1I1	1323	1.840706706047058	0.24683227	Yes	
row_61	OR1E2	1356	1.8276649713516235	0.24936265	Yes	
row_62	OR1P1	1360	1.82663094997406	0.25340858	Yes	
row_63	OR5F1	1438	1.801933765411377	0.25352436	Yes	
row_64	OR52N2	1462	1.7918989658355713	0.25644353	Yes	
row_65	OR2T3	1475	1.7874510288238525	0.25992826	Yes	
row_66	OR52W1	1481	1.7855254411697388	0.2637749	Yes	
row_67	OR51F1	1518	1.7755142450332642	0.26597595	Yes	
row_68	OR52B6	1588	1.755375862121582	0.26640332	Yes	
row_69	OR10Q1	1601	1.7500669956207275	0.269802	Yes	
row_70	OR51T1	1622	1.7429665327072144	0.27276564	Yes	
row_71	OR6C1	1658	1.7299094200134277	0.27491406	Yes	
row_72	OR11G2	1660	1.7295292615890503	0.27884126	Yes	
row_73	OR52E6	1661	1.7295029163360596	0.28282073	Yes	
row_74	OR51E2	1695	1.722362756729126	0.28505647	Yes	
row_75	OR4M1	1706	1.7173988819122314	0.2884847	Yes	
row_76	OR6Y1	1765	1.6965123414993286	0.2893524	Yes	
row_77	OR8K3	1778	1.693566083908081	0.29262108	Yes	
row_78	OR4A16	1812	1.683097243309021	0.2947665	Yes	
row_79	OR10A3	1815	1.6824843883514404	0.29853308	Yes	
row_80	OR4C15	1824	1.679533839225769	0.30197886	Yes	
row_81	OR4C46	1852	1.6711987257003784	0.30441093	Yes	
row_82	OR1M1	1926	1.6478418111801147	0.30438152	Yes	
row_83	OR6A2	1951	1.6413021087646484	0.30690184	Yes	
row_84	OR2T4	1960	1.6368149518966675	0.3102493	Yes	
row_85	OR2W1	1988	1.6306571960449219	0.3125881	Yes	
row_86	OR5D13	1991	1.6293407678604126	0.31623244	Yes	
row_87	OR11H6	2003	1.6248334646224976	0.3193953	Yes	
row_88	OR4N2	2020	1.62089204788208	0.3222874	Yes	
row_89	OR8D1	2032	1.6186373233795166	0.32543603	Yes	
row_90	OR14J1	2096	1.6012343168258667	0.3258228	Yes	
row_91	BEST2	2108	1.5974706411361694	0.3289227	Yes	
row_92	OR5R1	2112	1.5954697132110596	0.33243674	Yes	
row_93	OR2F2	2133	1.5857127904891968	0.3350385	Yes	
row_94	OR4B1	2134	1.5852575302124023	0.3386861	Yes	
row_95	OR5AP2	2144	1.5830409526824951	0.3418575	Yes	
row_96	OR10AG1	2171	1.5755033493041992	0.34412172	Yes	
row_97	OR8B12	2207	1.5631543397903442	0.34588647	Yes	
row_98	OR51B4	2226	1.5570950508117676	0.3485271	Yes	
row_99	OR6N1	2227	1.5566896200180054	0.35210893	Yes	
row_100	OR56A5	2236	1.553573489189148	0.35526487	Yes	
row_101	OR7A10	2256	1.5459961891174316	0.3578276	Yes	
row_102	OR13C7	2318	1.5283842086791992	0.35815144	Yes	
row_103	OR4D6	2319	1.5278184413909912	0.36166686	Yes	
row_104	OR5B17	2399	1.505276083946228	0.36099535	Yes	
row_105	OR6K6	2429	1.498046636581421	0.36292434	Yes	
row_106	OR10K1	2470	1.4883153438568115	0.36425516	Yes	
row_107	OR6V1	2533	1.4744282960891724	0.3644025	Yes	
row_108	OR2J1	2534	1.4743660688400269	0.36779493	Yes	
row_109	OR1J1	2544	1.4720466136932373	0.37071094	Yes	
row_110	OR1D2	2555	1.4695992469787598	0.37356898	Yes	
row_111	OR10J1	2590	1.4631284475326538	0.3751559	Yes	
row_112	OR1S1	2593	1.4626966714859009	0.37841678	Yes	
row_113	OR5M9	2597	1.4620429277420044	0.38162383	Yes	
row_114	OR2J2	2677	1.44259512424469	0.38080812	Yes	
row_115	OR5M1	2684	1.4416258335113525	0.38381115	Yes	
row_116	OR1J2	2730	1.4297921657562256	0.3847456	Yes	
row_117	OR2T11	2762	1.4219249486923218	0.38639474	Yes	
row_118	OR4K2	2785	1.4154024124145508	0.38849998	Yes	
row_119	OR2L3	2826	1.408308744430542	0.3896467	Yes	
row_120	OR52N5	2832	1.4079378843307495	0.39262456	Yes	
row_121	OR13A1	2840	1.4073154926300049	0.3954963	Yes	
row_122	OR2T34	2903	1.391036033630371	0.39545178	Yes	
row_123	OR4F17	2981	1.3740917444229126	0.3945831	Yes	
row_124	OR10G7	3052	1.3590563535690308	0.39404625	Yes	
row_125	OR11H7	3122	1.3410487174987793	0.3935203	Yes	
row_126	OR10A6	3160	1.3338967561721802	0.39465284	Yes	
row_127	OR2M5	3195	1.3269070386886597	0.39592636	Yes	
row_128	OR5B12	3253	1.314155101776123	0.39596662	Yes	
row_129	OR2AE1	3259	1.3131471872329712	0.39872637	Yes	
row_130	OR2B3	3270	1.3107211589813232	0.40121883	Yes	
row_131	OR4A47	3279	1.3084744215011597	0.40381083	Yes	
row_132	OR3A1	3282	1.3072348833084106	0.406714	Yes	
row_133	OR4C11	3284	1.3066657781600952	0.4096682	Yes	
row_134	OR8J2	3287	1.305567741394043	0.41256756	Yes	
row_135	OR14A16	3297	1.3027944564819336	0.41509414	Yes	
row_136	OR2G3	3311	1.2991732358932495	0.41740298	Yes	
row_137	OR10K2	3383	1.2836010456085205	0.41664016	Yes	
row_138	OR5M3	3389	1.2828224897384644	0.41933015	Yes	
row_139	OBP2B	3415	1.2779594659805298	0.4209621	Yes	
row_140	OR2M3	3428	1.2744107246398926	0.42326632	Yes	
row_141	OR3A2	3448	1.270039677619934	0.4251941	Yes	
row_142	OR6C2	3510	1.2557799816131592	0.4248907	Yes	
row_143	OR2M2	3530	1.2523646354675293	0.4267778	Yes	
row_144	OR1N1	3552	1.2475496530532837	0.42854914	Yes	
row_145	OR52I2	3597	1.236322045326233	0.4290908	Yes	
row_146	OR1Q1	3599	1.2357149124145508	0.43188176	Yes	
row_147	OR1L6	3606	1.2333327531814575	0.4344055	Yes	
row_148	OR10AD1	3629	1.2273766994476318	0.4360781	Yes	
row_149	BBS1	3680	1.2156181335449219	0.43625805	Yes	
row_150	OR2A1	3683	1.2145196199417114	0.4389479	Yes	
row_151	OR7C2	3690	1.2130699157714844	0.44142503	Yes	
row_152	OR6F1	3699	1.2113343477249146	0.4437935	Yes	
row_153	OR5H14	3734	1.2042913436889648	0.44478485	Yes	
row_154	NXNL2	3805	1.189734697341919	0.4438584	Yes	
row_155	OR10AC1	3809	1.188836932182312	0.44643682	Yes	
row_156	OR52L1	3826	1.1856945753097534	0.44832754	Yes	
row_157	FZD2	3878	1.175734043121338	0.4483634	Yes	
row_158	OR9G1	3890	1.1738859415054321	0.45048866	Yes	
row_159	OR3A3	3936	1.1645268201828003	0.45081276	Yes	
row_160	OR14C36	3953	1.160889983177185	0.4526464	Yes	
row_161	OR4A5	3986	1.1550637483596802	0.4536292	Yes	
row_162	OR52K1	4006	1.1522661447525024	0.45528597	Yes	
row_163	OR6N2	4011	1.1510820388793945	0.45772517	Yes	
row_164	OR52R1	4012	1.1510307788848877	0.4603736	Yes	
row_165	OR6C6	4018	1.1500810384750366	0.46275818	Yes	
row_166	OR7D4	4118	1.1300262212753296	0.4601764	Yes	
row_167	OR10H1	4127	1.1280262470245361	0.46235317	Yes	
row_168	OR5V1	4130	1.1278283596038818	0.46484354	Yes	
row_169	OR8G5	4219	1.1110424995422363	0.46279386	Yes	
row_170	OR5P3	4284	1.09730863571167	0.4619688	Yes	
row_171	OR4Q3	4289	1.0957741737365723	0.46428072	Yes	
row_172	OR10R2	4298	1.0941178798675537	0.4663795	Yes	
row_173	OR2T33	4333	1.0866646766662598	0.4671002	Yes	
row_174	OR51S1	4366	1.0803827047348022	0.46791115	Yes	
row_175	OR8K1	4448	1.0669993162155151	0.4661265	Yes	
row_176	OR4A15	4519	1.0553239583969116	0.46489078	Yes	
row_177	OR52Z1	4530	1.0538517236709595	0.4667922	Yes	
row_178	OR8H3	4584	1.044973611831665	0.46642247	Yes	
row_179	OR2T1	4667	1.0327025651931763	0.4645066	Yes	
row_180	OR4Q2	4682	1.0285283327102661	0.4661404	Yes	
row_181	OR4K15	4733	1.0184693336486816	0.4658667	Yes	
row_182	OR5T2	4745	1.0165032148361206	0.46762985	Yes	
row_183	OR11H12	4752	1.0147268772125244	0.46965063	Yes	
row_184	OR10A5	4802	1.005353569984436	0.4693991	Yes	
row_185	OR5K4	4812	1.0040689706802368	0.47123832	Yes	
row_186	OR11H2	4871	0.9908367395401001	0.47048232	Yes	
row_187	CNGA4	4949	0.9784642457962036	0.46870333	Yes	
row_188	OR1A2	4950	0.9779295325279236	0.4709535	Yes	
row_189	OR2A12	4981	0.973548173904419	0.4716233	Yes	
row_190	OR4C12	4992	0.9720454812049866	0.4733365	Yes	
row_191	OR6C76	5050	0.9612247943878174	0.4725647	Yes	
row_192	OR1S2	5120	0.9496909976005554	0.47113824	Yes	
row_193	OR56B1	5171	0.9397013187408447	0.47068334	Yes	
row_194	OR1N2	5223	0.93179851770401	0.4701579	Yes	
row_195	OR1C1	5239	0.9288873076438904	0.47151005	Yes	
row_196	OR5H15	5240	0.9287241697311401	0.473647	Yes	
row_197	OR10J4	5267	0.9245666265487671	0.47441345	Yes	
row_198	OR4F4	5347	0.9106321334838867	0.47237372	Yes	
row_199	OR56B4	5356	0.9092024564743042	0.474047	Yes	
row_200	OR2T29	5364	0.9079623818397522	0.4757698	Yes	
row_201	OR2L5	5376	0.9054515361785889	0.4772774	Yes	
row_202	OR5B2	5384	0.9035742878913879	0.47899008	Yes	
row_203	OR4K1	5430	0.8950306177139282	0.47869408	Yes	
row_204	OR13C2	5431	0.8948360681533813	0.48075303	Yes	
row_205	OR4F3	5454	0.8885374665260315	0.48164597	Yes	
row_206	OR4A8	5548	0.8729774951934814	0.4787868	Yes	
