NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HTR3E	169	2.707789182662964	0.060029235	Yes	
row_1	HTR1F	472	2.33231782913208	0.10370699	Yes	
row_2	OR10H4	530	2.283409833908081	0.15871635	Yes	
row_3	HTR2C	857	2.0507662296295166	0.19401903	Yes	
row_4	HTR5A	988	1.9755817651748657	0.23747213	Yes	
row_5	CHRM4	1244	1.868277668952942	0.27178818	Yes	
row_6	HTR7	1485	1.7843005657196045	0.30474332	Yes	
row_7	HTR3A	1568	1.7615453004837036	0.3452291	Yes	
row_8	HTR1D	1945	1.6426767110824585	0.36761197	Yes	
row_9	HRH1	2000	1.626023769378662	0.40609616	Yes	
row_10	CHRM1	2241	1.5520544052124023	0.4331588	Yes	
row_11	HRH4	2320	1.527796745300293	0.46791917	Yes	
row_12	HTR6	3069	1.3540105819702148	0.4638884	Yes	
row_13	OR11H7	3122	1.3410487174987793	0.4952449	Yes	
row_14	HTR1A	3670	1.2182010412216187	0.49808294	Yes	
row_15	OR10H1	4127	1.1280262470245361	0.5033029	Yes	
row_16	OR5T2	4745	1.0165032148361206	0.4974313	Yes	
row_17	HTR2A	5440	0.8906819820404053	0.4844161	Yes	
row_18	HTR4	5647	0.8574038743972778	0.49559888	Yes	
row_19	HTR3C	6418	0.7397947907447815	0.47485533	Yes	
row_20	HTR3D	6600	0.7121976017951965	0.4836369	Yes	
row_21	OR10H5	6648	0.7030560970306396	0.49906287	Yes	
row_22	CHRM3	6670	0.6994249820709229	0.515731	Yes	
row_23	OR10H3	6723	0.6943056583404541	0.53067833	Yes	
row_24	HTR1B	6961	0.654636800289154	0.53512573	Yes	
row_25	OR11H4	7008	0.6478090882301331	0.5492013	Yes	
row_26	DRD4	7799	0.5230011343955994	0.521931	No	
row_27	OR5T3	9110	0.318050354719162	0.4627762	No	
row_28	CHRM2	9441	0.26759135723114014	0.45263115	No	
row_29	OR10H2	9473	0.26226183772087097	0.4576944	No	
row_30	HRH2	11003	0.022329706698656082	0.3797984	No	
row_31	CHRM5	11278	-0.021723365411162376	0.3662889	No	
row_32	OR6T1	11551	-0.06286142766475677	0.3539258	No	
row_33	HTR1E	11935	-0.12330920994281769	0.33740026	No	
row_34	OR10J5	12080	-0.14841221272945404	0.3337762	No	
row_35	HTR3B	12170	-0.16180607676506042	0.3333144	No	
row_36	HTR2B	15778	-0.8399991989135742	0.16952898	No	
row_37	HRH3	16046	-0.8927341103553772	0.17847787	No	
