NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	3436	1.2726221084594727	-0.14773361	No	
row_1	HSPA2	3922	1.167304277420044	-0.1463497	No	
row_2	PPP2R2A	5313	0.9150005578994751	-0.19710419	No	
row_3	HDAC6	5443	0.8903836607933044	-0.18367983	No	
row_4	FKBP4	7922	0.5047193765640259	-0.29952374	No	
row_5	MARK1	8160	0.46773335337638855	-0.3011593	No	
row_6	MAP1A	8181	0.46390751004219055	-0.29174134	No	
row_7	ACTB	8192	0.46208497881889343	-0.28185108	No	
row_8	TTBK1	8381	0.43291032314300537	-0.28175527	No	
row_9	BIN1	8881	0.3583236336708069	-0.2993038	No	
row_10	APBB1	11002	0.02254660241305828	-0.40762576	No	
row_11	TTBK2	11933	-0.12282340973615646	-0.45260173	No	
row_12	PIN1	12739	-0.26223835349082947	-0.488022	No	
row_13	GSK3B	12824	-0.27642878890037537	-0.48611048	No	
row_14	S100B	13265	-0.3536636233329773	-0.50073516	No	
row_15	DCTN1	13299	-0.35935017466545105	-0.49433866	No	
row_16	SNCA	13327	-0.3662189245223999	-0.48747948	No	
row_17	LGMN	13729	-0.4318434000015259	-0.49834195	No	
row_18	BRSK1	14242	-0.5236101150512695	-0.5128365	No	
row_19	AATF	14536	-0.581588625907898	-0.51478344	No	
row_20	FYN	14985	-0.6725457906723022	-0.52263933	No	
row_21	EP300	15333	-0.7456733584403992	-0.52366406	No	
row_22	SMAD2	15799	-0.8466780185699463	-0.5284722	Yes	
row_23	STUB1	16089	-0.9029198884963989	-0.52297914	Yes	
row_24	HSP90AB1	16146	-0.9144769310951233	-0.5052649	Yes	
row_25	BAG2	16267	-0.9393462538719177	-0.49027616	Yes	
row_26	GSK3A	16390	-0.9663558006286621	-0.474782	Yes	
row_27	BRSK2	16680	-1.0370819568634033	-0.46626836	Yes	
row_28	MARK3	16800	-1.0691941976547241	-0.44830486	Yes	
row_29	MARK4	17524	-1.266592264175415	-0.4569032	Yes	
row_30	ROCK2	17635	-1.3038922548294067	-0.43319353	Yes	
row_31	TAOK1	17832	-1.36712646484375	-0.41247502	Yes	
row_32	DYRK1A	17896	-1.3891767263412476	-0.3844325	Yes	
row_33	MAP2	17934	-1.4024989604949951	-0.35475534	Yes	
row_34	MARK2	18193	-1.5096993446350098	-0.33400962	Yes	
row_35	PICALM	18287	-1.5548076629638672	-0.30377805	Yes	
row_36	HSP90AA1	18326	-1.5693774223327637	-0.27039507	Yes	
row_37	ROCK1	18609	-1.7034410238265991	-0.24651936	Yes	
row_38	PPP2CB	18638	-1.7202060222625732	-0.20922719	Yes	
row_39	CDK5	18707	-1.7564870119094849	-0.17317156	Yes	
row_40	PPP5C	18717	-1.7652647495269775	-0.13388956	Yes	
row_41	PPP2CA	18855	-1.8449078798294067	-0.09938527	Yes	
row_42	TAOK2	18917	-1.8862552642822266	-0.060048636	Yes	
row_43	CLU	18962	-1.9258241653442383	-0.018948438	Yes	
row_44	PRKAA1	19181	-2.1207313537597656	0.017607758	Yes	
