NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIK3	817	2.078512668609619	0.04996246	No	
row_1	MARK1	8160	0.46773335337638855	-0.30582243	No	
row_2	CSNK1D	8237	0.4554848372936249	-0.2895905	No	
row_3	TTBK1	8381	0.43291032314300537	-0.2777916	No	
row_4	PHKG2	11103	0.005960483103990555	-0.41704518	No	
row_5	TTBK2	11933	-0.12282340973615646	-0.45412365	No	
row_6	PHKG1	12464	-0.21653014421463013	-0.47173008	No	
row_7	GSK3B	12824	-0.27642878890037537	-0.4779216	No	
row_8	BRSK1	14242	-0.5236101150512695	-0.52743775	No	
row_9	FYN	14985	-0.6725457906723022	-0.5357621	No	
row_10	GSK3A	16390	-0.9663558006286621	-0.5650459	Yes	
row_11	BRSK2	16680	-1.0370819568634033	-0.53403354	Yes	
row_12	MARK3	16800	-1.0691941976547241	-0.49288538	Yes	
row_13	MARK4	17524	-1.266592264175415	-0.47398347	Yes	
row_14	ROCK2	17635	-1.3038922548294067	-0.42200214	Yes	
row_15	TAOK1	17832	-1.36712646484375	-0.37163594	Yes	
row_16	DYRK1A	17896	-1.3891767263412476	-0.31347585	Yes	
row_17	MARK2	18193	-1.5096993446350098	-0.2619365	Yes	
row_18	ROCK1	18609	-1.7034410238265991	-0.20793696	Yes	
row_19	CDK5	18707	-1.7564870119094849	-0.13528802	Yes	
row_20	TAOK2	18917	-1.8862552642822266	-0.06264709	Yes	
row_21	PRKAA1	19181	-2.1207313537597656	0.01758698	Yes	
