NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COPS5	2448	1.4928045272827148	-0.08842868	No	
row_1	EIF4E3	2766	1.4203693866729736	-0.069248825	No	
row_2	EIF3A	2804	1.413059115409851	-0.03587478	No	
row_3	EIF1AX	2905	1.390958547592163	-0.0062871785	No	
row_4	EIF3E	6055	0.7988957762718201	-0.14803074	No	
row_5	EIF3H	6970	0.653983473777771	-0.17863508	No	
row_6	EIF4E2	7324	0.599884569644928	-0.1817852	No	
row_7	EIF2S1	9096	0.32071396708488464	-0.26471174	No	
row_8	EIF3F	9129	0.31482741236686707	-0.2584958	No	
row_9	EIF4H	9236	0.29811567068099976	-0.25649664	No	
row_10	EIF4E	9620	0.23927797377109528	-0.27018884	No	
row_11	EIF3I	10051	0.17446596920490265	-0.28791213	No	
row_12	EIF3D	10259	0.1422135829925537	-0.29499057	No	
row_13	EIF2B1	10975	0.02552093379199505	-0.33106536	No	
row_14	EIF1AY	11043	0.01614019088447094	-0.33410257	No	
row_15	EIF4G2	11134	0.0015392370987683535	-0.3386852	No	
row_16	DENR	11412	-0.042027633637189865	-0.35185874	No	
row_17	EIF2D	11480	-0.05190640315413475	-0.35400313	No	
row_18	EIF3G	11745	-0.09171965718269348	-0.3652687	No	
row_19	EIF2A	11765	-0.09533623605966568	-0.36386442	No	
row_20	EIF6	11998	-0.1349727064371109	-0.37240723	No	
row_21	EIF2S3	12082	-0.14852866530418396	-0.3729612	No	
row_22	EIF1AD	12342	-0.19191975891590118	-0.38146877	No	
row_23	EIF4A1	12375	-0.20050670206546783	-0.37810662	No	
row_24	EIF4E1B	12433	-0.21007509529590607	-0.37578925	No	
row_25	DHX29	12444	-0.2119126319885254	-0.3710128	No	
row_26	EIF4B	12869	-0.2856295704841614	-0.38565308	No	
row_27	EIF1	12958	-0.29942622780799866	-0.38269696	No	
row_28	EIF2B3	15376	-0.7518146634101868	-0.4880311	No	
row_29	AGO2	15804	-0.8476579189300537	-0.48879564	Yes	
row_30	EIF4G3	15855	-0.8572435975074768	-0.46996376	Yes	
row_31	MCTS1	15862	-0.8585797548294067	-0.44883934	Yes	
row_32	EIF3L	16000	-0.8835639357566833	-0.43381748	Yes	
row_33	MTIF2	16397	-0.9681953191757202	-0.42998138	Yes	
row_34	EIF3J	16434	-0.9758068919181824	-0.407471	Yes	
row_35	EIF1B	16525	-0.9995213747024536	-0.3871413	Yes	
row_36	EIF3M	17047	-1.1238542795181274	-0.38583767	Yes	
row_37	EIF5	17202	-1.168770432472229	-0.36456916	Yes	
row_38	EIF4A2	17299	-1.1993592977523804	-0.33955902	Yes	
row_39	EIF5B	17374	-1.2217378616333008	-0.31286064	Yes	
row_40	MTIF3	17590	-1.2905386686325073	-0.29168448	Yes	
row_41	EIF3C	17692	-1.3206686973571777	-0.26390287	Yes	
row_42	EIF2B4	17913	-1.395122766494751	-0.24037273	Yes	
row_43	EIF3B	18258	-1.5375367403030396	-0.21965438	Yes	
row_44	EIF4G1	18602	-1.7001876831054688	-0.19482447	Yes	
row_45	EIF2B5	18988	-1.9485925436019897	-0.1659502	Yes	
row_46	EIF2S2	19338	-2.370732307434082	-0.124689735	Yes	
row_47	EIF2B2	19453	-2.67988657951355	-0.063645795	Yes	
row_48	EIF3K	19456	-2.6936135292053223	0.0034914694	Yes	
