NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRRT2	3204	1.3247344493865967	-0.09609084	No	
row_1	PNPT1	8330	0.4401150643825531	-0.3361837	No	
row_2	PRKRA	10403	0.11978325247764587	-0.43624377	No	
row_3	ADCY5	10604	0.08784817159175873	-0.44197667	No	
row_4	VPS13A	10748	0.06536366045475006	-0.44594434	No	
row_5	COQ2	10757	0.0635087639093399	-0.44308653	No	
row_6	IREB2	11203	-0.011164885014295578	-0.46532553	No	
row_7	PDE10A	12580	-0.23454706370830536	-0.52379894	No	
row_8	SLC6A3	12794	-0.27098292112350464	-0.5207748	No	
row_9	ATXN7	13311	-0.3624327480792999	-0.52857864	No	
row_10	SLC18A2	16196	-0.9226028919219971	-0.62895656	Yes	
row_11	FGF14	16878	-1.088297724723816	-0.60786885	Yes	
row_12	PANK2	18243	-1.5306984186172485	-0.5990315	Yes	
row_13	CHMP2B	18550	-1.6754498481750488	-0.52850604	Yes	
row_14	GNAO1	18826	-1.8268712759017944	-0.44859973	Yes	
row_15	FTL	18864	-1.850353717803955	-0.35528368	Yes	
row_16	JAM2	19010	-1.9708465337753296	-0.26130426	Yes	
row_17	SLC35A1	19467	-2.7602646350860596	-0.14264788	Yes	
row_18	MICU1	19481	-2.827993392944336	0.0022045644	Yes	
