NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN22	721	2.1367692947387695	0.067094095	Yes	
row_1	DCLRE1C	881	2.0357444286346436	0.15807594	Yes	
row_2	EMC1	912	2.0172722339630127	0.2547706	Yes	
row_3	PLCG2	943	1.995865821838379	0.35042286	Yes	
row_4	FOXD3	1484	1.7845852375030518	0.40964487	Yes	
row_5	NBN	1544	1.7691967487335205	0.49277285	Yes	
row_6	AIRE	2584	1.4637067317962646	0.51079154	Yes	
row_7	DSTYK	3385	1.2835099697113037	0.5322862	Yes	
row_8	CXCR4	3727	1.205881118774414	0.5735283	Yes	
row_9	KITLG	4451	1.0666704177856445	0.5884107	Yes	
row_10	ACP5	4943	0.979896605014801	0.61095953	Yes	
row_11	FAS	5516	0.8787984848022461	0.6244334	Yes	
row_12	CAT	8599	0.3986204266548157	0.4858661	No	
row_13	SLX4	10627	0.08380341529846191	0.3860462	No	
row_14	NLRP1	11911	-0.11935688555240631	0.32609385	No	
row_15	POGZ	17670	-1.316029667854309	0.09503297	No	
