NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_NADH_DEHYDROGENASE_ACTIVITY	GO_NADH_DEHYDROGENASE_ACTIVITY	Details ...	37	-0.6174617	-2.492236	0.0	0.0034223986	0.002	4472	tags=59%, list=23%, signal=77%	
GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	Details ...	45	-0.5722102	-2.4521184	0.0	0.004278412	0.005	4518	tags=56%, list=23%, signal=72%	
GO_TAU_PROTEIN_BINDING	GO_TAU_PROTEIN_BINDING	Details ...	45	-0.5475347	-2.3604407	0.0	0.012568761	0.021	3727	tags=51%, list=19%, signal=63%	
GO_NUCLEOTIDE_EXCISION_REPAIR_PREINCISION_COMPLEX_ASSEMBLY	GO_NUCLEOTIDE_EXCISION_REPAIR_PREINCISION_COMPLEX_ASSEMBLY	Details ...	29	-0.6124351	-2.3475757	0.0	0.010694288	0.024	4526	tags=55%, list=23%, signal=72%	
HP_OROFACIAL_DYSKINESIA	HP_OROFACIAL_DYSKINESIA	Details ...	19	-0.677796	-2.3432233	0.0	0.008896651	0.025	1283	tags=37%, list=7%, signal=39%	
GO_AXONAL_TRANSPORT	GO_AXONAL_TRANSPORT	Details ...	59	-0.5018376	-2.2929099	0.0	0.014266052	0.048	3354	tags=42%, list=17%, signal=51%	
GO_CARBOXY_TERMINAL_DOMAIN_PROTEIN_KINASE_COMPLEX	GO_CARBOXY_TERMINAL_DOMAIN_PROTEIN_KINASE_COMPLEX	Details ...	20	-0.66343	-2.256534	0.0	0.018325794	0.073	3187	tags=45%, list=16%, signal=54%	
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	Details ...	82	-0.46869454	-2.2520442	0.0	0.016890738	0.076	3538	tags=44%, list=18%, signal=53%	
GO_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR	GO_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR	Details ...	26	-0.60739875	-2.244671	0.0	0.016729474	0.085	4330	tags=50%, list=22%, signal=64%	
GO_NADH_DEHYDROGENASE_COMPLEX	GO_NADH_DEHYDROGENASE_COMPLEX	Details ...	40	-0.5412428	-2.2157772	0.0	0.021909067	0.123	4472	tags=52%, list=23%, signal=68%	
GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	Details ...	25	-0.60737115	-2.2054658	0.0	0.021308968	0.131	2951	tags=56%, list=15%, signal=66%	
GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	Details ...	57	-0.49152327	-2.2035801	0.0	0.020101698	0.134	4469	tags=51%, list=23%, signal=66%	
GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY	GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY	Details ...	49	-0.5099555	-2.1940637	0.0	0.020126866	0.146	3722	tags=41%, list=19%, signal=50%	
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	81	-0.4517181	-2.1871924	0.0	0.020401081	0.16	4518	tags=49%, list=23%, signal=64%	
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	Details ...	22	-0.6207321	-2.175716	0.0	0.022255182	0.184	4330	tags=50%, list=22%, signal=64%	
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	Details ...	70	-0.46892348	-2.1675136	0.0	0.02246606	0.195	3354	tags=41%, list=17%, signal=50%	
GO_TAU_PROTEIN_KINASE_ACTIVITY	GO_TAU_PROTEIN_KINASE_ACTIVITY	Details ...	22	-0.607751	-2.163461	0.0	0.021946479	0.203	3136	tags=55%, list=16%, signal=65%	
GO_MICROTUBULE_BASED_TRANSPORT	GO_MICROTUBULE_BASED_TRANSPORT	Details ...	185	-0.3918229	-2.1614122	0.0	0.021298004	0.208	4294	tags=41%, list=22%, signal=52%	
GO_TRANSPORT_ALONG_MICROTUBULE	GO_TRANSPORT_ALONG_MICROTUBULE	Details ...	157	-0.40330496	-2.1576917	0.0	0.021784738	0.223	4469	tags=43%, list=23%, signal=56%	
GO_GABA_RECEPTOR_BINDING	GO_GABA_RECEPTOR_BINDING	Details ...	17	-0.6585708	-2.1494198	0.0	0.022746878	0.244	2951	tags=53%, list=15%, signal=62%	
GO_DNA_REPAIR_COMPLEX	GO_DNA_REPAIR_COMPLEX		34	-0.53519815	-2.1382866	0.0	0.024416434	0.266	5934	tags=65%, list=30%, signal=93%	
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN		97	-0.42944524	-2.1362195	0.0	0.024003439	0.273	4518	tags=46%, list=23%, signal=60%	
GO_MIRNA_MEDIATED_INHIBITION_OF_TRANSLATION	GO_MIRNA_MEDIATED_INHIBITION_OF_TRANSLATION		15	-0.66238385	-2.1255085	0.0	0.025720429	0.294	5073	tags=80%, list=26%, signal=108%	
HP_DYSKINESIA	HP_DYSKINESIA		181	-0.38542414	-2.1254954	0.0	0.024648745	0.294	4458	tags=39%, list=23%, signal=50%	
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX		99	-0.4211803	-2.1123104	0.0	0.02713679	0.327	5093	tags=52%, list=26%, signal=69%	
GO_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY		26	-0.55699074	-2.087306	0.0	0.03435347	0.41	5043	tags=69%, list=26%, signal=93%	
GO_PROTEIN_FOLDING_CHAPERONE	GO_PROTEIN_FOLDING_CHAPERONE		26	-0.5635112	-2.0799367	0.0	0.035104632	0.433	1794	tags=42%, list=9%, signal=47%	
GO_TRICARBOXYLIC_ACID_CYCLE	GO_TRICARBOXYLIC_ACID_CYCLE		34	-0.5214982	-2.076764	0.0	0.03507736	0.444	4189	tags=56%, list=21%, signal=71%	
GO_PROTEIN_REFOLDING	GO_PROTEIN_REFOLDING		22	-0.5821045	-2.0759468	0.0	0.03416329	0.447	1336	tags=45%, list=7%, signal=49%	
GO_RESPIRATORY_CHAIN_COMPLEX	GO_RESPIRATORY_CHAIN_COMPLEX		69	-0.4421234	-2.0717292	0.0	0.034206558	0.457	4188	tags=46%, list=21%, signal=59%	
GO_PEPTIDASE_COMPLEX	GO_PEPTIDASE_COMPLEX		90	-0.41975227	-2.0651252	0.0	0.03553615	0.478	3228	tags=37%, list=17%, signal=44%	
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY		89	-0.42243057	-2.0584903	0.0	0.036663853	0.504	4188	tags=45%, list=21%, signal=57%	
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT		48	-0.47079423	-2.0472252	0.0	0.039842386	0.546	2951	tags=38%, list=15%, signal=44%	
HP_ABNORMALITY_OF_THE_ENDOMETRIUM	HP_ABNORMALITY_OF_THE_ENDOMETRIUM		25	-0.5439027	-2.0453622	0.0031055901	0.039526485	0.554	5580	tags=56%, list=29%, signal=78%	
GO_MITOCHONDRION_LOCALIZATION	GO_MITOCHONDRION_LOCALIZATION		44	-0.47846168	-2.0303082	0.0	0.04608598	0.618	2951	tags=43%, list=15%, signal=51%	
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION		41	-0.48523197	-2.0021765	0.0	0.058889303	0.705	3617	tags=49%, list=19%, signal=60%	
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT		195	-0.3539397	-1.9981554	0.0	0.05938191	0.715	4294	tags=38%, list=22%, signal=49%	
GO_RESPIRASOME	GO_RESPIRASOME		81	-0.42474282	-1.9952759	0.004524887	0.05943096	0.725	4472	tags=47%, list=23%, signal=61%	
HP_MUSCLE_FIBRILLATION	HP_MUSCLE_FIBRILLATION		29	-0.5258881	-1.9941785	0.0	0.058523457	0.726	2585	tags=38%, list=13%, signal=44%	
GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY		55	-0.4426365	-1.9642988	0.0	0.07594915	0.821	4188	tags=45%, list=21%, signal=58%	
GO_ENDOPEPTIDASE_COMPLEX	GO_ENDOPEPTIDASE_COMPLEX		68	-0.42039546	-1.9488854	0.0	0.08610868	0.872	3219	tags=35%, list=16%, signal=42%	
GO_PROTEIN_DEMANNOSYLATION	GO_PROTEIN_DEMANNOSYLATION		19	-0.57790315	-1.9478476	0.0	0.08486761	0.873	2849	tags=47%, list=15%, signal=55%	
GO_CELLULAR_RESPIRATION	GO_CELLULAR_RESPIRATION		165	-0.35668513	-1.9307088	0.0	0.09764476	0.915	4189	tags=41%, list=21%, signal=51%	
GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING		80	-0.4007163	-1.926937	0.0	0.098093405	0.92	4300	tags=35%, list=22%, signal=45%	
GO_AZUROPHIL_GRANULE_MEMBRANE	GO_AZUROPHIL_GRANULE_MEMBRANE		53	-0.4329367	-1.9213797	0.003649635	0.10124548	0.928	2944	tags=36%, list=15%, signal=42%	
GO_H4_HISTONE_ACETYLTRANSFERASE_ACTIVITY	GO_H4_HISTONE_ACETYLTRANSFERASE_ACTIVITY		17	-0.5864559	-1.9149742	0.0027027028	0.10483654	0.936	3228	tags=41%, list=17%, signal=49%	
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT		26	-0.5118391	-1.9128755	0.0	0.10441355	0.938	5752	tags=69%, list=29%, signal=98%	
GO_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	GO_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING		29	-0.49350312	-1.9098523	0.006134969	0.10583876	0.95	4523	tags=55%, list=23%, signal=72%	
GO_NEURON_PROJECTION_CYTOPLASM	GO_NEURON_PROJECTION_CYTOPLASM		87	-0.38834217	-1.9092766	0.0	0.10419662	0.95	4291	tags=43%, list=22%, signal=54%	
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR		51	-0.42780274	-1.9070138	0.0	0.10395992	0.957	4692	tags=47%, list=24%, signal=62%	
GO_MECHANOSENSORY_BEHAVIOR	GO_MECHANOSENSORY_BEHAVIOR		15	-0.6210677	-1.9045023	0.011049724	0.104402386	0.959	5551	tags=67%, list=28%, signal=93%	
GO_LUMENAL_SIDE_OF_MEMBRANE	GO_LUMENAL_SIDE_OF_MEMBRANE		17	-0.587015	-1.901248	0.0	0.105474785	0.963	1476	tags=41%, list=8%, signal=45%	
GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY		111	-0.37006408	-1.9000075	0.0	0.10448505	0.964	5043	tags=51%, list=26%, signal=69%	
GO_ENDOPLASMIC_RETICULUM_QUALITY_CONTROL_COMPARTMENT	GO_ENDOPLASMIC_RETICULUM_QUALITY_CONTROL_COMPARTMENT		22	-0.5302669	-1.8853424	0.0	0.11598539	0.974	2849	tags=45%, list=15%, signal=53%	
HP_HYPSARRHYTHMIA	HP_HYPSARRHYTHMIA		152	-0.34773755	-1.885025	0.0	0.11415661	0.974	4316	tags=38%, list=22%, signal=48%	
HP_POSTNATAL_MICROCEPHALY	HP_POSTNATAL_MICROCEPHALY		127	-0.36660838	-1.8835996	0.0	0.11342874	0.976	4651	tags=42%, list=24%, signal=54%	
GO_COPII_COATED_VESICLE_CARGO_LOADING	GO_COPII_COATED_VESICLE_CARGO_LOADING		15	-0.5869748	-1.882518	0.0054644807	0.11260372	0.977	5375	tags=67%, list=28%, signal=92%	
GO_VESICLE_TRANSPORT_ALONG_MICROTUBULE	GO_VESICLE_TRANSPORT_ALONG_MICROTUBULE		47	-0.4364674	-1.8821411	0.0	0.110956825	0.977	4291	tags=45%, list=22%, signal=57%	
GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING		28	-0.4998998	-1.8811123	0.0	0.11017861	0.977	3722	tags=43%, list=19%, signal=53%	
HP_EPISODIC_VOMITING	HP_EPISODIC_VOMITING		15	-0.6057936	-1.8800576	0.016853932	0.10936753	0.978	5591	tags=73%, list=29%, signal=103%	
HP_GROWTH_HORMONE_EXCESS	HP_GROWTH_HORMONE_EXCESS		18	-0.5674558	-1.8699626	0.008174387	0.117803	0.983	1047	tags=39%, list=5%, signal=41%	
GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION		17	-0.5579549	-1.869658	0.005221932	0.116125144	0.983	4660	tags=59%, list=24%, signal=77%	
GO_RNA_POLYMERASE_II_HOLOENZYME	GO_RNA_POLYMERASE_II_HOLOENZYME		75	-0.3997396	-1.8695538	0.0	0.11444443	0.983	3290	tags=36%, list=17%, signal=43%	
GO_HISTONE_H4_K5_ACETYLATION	GO_HISTONE_H4_K5_ACETYLATION		16	-0.57978475	-1.861155	0.012012012	0.12118636	0.986	2187	tags=31%, list=11%, signal=35%	
