NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	Details ...	395	0.49771526	2.4730477	0.0	0.0	0.0	6298	tags=56%, list=32%, signal=82%	
GO_SENSORY_PERCEPTION_OF_SMELL	GO_SENSORY_PERCEPTION_OF_SMELL	Details ...	420	0.48448968	2.4265833	0.0	0.0	0.0	5783	tags=51%, list=30%, signal=71%	
GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	489	0.45245087	2.279653	0.0	4.925418E-4	0.002	5783	tags=49%, list=30%, signal=68%	
GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	498	0.44544113	2.2514672	0.0	9.295451E-4	0.005	5783	tags=49%, list=30%, signal=67%	
GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION	GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION	Details ...	19	0.7014528	2.1559963	0.0	0.0063798237	0.043	3594	tags=68%, list=18%, signal=84%	
GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	Details ...	43	0.5739808	2.081077	0.0	0.018898377	0.141	3590	tags=42%, list=18%, signal=51%	
GO_PLASMA_MEMBRANE_FUSION	GO_PLASMA_MEMBRANE_FUSION	Details ...	21	0.6581274	2.0292373	0.0	0.04011562	0.32	3594	tags=67%, list=18%, signal=82%	
GO_RETINOL_DEHYDROGENASE_ACTIVITY	GO_RETINOL_DEHYDROGENASE_ACTIVITY	Details ...	20	0.66449434	2.0252917	0.0	0.037230507	0.339	1819	tags=30%, list=9%, signal=33%	
GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION	GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION	Details ...	30	0.5884736	2.021339	0.0	0.035073955	0.353	2626	tags=37%, list=13%, signal=42%	
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	GO_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	101	0.4578485	1.9946666	0.0	0.045282844	0.468	5051	tags=44%, list=26%, signal=58%	
GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	Details ...	38	0.5492013	1.9901328	0.0	0.043459695	0.487	7008	tags=68%, list=36%, signal=107%	
GO_NEUROPEPTIDE_BINDING	GO_NEUROPEPTIDE_BINDING	Details ...	26	0.59241956	1.9717907	0.0	0.05083831	0.578	3412	tags=42%, list=17%, signal=51%	
GO_SINGLE_FERTILIZATION	GO_SINGLE_FERTILIZATION	Details ...	150	0.4150266	1.8909811	0.0	0.14546423	0.931	4273	tags=39%, list=22%, signal=50%	
GO_ODORANT_BINDING	GO_ODORANT_BINDING	Details ...	92	0.44675866	1.8902706	0.0	0.13682021	0.933	6419	tags=50%, list=33%, signal=74%	
GO_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	GO_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	Details ...	24	0.5788657	1.8522768	0.0	0.21059313	0.996	2970	tags=42%, list=15%, signal=49%	
GO_SEROTONIN_RECEPTOR_ACTIVITY	GO_SEROTONIN_RECEPTOR_ACTIVITY	Details ...	33	0.53706837	1.8442619	0.0	0.21790487	0.997	7008	tags=67%, list=36%, signal=104%	
GO_DORSAL_SPINAL_CORD_DEVELOPMENT	GO_DORSAL_SPINAL_CORD_DEVELOPMENT	Details ...	22	0.5807854	1.8209493	0.0	0.273159	1.0	5685	tags=64%, list=29%, signal=90%	
GO_REGULATION_OF_FLAGELLATED_SPERM_MOTILITY	GO_REGULATION_OF_FLAGELLATED_SPERM_MOTILITY	Details ...	17	0.6201487	1.8167619	0.0015479876	0.27103814	1.0	2970	tags=47%, list=15%, signal=55%	
GO_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	GO_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	Details ...	17	0.6138014	1.8133435	0.0031897926	0.26797253	1.0	2626	tags=41%, list=13%, signal=48%	
HP_VITILIGO	HP_VITILIGO	Details ...	16	0.6244334	1.8053354	0.0015360983	0.2784372	1.0	5516	tags=75%, list=28%, signal=104%	
GO_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	GO_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS		17	0.6048195	1.7718105	0.004497751	0.38609958	1.0	3889	tags=47%, list=20%, signal=59%	
GO_SPERM_MOTILITY	GO_SPERM_MOTILITY		91	0.4135711	1.7604877	0.0012953368	0.42007646	1.0	3522	tags=31%, list=18%, signal=37%	
GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION	GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION		30	0.50692123	1.7557468	0.0014619883	0.42382798	1.0	4269	tags=53%, list=22%, signal=68%	
GO_SPERM_EGG_RECOGNITION	GO_SPERM_EGG_RECOGNITION		58	0.44943962	1.7519628	0.0	0.4231588	1.0	3957	tags=43%, list=20%, signal=54%	
GO_FERTILIZATION	GO_FERTILIZATION		180	0.38132542	1.7488624	0.0	0.42013177	1.0	4273	tags=38%, list=22%, signal=48%	
GO_GABA_RECEPTOR_ACTIVITY	GO_GABA_RECEPTOR_ACTIVITY		22	0.56240445	1.7476535	0.0029761905	0.40989873	1.0	1651	tags=36%, list=8%, signal=40%	
GO_GLIAL_CELL_PROLIFERATION	GO_GLIAL_CELL_PROLIFERATION		45	0.46866167	1.7461632	0.0014144272	0.4005359	1.0	4269	tags=47%, list=22%, signal=60%	
GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION		59	0.44602633	1.7339584	0.0	0.44208503	1.0	5502	tags=53%, list=28%, signal=73%	
GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION	GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION		64	0.43529746	1.7286751	0.0025839794	0.4517649	1.0	2864	tags=34%, list=15%, signal=40%	
GO_NEUROTRANSMITTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_NEUROTRANSMITTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		19	0.5727326	1.7260692	0.009202454	0.44849005	1.0	2660	tags=37%, list=14%, signal=43%	
GO_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	GO_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION		17	0.5817997	1.724658	0.0094191525	0.44019178	1.0	3213	tags=53%, list=16%, signal=63%	
GO_REGULATION_OF_TRANSPOSITION	GO_REGULATION_OF_TRANSPOSITION		22	0.54001546	1.7217163	0.006024096	0.43942657	1.0	5142	tags=50%, list=26%, signal=68%	
GO_REGULATION_OF_CILIUM_MOVEMENT	GO_REGULATION_OF_CILIUM_MOVEMENT		32	0.49352676	1.7143979	0.0	0.4578801	1.0	2970	tags=34%, list=15%, signal=40%	
GO_HYALURONAN_CATABOLIC_PROCESS	GO_HYALURONAN_CATABOLIC_PROCESS		15	0.5960404	1.7109399	0.01540832	0.46023664	1.0	4867	tags=47%, list=25%, signal=62%	
GO_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	GO_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE		27	0.5128259	1.7059907	0.005873715	0.46957687	1.0	5502	tags=56%, list=28%, signal=77%	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN		18	0.5665289	1.7037193	0.007800312	0.46767578	1.0	2488	tags=44%, list=13%, signal=51%	
GO_ETHANOL_METABOLIC_PROCESS	GO_ETHANOL_METABOLIC_PROCESS		21	0.5314151	1.6904812	0.016975308	0.5213502	1.0	2717	tags=33%, list=14%, signal=39%	
GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY		20	0.5479101	1.6895	0.010670732	0.5129536	1.0	2118	tags=40%, list=11%, signal=45%	
