NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	79	2.976550817489624	0.01280021	No	
row_1	PEMT	426	2.382772445678711	0.00842123	No	
row_2	REEP6	466	2.3360185623168945	0.019656591	No	
row_3	PIM3	495	2.314255714416504	0.031337462	No	
row_4	PREB	808	2.0811893939971924	0.027006201	No	
row_5	ORM1	812	2.0806617736816406	0.03865498	No	
row_6	ECH1	1087	1.9326608180999756	0.03544664	No	
row_7	TALDO1	1112	1.9232745170593262	0.04511631	No	
row_8	ABCB8	1160	1.9001208543777466	0.053464945	No	
row_9	LEP	1565	1.7627859115600586	0.042568624	No	
row_10	ADIPOQ	1593	1.7528897523880005	0.051116493	No	
row_11	MRAP	1644	1.734371542930603	0.058369633	No	
row_12	ECHS1	1723	1.7099947929382324	0.064036176	No	
row_13	ALDOA	1754	1.6978753805160522	0.07211676	No	
row_14	SLC27A1	2228	1.5564286708831787	0.056480717	No	
row_15	IFNGR1	2288	1.5374042987823486	0.0621509	No	
row_16	DHRS7B	2504	1.480824589729309	0.05943099	No	
row_17	GPAM	3128	1.34058678150177	0.03481168	No	
row_18	COL4A1	3156	1.3345377445220947	0.040986165	No	
row_19	SCARB1	3380	1.2839388847351074	0.036735494	No	
row_20	JAGN1	3388	1.282964825630188	0.043651897	No	
row_21	APOE	3436	1.2726221084594727	0.048440628	No	
row_22	CIDEA	3494	1.2598835229873657	0.05263984	No	
row_23	SLC19A1	3563	1.2447422742843628	0.056184173	No	
row_24	SORBS1	3800	1.190543532371521	0.050731227	No	
row_25	AK2	4060	1.1419850587844849	0.043813124	No	
row_26	YWHAG	4204	1.1134388446807861	0.042733174	No	
row_27	PRDX3	4323	1.0884175300598145	0.0428044	No	
row_28	AIFM1	4437	1.0685368776321411	0.043021467	No	
row_29	MGLL	4453	1.0660508871078491	0.048293483	No	
row_30	LTC4S	4521	1.0552042722702026	0.050814264	No	
row_31	SLC25A1	4690	1.0273520946502686	0.047952805	No	
row_32	REEP5	4764	1.0131292343139648	0.049924534	No	
row_33	ACO2	5012	0.9686259031295776	0.042643633	No	
row_34	ANGPTL4	5082	0.956912100315094	0.044503335	No	
row_35	TST	5338	0.9113031625747681	0.036483433	No	
row_36	ITGA7	5405	0.8986946940422058	0.03816803	No	
row_37	NKIRAS1	5504	0.8803952932357788	0.03809361	No	
row_38	SLC1A5	5616	0.861127495765686	0.037237458	No	
row_39	CHCHD10	5623	0.8604879379272461	0.041808806	No	
row_40	CRAT	5895	0.8208545446395874	0.032448173	No	
row_41	APLP2	5898	0.8206853270530701	0.03700061	No	
row_42	DHCR7	6283	0.7599847316741943	0.021449724	No	
row_43	HSPB8	6321	0.7544874548912048	0.023816237	No	
row_44	ESRRA	6358	0.7487879395484924	0.026202139	No	
row_45	RETN	6484	0.7306559085845947	0.023881648	No	
row_46	ACOX1	6630	0.7054762244224548	0.020383807	No	
row_47	QDPR	6655	0.7017829418182373	0.023123741	No	
row_48	DLD	6708	0.6957516670227051	0.02438116	No	
row_49	RREB1	6741	0.6914365291595459	0.026648598	No	
row_50	UBQLN1	6772	0.6865781545639038	0.028991925	No	
row_51	BCL2L13	6909	0.6628620028495789	0.02571785	No	
row_52	LPCAT3	7089	0.6371654868125916	0.02007382	No	
row_53	GPX3	7215	0.6182581186294556	0.017115677	No	
row_54	PLIN2	7231	0.6160632371902466	0.019834835	No	
row_55	DHRS7	7456	0.5765952467918396	0.011519552	No	
row_56	ATL2	7502	0.5671904683113098	0.012409695	No	
row_57	ME1	7706	0.5376101732254028	0.0049594697	No	
row_58	ACADL	7871	0.5136814713478088	-6.092313E-4	No	
row_59	MCCC1	7982	0.4962812066078186	-0.0034834954	No	
row_60	CYP4B1	7994	0.49447792768478394	-0.0012472119	No	
row_61	AGPAT3	8074	0.48227256536483765	-0.0025974736	No	
row_62	GPHN	8101	0.47793564200401306	-0.0012309127	No	
row_63	CPT2	8161	0.46746960282325745	-0.0016306537	No	
row_64	ARL4A	8201	0.46080654859542847	-0.0010336947	No	
row_65	GADD45A	8251	0.4530153274536133	-9.981869E-4	No	
row_66	STAT5A	8331	0.4400906264781952	-0.002587754	No	
row_67	DBT	8463	0.42104846239089966	-0.006975052	No	
row_68	ENPP2	8467	0.4198688566684723	-0.0047482387	No	
row_69	GPAT4	8490	0.415714830160141	-0.0035277673	No	
row_70	MRPL15	8579	0.4023461937904358	-0.0057969904	No	
row_71	CAT	8599	0.3986204266548157	-0.0045183236	No	
row_72	HIBCH	8607	0.3974296450614929	-0.0026257115	No	
row_73	COQ5	8814	0.3674359917640686	-0.01119654	No	
row_74	GPX4	8869	0.36002326011657715	-0.011947217	No	
row_75	CHUK	9023	0.33189091086387634	-0.017978271	No	
row_76	RAB34	9052	0.32823240756988525	-0.017564453	No	
row_77	SLC25A10	9181	0.30838558077812195	-0.022435732	No	
row_78	PFKL	9276	0.2919834554195404	-0.025641413	No	
row_79	UCK1	9401	0.2740747332572937	-0.030500444	No	
row_80	CMPK1	9445	0.2670302987098694	-0.031209711	No	
row_81	TANK	9530	0.25064927339553833	-0.034132637	No	
row_82	SNCG	9743	0.22165609896183014	-0.043840848	No	
row_83	ACADS	9761	0.21828603744506836	-0.0434818	No	
row_84	ATP1B3	9777	0.214959055185318	-0.04303818	No	
row_85	SULT1A1	10067	0.17192670702934265	-0.05701134	No	
row_86	CMBL	10089	0.16936352849006653	-0.057136737	No	
row_87	LPL	10157	0.15764650702476501	-0.05970796	No	
row_88	LAMA4	10297	0.1370614618062973	-0.06612016	No	
row_89	CD151	10351	0.12840430438518524	-0.06813313	No	
row_90	PTGER3	10462	0.10947233438491821	-0.07320183	No	
row_91	MTCH2	10591	0.0900680348277092	-0.07931166	No	
row_92	PPARG	10637	0.08176139742136002	-0.08117544	No	
row_93	NDUFS3	10651	0.07962581515312195	-0.08139613	No	
row_94	GBE1	10751	0.06450573354959488	-0.08615096	No	
row_95	COQ3	10803	0.05494432896375656	-0.08847723	No	
row_96	RTN3	10804	0.05435043200850487	-0.08816889	No	
row_97	RIOK3	10861	0.0445413775742054	-0.0908128	No	
row_98	FABP4	11240	-0.016710758209228516	-0.11027006	No	
row_99	COX6A1	11326	-0.02894424833357334	-0.11450248	No	
row_100	MYLK	11335	-0.029641922563314438	-0.11474812	No	
row_101	DDT	11411	-0.041873179376125336	-0.11838994	No	
row_102	GPD2	11843	-0.10932730883359909	-0.1400632	No	
row_103	RNF11	11866	-0.11295471340417862	-0.14056033	No	
row_104	BCL6	11894	-0.11725090444087982	-0.14129172	No	
row_105	SLC5A6	12113	-0.15392078459262848	-0.15169457	No	
row_106	G3BP2	12224	-0.17086708545684814	-0.15641496	No	
row_107	PFKFB3	12284	-0.1820710301399231	-0.15843381	No	
row_108	ADIG	12505	-0.22282665967941284	-0.16854918	No	
row_109	TOB1	12539	-0.22877512872219086	-0.16895823	No	
row_110	DECR1	12718	-0.2591071128845215	-0.17669533	No	
row_111	DGAT1	12733	-0.26165252923965454	-0.17593507	No	
row_112	RMDN3	12894	-0.2894102931022644	-0.1825692	No	
row_113	COX7B	13154	-0.3300728499889374	-0.19409344	No	
row_114	DRAM2	13175	-0.3351507782936096	-0.19322656	No	
row_115	SAMM50	13340	-0.36929622292518616	-0.19961439	No	
row_116	NABP1	13355	-0.3719758689403534	-0.19822825	No	
row_117	COQ9	13465	-0.38715872168540955	-0.20166986	No	
row_118	BCKDHA	13542	-0.4004018008708954	-0.20332941	No	
row_119	LIFR	13551	-0.4009910821914673	-0.20146832	No	
row_120	ACADM	13628	-0.41548970341682434	-0.20304228	No	
row_121	FAH	13664	-0.42180687189102173	-0.20245968	No	
row_122	SOWAHC	13812	-0.4455167055130005	-0.20753576	No	
row_123	CD36	13826	-0.4477665424346924	-0.20566793	No	
row_124	LIPE	14044	-0.4859636425971985	-0.2141353	No	
row_125	GRPEL1	14433	-0.5585495233535767	-0.23103587	No	
