NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB10	8	3.7711801528930664	0.039132427	No	
row_1	NDRG1	229	2.619044303894043	0.055272162	No	
row_2	GPD1L	340	2.4716293811798096	0.07552776	No	
row_3	SRF	793	2.0862934589385986	0.07414021	No	
row_4	CCND3	985	1.9767529964447021	0.08503757	No	
row_5	SCD	1439	1.801147699356079	0.08060854	No	
row_6	KLK3	1794	1.688234806060791	0.080091	No	
row_7	B4GALT1	2675	1.4432154893875122	0.049931284	No	
row_8	ITGAV	2859	1.4018006324768066	0.055211503	No	
row_9	PTK2B	3017	1.3677312135696411	0.06147268	No	
row_10	AZGP1	3721	1.2069919109344482	0.03794604	No	
row_11	UAP1	3916	1.168792724609375	0.0402168	No	
row_12	HERC3	4162	1.1220632791519165	0.03937262	No	
row_13	CDK6	4257	1.1037744283676147	0.046108548	No	
row_14	RRP12	4656	1.0338143110275269	0.03646417	No	
row_15	CAMKK2	4679	1.0291999578475952	0.046123922	No	
row_16	TMEM50A	4970	0.9758146405220032	0.041430067	No	
row_17	SLC26A2	5235	0.929877519607544	0.037592724	No	
row_18	IQGAP2	5544	0.8736534714698792	0.03090117	No	
row_19	CCND1	5738	0.8436697125434875	0.029814193	No	
row_20	MERTK	5959	0.8127599954605103	0.027013427	No	
row_21	SPDEF	6696	0.6969560980796814	-0.003559884	No	
row_22	AKT1	6716	0.6950563788414001	0.0027504822	No	
row_23	SORD	7063	0.6394058465957642	-0.008353208	No	
row_24	BMPR1B	7827	0.5192610025405884	-0.042179484	No	
row_25	SLC38A2	7983	0.49624213576316833	-0.044953708	No	
row_26	ZMIZ1	8336	0.43905109167099	-0.058467112	No	
row_27	SGK1	9994	0.18279297649860382	-0.14183524	No	
row_28	RAB4A	10050	0.17459875345230103	-0.14283524	No	
row_29	FKBP5	10346	0.12999646365642548	-0.15665561	No	
row_30	PIAS1	10522	0.10112199187278748	-0.1646024	No	
row_31	FADS1	10667	0.07806498557329178	-0.17119542	No	
row_32	MAF	10979	0.025081336498260498	-0.18693942	No	
row_33	TMPRSS2	11562	-0.06408372521400452	-0.21622267	No	
row_34	HPGD	11620	-0.07189056277275085	-0.2184026	No	
row_35	HSD17B14	11687	-0.08175353705883026	-0.22094232	No	
row_36	PMEPA1	11993	-0.13388386368751526	-0.2352366	No	
row_37	NCOA4	12051	-0.1446264237165451	-0.23665383	No	
row_38	ELK4	12262	-0.17828384041786194	-0.24559295	No	
row_39	ADRM1	12550	-0.23018474876880646	-0.257951	No	
row_40	ALDH1A3	12792	-0.27076011896133423	-0.26751596	No	
row_41	KLK2	12862	-0.28348156809806824	-0.2680948	No	
row_42	ACTN1	13074	-0.3180553615093231	-0.27561978	No	
row_43	ABCC4	13221	-0.3442828953266144	-0.27952418	No	
row_44	UBE2I	13353	-0.37162813544273376	-0.28236982	No	
row_45	PGM3	13367	-0.37408092617988586	-0.27911636	No	
row_46	RPS6KA3	13550	-0.40097418427467346	-0.28427923	No	
row_47	LIFR	13551	-0.4009910821914673	-0.28007448	No	
row_48	PA2G4	13680	-0.42461222410202026	-0.28221014	No	
row_49	PTPN21	14109	-0.4974319040775299	-0.29902303	No	
row_50	INSIG1	14151	-0.5058968663215637	-0.29582852	No	
row_51	SAT1	14478	-0.5678860545158386	-0.30665275	Yes	
row_52	PLPP1	14596	-0.5951424241065979	-0.3064341	Yes	
row_53	AKAP12	14615	-0.5980738401412964	-0.3010892	Yes	
row_54	IDI1	14701	-0.6168472766876221	-0.2989959	Yes	
row_55	CDC14B	14813	-0.6376656889915466	-0.29802254	Yes	
row_56	XRCC5	14830	-0.6404862403869629	-0.29212996	Yes	
row_57	GSR	14889	-0.6529651284217834	-0.28826827	Yes	
row_58	TSC22D1	15118	-0.7008028030395508	-0.29265478	Yes	
row_59	CENPN	15150	-0.7056230306625366	-0.28685123	Yes	
row_60	SMS	15310	-0.7399064898490906	-0.2872763	Yes	
row_61	HMGCR	15354	-0.7492722868919373	-0.2816327	Yes	
row_62	GNAI3	15473	-0.7696234583854675	-0.2796359	Yes	
row_63	NGLY1	15733	-0.82762610912323	-0.2842881	Yes	
row_64	PDLIM5	15772	-0.8382319808006287	-0.27745432	Yes	
row_65	ACSL3	15851	-0.8557170033454895	-0.27249599	Yes	
row_66	HMGCS1	15926	-0.8715638518333435	-0.2671656	Yes	
row_67	TNFAIP8	15947	-0.8751825094223022	-0.25901794	Yes	
row_68	DBI	16084	-0.9015967845916748	-0.25656372	Yes	
row_69	ABHD2	16132	-0.9117480516433716	-0.2494223	Yes	
row_70	HOMER2	16452	-0.9791754484176636	-0.25557354	Yes	
row_71	APPBP2	16585	-1.0151283740997314	-0.25172296	Yes	
row_72	STK39	16659	-1.0328078269958496	-0.24465033	Yes	
row_73	DNAJB9	16676	-1.0359630584716797	-0.23461086	Yes	
row_74	SEC24D	16689	-1.039015293121338	-0.22433348	Yes	
row_75	XRCC6	16714	-1.0446280241012573	-0.2146149	Yes	
row_76	KRT8	16833	-1.076066017150879	-0.20940478	Yes	
row_77	ELOVL5	16836	-1.077487587928772	-0.1982093	Yes	
row_78	ADAMTS1	17235	-1.1797657012939453	-0.20632325	Yes	
row_79	SPCS3	17421	-1.2372627258300781	-0.2028713	Yes	
row_80	LMAN1	17450	-1.2451368570327759	-0.19125606	Yes	
row_81	ANKH	17466	-1.2490249872207642	-0.17893097	Yes	
row_82	MAK	17655	-1.3126496076583862	-0.17484292	Yes	
row_83	KRT19	17743	-1.336513638496399	-0.16530623	Yes	
row_84	ARID5B	18074	-1.4596925973892212	-0.16698498	Yes	
