NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBD	404	2.4064297676086426	0.04640631	Yes	
row_1	PF4	1095	1.9294097423553467	0.0648295	Yes	
row_2	TNFRSF21	1820	1.6810551881790161	0.07457938	Yes	
row_3	S100A4	1831	1.6780023574829102	0.12088014	Yes	
row_4	VTN	2080	1.6049085855484009	0.15292968	Yes	
row_5	SERPINA5	2273	1.5409327745437622	0.18606779	Yes	
row_6	APOH	2465	1.4891550540924072	0.21781269	Yes	
row_7	ITGAV	2859	1.4018006324768066	0.2367557	Yes	
row_8	PDGFA	3003	1.370185136795044	0.26764444	Yes	
row_9	PTK2	3612	1.2326202392578125	0.2708357	Yes	
row_10	VAV2	5259	0.9253601431846619	0.21219403	No	
row_11	KCNJ8	5739	0.8436347246170044	0.21115227	No	
row_12	STC1	6471	0.7319288849830627	0.1940637	No	
row_13	OLR1	6759	0.688591718673706	0.19854817	No	
row_14	FSTL1	7541	0.5613630414009094	0.1741355	No	
row_15	FGFR1	7776	0.5270941257476807	0.17683391	No	
row_16	CXCL6	8550	0.40546855330467224	0.1484825	No	
row_17	MSX1	8806	0.3685510456562042	0.14568025	No	
row_18	JAG1	9012	0.33403193950653076	0.14448051	No	
row_19	PRG2	9711	0.22621427476406097	0.11497649	No	
row_20	LPL	10157	0.15764650702476501	0.09654121	No	
row_21	CCND2	10488	0.1058456152677536	0.08256152	No	
row_22	POSTN	11535	-0.06038838252425194	0.030574972	No	
row_23	PGLYRP1	12525	-0.22574518620967865	-0.013873634	No	
row_24	LRPAP1	12570	-0.23324227333068848	-0.009624192	No	
row_25	APP	12816	-0.27499663829803467	-0.014523371	No	
row_26	VCAN	13189	-0.33835992217063904	-0.024171302	No	
row_27	JAG2	13858	-0.45317113399505615	-0.04580422	No	
row_28	COL3A1	14508	-0.5754637122154236	-0.06305044	No	
row_29	COL5A2	16224	-0.928270697593689	-0.12515137	No	
row_30	VEGFA	16422	-0.9730677008628845	-0.10811243	No	
row_31	TIMP1	18228	-1.5243089199066162	-0.15820274	No	
row_32	NRP1	18230	-1.5248851776123047	-0.11571193	No	
row_33	SPP1	18313	-1.5646247863769531	-0.076268636	No	
row_34	SLCO2A1	19368	-2.450706958770752	-0.061979193	No	
row_35	LUM	19394	-2.50666880607605	0.0066705146	No	
