NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTNG1	193	2.671555280685425	0.049389843	Yes	
row_1	EPHB4	400	2.4139890670776367	0.092395596	Yes	
row_2	MDGA1	1176	1.8948345184326172	0.094672024	Yes	
row_3	AKAP7	1924	1.648858666419983	0.09292613	Yes	
row_4	GATA3	1943	1.6430516242980957	0.1284705	Yes	
row_5	RHCG	2019	1.6211681365966797	0.16060337	Yes	
row_6	IL2RB	2199	1.5664736032485962	0.18618403	Yes	
row_7	B4GALT1	2675	1.4432154893875122	0.1938354	Yes	
row_8	GAS1	2711	1.4359248876571655	0.22390988	Yes	
row_9	PKHD1	2989	1.3726083040237427	0.24015732	Yes	
row_10	SRPX	3207	1.3240185976028442	0.25840604	Yes	
row_11	AFAP1L2	3621	1.2311968803405762	0.26453397	Yes	
row_12	SCUBE1	3720	1.2072750329971313	0.28629974	Yes	
row_13	SLC22A12	3850	1.1828142404556274	0.30593136	Yes	
row_14	ATP6V0A4	4673	1.0310026407241821	0.28662214	Yes	
row_15	TMEM8B	4855	0.9936596751213074	0.29938626	Yes	
row_16	MAL	5017	0.9677591323852539	0.3126021	Yes	
row_17	FLOT2	5787	0.8364266753196716	0.29169464	No	
row_18	PLAUR	6278	0.7613081336021423	0.2834408	No	
row_19	ATP8B1	7962	0.4985668659210205	0.2081193	No	
row_20	LYN	8422	0.42574962973594666	0.1940088	No	
row_21	SLC34A3	9155	0.3116537928581238	0.16335295	No	
row_22	BRCA1	10511	0.10284533351659775	0.096084274	No	
row_23	PCSK9	10966	0.02637431211769581	0.073366106	No	
row_24	SHROOM2	11323	-0.02855524607002735	0.05572662	No	
row_25	CX3CL1	11455	-0.04873477667570114	0.05008416	No	
row_26	DCBLD2	12124	-0.15551042556762695	0.019247724	No	
row_27	APP	12816	-0.27499663829803467	-0.010117236	No	
row_28	LYPD3	13092	-0.32089367508888245	-0.017110445	No	
row_29	ADAM10	13597	-0.40924787521362305	-0.03389703	No	
row_30	EFNA5	14535	-0.5813736915588379	-0.06908885	No	
row_31	GSTM3	15080	-0.6915215253829956	-0.081663415	No	
row_32	SLC2A4	15480	-0.7711167335510254	-0.08502856	No	
row_33	IL2RG	15493	-0.7747192978858948	-0.06844926	No	
row_34	NCOA6	15637	-0.8048176765441895	-0.05792606	No	
row_35	THY1	15854	-0.8566874861717224	-0.049998637	No	
row_36	SULF2	16258	-0.9357394576072693	-0.049915224	No	
row_37	GHRL	16887	-1.0905795097351074	-0.057944182	No	
row_38	RTN4RL1	16930	-1.1028984785079956	-0.03562067	No	
row_39	CD160	18492	-1.6411384344100952	-0.07932008	No	
row_40	CROCC	18901	-1.8772118091583252	-0.058596894	No	
row_41	HSPB1	19084	-2.0310981273651123	-0.022857673	No	
row_42	ADIPOR2	19097	-2.0450668334960938	0.02191759	No	
