NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EREG	310	2.5056748390197754	3.106118E-4	No	
row_1	TNF	333	2.4794392585754395	0.015321791	No	
row_2	BID	437	2.366011619567871	0.025411692	No	
row_3	CCNA1	601	2.2255754470825195	0.031488795	No	
row_4	IL1A	631	2.203998565673828	0.044344727	No	
row_5	SQSTM1	859	2.0504565238952637	0.04597662	No	
row_6	CD14	883	2.034783124923706	0.058040366	No	
row_7	ANXA1	1057	1.9443827867507935	0.061769854	No	
row_8	F2R	1294	1.8501813411712646	0.061632734	No	
row_9	KRT18	1532	1.772176742553711	0.06093598	No	
row_10	TNFRSF12A	1556	1.7648721933364868	0.07124195	No	
row_11	CASP7	1776	1.6938197612762451	0.070964366	No	
row_12	GUCY2D	1802	1.6852201223373413	0.08064833	No	
row_13	IFNGR1	2288	1.5374042987823486	0.06561669	No	
row_14	DAP	2586	1.4635071754455566	0.05981153	No	
row_15	CDK2	2781	1.4162242412567139	0.05901704	No	
row_16	CD38	3000	1.3709863424301147	0.05668866	No	
row_17	PSEN2	3100	1.3459255695343018	0.06034186	No	
row_18	EBP	3341	1.2934095859527588	0.056372255	No	
row_19	FDXR	3473	1.2643828392028809	0.057842035	No	
row_20	MGMT	3538	1.250146746635437	0.06267878	No	
row_21	BMF	3572	1.2424005270004272	0.06906581	No	
row_22	PTK2	3612	1.2326202392578125	0.07507934	No	
row_23	NEDD9	3839	1.183970332145691	0.07111993	No	
row_24	IGFBP6	3856	1.1810691356658936	0.077985376	No	
row_25	SLC20A1	3877	1.1758440732955933	0.084610246	No	
row_26	DIABLO	3927	1.1663745641708374	0.08967598	No	
row_27	IL1B	3981	1.15662682056427	0.094471686	No	
row_28	TSPO	4140	1.1250330209732056	0.09363976	No	
row_29	PMAIP1	4169	1.1210366487503052	0.099494606	No	
row_30	PSEN1	4294	1.094887614250183	0.10022202	No	
row_31	BCL2L11	4316	1.0901341438293457	0.106237076	No	
row_32	HMOX1	4342	1.0858337879180908	0.11201757	No	
row_33	PDGFRB	4512	1.0563527345657349	0.11017037	No	
row_34	IER3	4632	1.0379023551940918	0.11078485	No	
row_35	NEFH	4638	1.0368530750274658	0.117279105	No	
row_36	CTNNB1	5216	0.9322368502616882	0.093555756	No	
row_37	CASP9	5279	0.9222816228866577	0.09636057	No	
row_38	CD2	5284	0.9216244220733643	0.10215604	No	
row_39	CAV1	5311	0.9154234528541565	0.10677512	No	
row_40	ERBB3	5330	0.9126709699630737	0.11178937	No	
row_41	FAS	5516	0.8787984848022461	0.107959665	No	
row_42	SPTAN1	5585	0.8666877150535583	0.1100926	No	
row_43	EMP1	5701	0.8499516844749451	0.109689616	No	
row_44	CCND1	5738	0.8436697125434875	0.11332503	No	
row_45	HGF	5913	0.8182296752929688	0.10966888	No	
row_46	CASP1	6087	0.793531596660614	0.10590353	No	
row_47	CDC25B	6336	0.7519305348396301	0.09799448	No	
row_48	BCAP31	6349	0.7495242953300476	0.10225606	No	
row_49	TOP2A	6360	0.7480642795562744	0.106611416	No	
row_50	GPX3	7215	0.6182581186294556	0.066539876	No	
row_51	AIFM3	7273	0.6073575615882874	0.067551956	No	
row_52	IFNB1	7305	0.6017521023750305	0.069870085	No	
row_53	DNAJC3	7405	0.5852538347244263	0.06856946	No	
row_54	HMGB2	7432	0.5810378789901733	0.07101087	No	
row_55	RARA	7477	0.5724467635154724	0.07246687	No	
row_56	JUN	8038	0.4876291751861572	0.046725865	No	
row_57	RELA	8218	0.45799341797828674	0.040465515	No	
row_58	BCL2L10	8222	0.45764100551605225	0.043290965	No	
row_59	CTH	8224	0.4573051631450653	0.046217497	No	
row_60	GADD45A	8251	0.4530153274536133	0.047825173	No	
row_61	SMAD7	8271	0.4490005671977997	0.049768157	No	
