NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD17B6	128	2.797236204147339	0.017300067	Yes	
row_1	SLCO1A2	160	2.725773572921753	0.038986363	Yes	
row_2	RBP1	198	2.6601080894470215	0.05980268	Yes	
row_3	SULT2B1	360	2.452413320541382	0.072457425	Yes	
row_4	SLC27A5	455	2.3480095863342285	0.08767167	Yes	
row_5	PEX6	522	2.288963556289673	0.10382388	Yes	
row_6	PEX19	531	2.283015489578247	0.12291297	Yes	
row_7	PEX13	643	2.1962924003601074	0.13595556	Yes	
row_8	ISOC1	699	2.1512317657470703	0.15149792	Yes	
row_9	PIPOX	937	1.9994604587554932	0.1563687	Yes	
row_10	IDH2	974	1.9830960035324097	0.1714536	Yes	
row_11	AKR1D1	1226	1.8742363452911377	0.17453358	Yes	
row_12	ABCG8	1445	1.799394965171814	0.17867416	Yes	
row_13	CYP7A1	1559	1.764668345451355	0.18792686	Yes	
row_14	GC	1904	1.654999017715454	0.18434353	Yes	
row_15	PEX7	1953	1.641112208366394	0.19588912	Yes	
row_16	NR1H4	2248	1.5498827695846558	0.1939835	Yes	
row_17	CYP8B1	2666	1.4450777769088745	0.18484668	Yes	
row_18	SULT1B1	2717	1.4339617490768433	0.19451979	Yes	
row_19	CROT	2740	1.4271588325500488	0.2055771	Yes	
row_20	SOAT2	3019	1.366881012916565	0.2029325	Yes	
row_21	RXRG	3162	1.3336929082870483	0.20701003	Yes	
row_22	ABCD1	3181	1.3286857604980469	0.21743226	Yes	
row_23	PEX11A	3185	1.3280373811721802	0.22862163	Yes	
row_24	ABCD2	3248	1.3155635595321655	0.23666525	Yes	
row_25	FDXR	3473	1.2643828392028809	0.23592676	Yes	
row_26	NR0B2	3571	1.2424789667129517	0.24154319	Yes	
row_27	CYP46A1	3965	1.1596413850784302	0.23120451	No	
row_28	ABCD3	4114	1.1308283805847168	0.23324013	No	
row_29	LCK	4144	1.1246460676193237	0.24135284	No	
row_30	AQP9	4583	1.045114517211914	0.22771786	No	
row_31	BCAR3	4659	1.0335683822631836	0.23268306	No	
row_32	ABCA4	5320	0.913746178150177	0.20649031	No	
row_33	HSD17B11	5378	0.9053282737731934	0.21128732	No	
row_34	AGXT	5434	0.8943713307380676	0.21609375	No	
row_35	ABCA2	6098	0.7922421097755432	0.1887086	No	
row_36	CH25H	6107	0.7911108732223511	0.19505405	No	
row_37	PFKM	6230	0.7716332077980042	0.1953608	No	
row_38	BBOX1	6324	0.7538825273513794	0.19700974	No	
row_39	AR	6424	0.7388217449188232	0.19822097	No	
row_40	AMACR	6633	0.7049921751022339	0.19352844	No	
row_41	SERPINA6	7946	0.5012456774711609	0.13022643	No	
row_42	ABCA9	7965	0.4983617961406708	0.13355616	No	
row_43	NPC1	8116	0.47536006569862366	0.12988983	No	
row_44	RXRA	8152	0.4694421887397766	0.13209683	No	
row_45	ATXN1	8380	0.4329308569431305	0.12410166	No	
row_46	CAT	8599	0.3986204266548157	0.11627703	No	
row_47	PAOX	8738	0.37956011295318604	0.11241054	No	
row_48	GNPAT	9037	0.32979610562324524	0.099877074	No	
row_49	KLF1	9067	0.32579177618026733	0.10116609	No	
row_50	PEX16	9150	0.31188729405403137	0.099606216	No	
row_51	SLC29A1	9243	0.29643169045448303	0.0973992	No	
row_52	HSD17B4	9363	0.27956292033195496	0.09365727	No	
row_53	SLC35B2	9462	0.263392835855484	0.09085897	No	
row_54	OPTN	9482	0.259577214717865	0.09209752	No	
row_55	SLC27A2	9948	0.19078432023525238	0.06977415	No	
row_56	ABCG4	9959	0.18886709213256836	0.07087231	No	
row_57	GSTK1	10282	0.13871227204799652	0.055470344	No	
row_58	LONP2	10433	0.11416395008563995	0.04871873	No	
row_59	ALDH8A1	10481	0.10655251890420914	0.047207832	No	
row_60	NR1I2	10514	0.10243725031614304	0.046434455	No	
row_61	FADS1	10667	0.07806498557329178	0.03927147	No	
row_62	PECR	11292	-0.02468741685152054	0.007338938	No	
row_63	CYP39A1	11410	-0.04159975424408913	0.0016673878	No	
row_64	SLC23A1	11545	-0.06197908893227577	-0.0047057867	No	
row_65	MLYCD	11565	-0.06428911536931992	-0.0051353644	No	
row_66	TTR	12110	-0.15343748033046722	-0.031847183	No	
row_67	TFCP2L1	12387	-0.2018204927444458	-0.04434054	No	
row_68	PEX11G	12489	-0.22004184126853943	-0.047663674	No	
row_69	HACL1	12581	-0.23458828032016754	-0.050347432	No	
row_70	DIO2	12875	-0.28642430901527405	-0.06299382	No	
row_71	PXMP2	13201	-0.34082046151161194	-0.076823935	No	
row_72	PEX1	13624	-0.4142798185348511	-0.09502323	No	
row_73	HAO1	13639	-0.4177206754684448	-0.09217629	No	
row_74	HSD3B7	14012	-0.4799414873123169	-0.10723911	No	
row_75	LIPE	14044	-0.4859636425971985	-0.10468495	No	
row_76	PEX26	14101	-0.4958139955997467	-0.10333444	No	
row_77	NEDD4	14120	-0.49984684586524963	-0.09999204	No	
row_78	SLC22A18	14266	-0.5270212292671204	-0.10295952	No	
row_79	CYP7B1	14275	-0.528817355632782	-0.098854534	No	
row_80	NUDT12	14314	-0.5359057188034058	-0.09623436	No	
row_81	GCLM	14552	-0.5840955972671509	-0.10345341	No	
row_82	IDI1	14701	-0.6168472766876221	-0.10580815	No	
row_83	EFHC1	14811	-0.6374971866607666	-0.105977535	No	
row_84	RETSAT	14854	-0.6442551016807556	-0.1026379	No	
row_85	ABCA8	15404	-0.7556950449943542	-0.12446288	No	
row_86	ABCA5	15467	-0.7684181332588196	-0.1210929	No	
row_87	ACSL5	15977	-0.8797727823257446	-0.13979755	No	
row_88	PHYH	16090	-0.9032222032546997	-0.13785169	No	
row_89	PEX12	16438	-0.9771389365196228	-0.14737973	No	
row_90	CYP27A1	16460	-0.9813796877861023	-0.14007868	No	
row_91	ABCA1	16467	-0.9831134676933289	-0.13199013	No	
row_92	ALDH1A1	16487	-0.9876741766929626	-0.12453229	No	
row_93	DIO1	16495	-0.9897815585136414	-0.1164383	No	
row_94	ABCA6	16539	-1.002339243888855	-0.11009148	No	
row_95	HSD3B1	16945	-1.1052109003067017	-0.12151323	No	
row_96	APOA1	17107	-1.1392176151275635	-0.12007561	No	
row_97	PNPLA8	17606	-1.2955114841461182	-0.13466245	No	
row_98	IDH1	17921	-1.398743748664856	-0.13888931	No	
row_99	GNMT	18084	-1.465401291847229	-0.13471699	No	
row_100	ALDH9A1	18127	-1.4843677282333374	-0.12420124	No	
row_101	NR3C2	18216	-1.520003318786621	-0.11575063	No	
row_102	SCP2	18366	-1.587691307067871	-0.10986408	No	
row_103	SOD1	18731	-1.773688793182373	-0.113463804	No	
row_104	DHCR24	18900	-1.8769090175628662	-0.10608552	No	
row_105	FADS2	18903	-1.8789488077163696	-0.09013883	No	
row_106	BMP6	18997	-1.9609280824661255	-0.07817947	No	
row_107	ACSL1	19174	-2.1166858673095703	-0.06916514	No	
row_108	PRDX5	19250	-2.2091453075408936	-0.05415833	No	
row_109	SLC23A2	19301	-2.291645050048828	-0.037159022	No	
row_110	EPHX2	19439	-2.6300137042999268	-0.021750953	No	
row_111	ABCA3	19497	-3.052960157394409	0.0013908122	No	
