NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ECH1	1087	1.9326608180999756	-0.029731855	No	
row_1	ANTXR2	1211	1.8800725936889648	-0.010617353	No	
row_2	SCD	1439	1.801147699356079	0.002082784	No	
row_3	ADH4	1500	1.7816075086593628	0.023103774	No	
row_4	TNFRSF12A	1556	1.7648721933364868	0.044155374	No	
row_5	FBXO6	1985	1.6312205791473389	0.044223238	No	
row_6	TRIB3	2440	1.4950834512710571	0.041112516	No	
row_7	ANXA13	2550	1.4704325199127197	0.055404224	No	
row_8	CBS	3165	1.332546591758728	0.04186897	No	
row_9	CD9	3189	1.3276419639587402	0.058649834	No	
row_10	FASN	3252	1.314179539680481	0.07324361	No	
row_11	EBP	3341	1.2934095859527588	0.08621975	No	
row_12	PCYT2	3460	1.2670382261276245	0.09729681	No	
row_13	MVD	4222	1.1098910570144653	0.073191926	No	
row_14	CPEB2	4475	1.0623449087142944	0.074610695	No	
row_15	ANXA5	4582	1.0458950996398926	0.083312556	No	
row_16	GUSB	4593	1.0434274673461914	0.09691625	No	
row_17	TMEM97	4662	1.0331007242202759	0.107398525	No	
row_18	CTNNB1	5216	0.9322368502616882	0.091582924	No	
row_19	ABCA2	6098	0.7922421097755432	0.057011146	No	
row_20	PLAUR	6278	0.7613081336021423	0.05810966	No	
row_21	DHCR7	6283	0.7599847316741943	0.06818677	No	
row_22	STX5	6420	0.7392145991325378	0.07119692	No	
row_23	ERRFI1	6777	0.6857150793075562	0.062173326	No	
row_24	PLSCR1	6910	0.662420928478241	0.064350076	No	
row_25	LSS	7281	0.6058140397071838	0.053525683	No	
row_26	ALCAM	7847	0.5166934132575989	0.031470794	No	
row_27	PNRC1	8452	0.4226175546646118	0.006138102	No	
row_28	STARD4	8977	0.3406301438808441	-0.016191207	No	
row_29	JAG1	9012	0.33403193950653076	-0.013419581	No	
row_30	LDLR	9254	0.29494553804397583	-0.02181838	No	
row_31	NSDHL	9641	0.2358422726392746	-0.038471106	No	
row_32	MVK	9944	0.1909368634223938	-0.051413085	No	
row_33	LPL	10157	0.15764650702476501	-0.06017872	No	
row_34	PPARG	10637	0.08176139742136002	-0.08369719	No	
row_35	GLDC	10688	0.07356522232294083	-0.08527227	No	
row_36	GSTM2	12206	-0.16800837218761444	-0.16098592	No	
row_37	ATXN2	12421	-0.20699681341648102	-0.16918665	No	
row_38	ACSS2	12557	-0.23089700937271118	-0.17300272	No	
row_39	HSD17B7	12661	-0.2489885538816452	-0.17492895	No	
row_40	TP53INP1	13333	-0.36808541417121887	-0.20444384	No	
row_41	ATF3	13362	-0.373472660779953	-0.20083013	No	
row_42	TM7SF2	13503	-0.3941417336463928	-0.20269452	No	
row_43	LGALS3	13652	-0.41956284642219543	-0.20462622	No	
row_44	LGMN	13729	-0.4318434000015259	-0.20269035	No	
row_45	SC5D	14193	-0.5120850205421448	-0.2195639	No	
row_46	PDK3	14269	-0.5274109840393066	-0.21628357	No	
row_47	IDI1	14701	-0.6168472766876221	-0.23009461	No	
row_48	ALDOC	15199	-0.7156827449798584	-0.24596135	Yes	
row_49	FDPS	15339	-0.7468200922012329	-0.24300252	Yes	
row_50	HMGCR	15354	-0.7492722868919373	-0.23358445	Yes	
row_51	GNAI1	15386	-0.7543312907218933	-0.22497186	Yes	
row_52	NFIL3	15615	-0.8013600707054138	-0.22585045	Yes	
row_53	MAL2	15700	-0.8187734484672546	-0.21909061	Yes	
row_54	ACAT2	15917	-0.8710283041000366	-0.21840967	Yes	
row_55	HMGCS1	15926	-0.8715638518333435	-0.20702851	Yes	
row_56	CHKA	16075	-0.9001631736755371	-0.20245759	Yes	
row_57	ACTG1	16581	-1.0137072801589966	-0.21470328	Yes	
row_58	ETHE1	16602	-1.0205442905426025	-0.20192328	Yes	
row_59	CYP51A1	17761	-1.3429659605026245	-0.24328384	Yes	
row_60	PMVK	17887	-1.3864723443984985	-0.23095065	Yes	
row_61	FDFT1	17929	-1.4014790058135986	-0.21409611	Yes	
row_62	S100A11	18035	-1.4434067010879517	-0.19996443	Yes	
row_63	SQLE	18547	-1.6737546920776367	-0.203588	Yes	
row_64	SEMA3B	18774	-1.7963792085647583	-0.19090097	Yes	
row_65	FADS2	18903	-1.8789488077163696	-0.17205872	Yes	
row_66	CLU	18962	-1.9258241653442383	-0.14898363	Yes	
row_67	SREBF2	18964	-1.9267113208770752	-0.122966245	Yes	
row_68	ATF5	19048	-2.0014657974243164	-0.100152925	Yes	
row_69	FABP5	19069	-2.0191593170166016	-0.07386147	Yes	
row_70	GPX8	19103	-2.052124500274658	-0.047792297	Yes	
row_71	CXCL16	19411	-2.5516412258148193	-0.02905052	Yes	
row_72	AVPR1A	19421	-2.5726380348205566	0.0052951113	Yes	
