NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGN	10	3.7263524532318115	0.027558556	Yes	
row_1	F12	98	2.8966853618621826	0.04489466	Yes	
row_2	MMP14	151	2.745008707046509	0.06289337	Yes	
row_3	THBD	404	2.4064297676086426	0.06802502	Yes	
row_4	MMP7	488	2.317582607269287	0.08120449	Yes	
row_5	F13B	667	2.1745054721832275	0.08840582	Yes	
row_6	PRSS23	805	2.081942081451416	0.09702459	Yes	
row_7	ANXA1	1057	1.9443827867507935	0.098726764	Yes	
row_8	PF4	1095	1.9294097423553467	0.111354455	Yes	
row_9	MST1	1366	1.82523512840271	0.111178935	Yes	
row_10	GP1BA	1503	1.7805382013320923	0.117578514	Yes	
row_11	ANG	1942	1.643242597579956	0.10736626	Yes	
row_12	ITGB3	2067	1.6077302694320679	0.11308287	Yes	
row_13	C8A	2129	1.5899311304092407	0.12191498	Yes	
row_14	F11	2355	1.5175577402114868	0.12174256	Yes	
row_15	MMP9	2371	1.5136988162994385	0.13237306	Yes	
row_16	KLK8	2592	1.4628089666366577	0.13204606	Yes	
row_17	FN1	2856	1.402636170387268	0.12904775	Yes	
row_18	F9	2870	1.3999160528182983	0.13892417	Yes	
row_19	S100A13	2967	1.3769768476486206	0.14434655	Yes	
row_20	MAFF	3057	1.3573930263519287	0.14998245	Yes	
row_21	LTA4H	3145	1.3364670276641846	0.15556386	Yes	
row_22	CD9	3189	1.3276419639587402	0.16334835	Yes	
row_23	DPP4	3209	1.323777437210083	0.17234166	Yes	
row_24	MASP2	3499	1.2579714059829712	0.16691233	Yes	
row_25	MMP15	3633	1.226402759552002	0.1692918	Yes	
row_26	S100A1	3653	1.222219467163086	0.17751996	Yes	
row_27	FURIN	3704	1.2108838558197021	0.18406372	Yes	
row_28	BMP1	4054	1.1435483694076538	0.17467746	No	
row_29	CFB	4948	0.9789159297943115	0.13599083	No	
row_30	SERPING1	4965	0.9760842323303223	0.14251937	No	
row_31	F2RL2	4998	0.9712481498718262	0.14818616	No	
row_32	WDR1	5028	0.9647439122200012	0.15395871	No	
row_33	ARF4	5057	0.960038959980011	0.15974738	No	
row_34	HPN	5109	0.9519111514091492	0.16428845	No	
row_35	APOC3	5132	0.9477282166481018	0.17029387	No	
row_36	CASP9	5279	0.9222816228866577	0.16971152	No	
row_37	ITIH1	5541	0.8744010329246521	0.16283664	No	
