NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	151	2.745008707046509	0.007193787	No	
row_1	RNF4	573	2.2463932037353516	-0.0023091983	No	
row_2	CASP10	848	2.0570929050445557	-0.005240764	No	
row_3	BRPF3	1115	1.9226799011230469	-0.008493222	No	
row_4	GP1BA	1503	1.7805382013320923	-0.018783772	No	
row_5	APOBEC3G	1531	1.7723625898361206	-0.010491262	No	
row_6	CASP7	1776	1.6938197612762451	-0.013856546	No	
row_7	ANG	1942	1.643242597579956	-0.013410581	No	
row_8	GATA3	1943	1.6430516242980957	-0.0044279383	No	
row_9	CEBPB	2069	1.6071643829345703	-0.0021094636	No	
row_10	PRKCD	2120	1.5922542810440063	0.0040082787	No	
row_11	PHEX	2350	1.5180727243423462	4.583331E-4	No	
row_12	DOCK4	2370	1.5138517618179321	0.007751502	No	
row_13	APOBEC3F	2436	1.4966157674789429	0.0125702275	No	
row_14	PIK3CG	2574	1.4653129577636719	0.0134922685	No	
row_15	S100A12	2608	1.4601001739501953	0.019767163	No	
row_16	FN1	2856	1.402636170387268	0.014654732	No	
row_17	S100A13	2967	1.3769768476486206	0.016490916	No	
row_18	MAFF	3057	1.3573930263519287	0.019306654	No	
row_19	LTA4H	3145	1.3364670276641846	0.022111477	No	
row_20	DPP4	3209	1.323777437210083	0.026088774	No	
row_21	PRSS3	3239	1.317076563835144	0.031788725	No	
row_22	HPCAL4	3283	1.3071366548538208	0.036709923	No	
row_23	IRF7	3400	1.2813915014266968	0.037713077	No	
row_24	PRSS36	3470	1.2647944688796997	0.04105745	No	
row_25	KLK1	3579	1.2412128448486328	0.04225489	No	
row_26	MMP15	3633	1.226402759552002	0.046217278	No	
row_27	COL4A2	3935	1.1653627157211304	0.037013497	No	
row_28	C4BPB	3996	1.1533218622207642	0.040214136	No	
row_29	RHOG	4043	1.1457189321517944	0.044097625	No	
row_30	MSRB1	4057	1.142657995223999	0.049671922	No	
row_31	LCK	4144	1.1246460676193237	0.051370453	No	
row_32	DUSP5	4276	1.1003361940383911	0.05060761	No	
row_33	PSEN1	4294	1.094887614250183	0.05571377	No	
row_34	MT3	4506	1.0570927858352661	0.050575014	No	
row_35	ANXA5	4582	1.0458950996398926	0.05241219	No	
row_36	USP15	4770	1.0126508474349976	0.048272315	No	
row_37	CDH13	4842	0.9969037771224976	0.05004863	No	
row_38	CFB	4948	0.9789159297943115	0.049967315	No	
row_39	SERPING1	4965	0.9760842323303223	0.054475714	No	
row_40	KCNIP2	4971	0.9757024645805359	0.05955121	No	
row_41	PSMB9	4997	0.9713385105133057	0.063567966	No	
row_42	LCP2	5124	0.9489349126815796	0.062236127	No	
row_43	CASP9	5279	0.9222816228866577	0.059309743	No	
row_44	GCA	5283	0.9218136668205261	0.06419411	No	
row_45	DGKH	5416	0.8975191712379456	0.062270716	No	
row_46	STX4	5533	0.8757643699645996	0.061056286	No	
row_47	ITIH1	5541	0.8744010329246521	0.06547447	No	
row_48	SERPINB2	5593	0.8649342656135559	0.067564175	No	
row_49	MMP12	5612	0.8614693284034729	0.07134248	No	
row_50	SRC	5677	0.8527991771697998	0.07269318	No	
row_51	LTF	5903	0.8196564316749573	0.06553193	No	
row_52	CA2	5932	0.8157137036323547	0.06854265	No	
row_53	CASP1	6087	0.793531596660614	0.064912386	No	
row_54	PLAUR	6278	0.7613081336021423	0.05924318	No	
row_55	TFPI2	6522	0.7249537110328674	0.0506328	No	
row_56	SERPINA1	6651	0.7027752995491028	0.047851708	No	
row_57	OLR1	6759	0.688591718673706	0.046079688	No	
row_58	PLSCR1	6910	0.662420928478241	0.04193961	No	
row_59	CDA	6968	0.6543585062026978	0.042567626	No	
row_60	PPP4C	7113	0.6329491138458252	0.038576886	No	
row_61	CP	7473	0.5733115673065186	0.023135196	No	
row_62	CR2	7561	0.5577190518379211	0.021682564	No	
row_63	F8	7568	0.5570840835571289	0.024417708	No	
row_64	ME1	7706	0.5376101732254028	0.020267952	No	
row_65	PDGFB	7745	0.5306029915809631	0.021202521	No	
row_66	SIRT6	7759	0.5292379856109619	0.023423223	No	
