NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DEPDC1	11	3.694613218307495	0.019190624	Yes	
row_1	MKI67	52	3.1397273540496826	0.03391333	Yes	
row_2	DIAPH3	146	2.752887487411499	0.043825265	Yes	
row_3	LIG1	156	2.736222267150879	0.057993647	Yes	
row_4	ASF1A	165	2.7171261310577393	0.07211164	Yes	
row_5	PLK1	186	2.6799728870391846	0.08541012	Yes	
row_6	MAD2L1	205	2.646986484527588	0.09863565	Yes	
row_7	GINS1	213	2.634813070297241	0.11236514	Yes	
row_8	SUV39H1	298	2.520491361618042	0.12149976	Yes	
row_9	CDCA8	456	2.346658706665039	0.12592818	Yes	
row_10	ANP32E	656	2.1848201751708984	0.12731825	Yes	
row_11	MYBL2	685	2.162027597427368	0.13743277	Yes	
row_12	AURKB	802	2.0826117992401123	0.14257005	Yes	
row_13	CCP110	915	2.0151479244232178	0.14755344	Yes	
row_14	PPM1D	1030	1.9586670398712158	0.1521313	Yes	
row_15	DSCC1	1135	1.913522720336914	0.15698504	Yes	
row_16	CDC25A	1161	1.9000027179718018	0.1658534	Yes	
row_17	CDKN3	1316	1.8439081907272339	0.16774818	Yes	
row_18	SMC1A	1389	1.8177103996276855	0.17374495	Yes	
row_19	KIF18B	1418	1.8078776597976685	0.1819654	Yes	
row_20	PSMC3IP	1444	1.8000824451446533	0.19029935	Yes	
row_21	NBN	1544	1.7691967487335205	0.19463986	Yes	
row_22	TUBB	1590	1.7545284032821655	0.20169553	Yes	
row_23	KIF4A	1597	1.7513431310653687	0.21075173	Yes	
row_24	CTCF	1665	1.7283819913864136	0.21652943	Yes	
row_25	DNMT1	1746	1.7015076875686646	0.22149086	Yes	
row_26	ILF3	1858	1.6704753637313843	0.2246826	Yes	
row_27	RACGAP1	1950	1.641847848892212	0.22875589	Yes	
row_28	PLK4	1981	1.6321090459823608	0.23593281	Yes	
row_29	SPC25	2055	1.6114429235458374	0.24077469	Yes	
row_30	POP7	2229	1.5563719272613525	0.24014872	Yes	
row_31	SHMT1	2393	1.5069829225540161	0.23977594	Yes	
row_32	ASF1B	2438	1.49591863155365	0.24550022	Yes	
row_33	TACC3	2512	1.4791145324707031	0.24963439	Yes	
row_34	KIF2C	2519	1.4782859086990356	0.25723022	Yes	
row_35	DCLRE1B	2538	1.4733459949493408	0.26417884	Yes	
row_36	MCM4	2786	1.4152921438217163	0.25897008	Yes	
row_37	WDR90	2814	1.4108736515045166	0.265119	Yes	
row_38	GINS3	2830	1.40798819065094	0.27187327	Yes	
row_39	CKS2	2927	1.3864489793777466	0.27432194	Yes	
row_40	CDK4	3054	1.3583548069000244	0.2750684	Yes	
row_41	TK1	3134	1.339133620262146	0.2781435	Yes	
row_42	HELLS	3223	1.3199504613876343	0.2806504	Yes	
row_43	RAD1	3289	1.3044589757919312	0.28426433	Yes	
row_44	TP53	3316	1.2982583045959473	0.28986266	Yes	
row_45	TRIP13	3387	1.2831259965896606	0.2931038	Yes	
row_46	MYC	3425	1.2749598026275635	0.2980085	Yes	
row_47	RBBP7	3546	1.248464822769165	0.29847762	Yes	
row_48	CHEK2	3560	1.2453234195709229	0.30446538	Yes	
row_49	NUP205	3577	1.2412950992584229	0.3102764	Yes	
row_50	RPA1	3802	1.189984679222107	0.30505252	Yes	
row_51	RFC2	3845	1.183336853981018	0.3092085	Yes	
row_52	CIT	3989	1.1548537015914917	0.30798712	Yes	
row_53	PAICS	4015	1.1504549980163574	0.3128467	Yes	
row_54	CDCA3	4051	1.1440571546554565	0.31715474	Yes	
row_55	AK2	4060	1.1419850587844849	0.3228485	Yes	
row_56	DONSON	4265	1.102533221244812	0.31819156	Yes	
row_57	CDC20	4309	1.0915472507476807	0.3218049	Yes	
row_58	PTTG1	4461	1.064805507659912	0.31968805	Yes	
row_59	HMGA1	4715	1.02210533618927	0.31206605	Yes	
row_60	DDX39A	4766	1.0130391120910645	0.3148974	Yes	
row_61	SMC4	4824	1.0015254020690918	0.317305	Yes	
row_62	SPC24	4872	0.9907222390174866	0.32017216	Yes	
row_63	USP1	4989	0.9724242687225342	0.31937188	Yes	
row_64	TMPO	5006	0.9692662954330444	0.32372802	Yes	
row_65	RRM2	5337	0.9115575551986694	0.31153136	Yes	
row_66	UBE2T	5385	0.9030356407165527	0.31392956	Yes	
row_67	TCF19	5425	0.8963156938552856	0.31670567	Yes	
row_68	CTPS1	5452	0.8891478776931763	0.32011598	Yes	
row_69	CENPM	5735	0.844430148601532	0.31004348	Yes	
row_70	RAD21	5899	0.8203758597373962	0.30599856	Yes	
row_71	BRMS1L	5948	0.8139944672584534	0.30786884	Yes	
row_72	BUB1B	6023	0.8044393658638	0.3083429	Yes	
row_73	RAD50	6025	0.8042330145835876	0.31259242	Yes	
row_74	CDKN2A	6042	0.8013491630554199	0.3160505	Yes	
row_75	SMC3	6096	0.7924196124076843	0.3175467	Yes	
row_76	NCAPD2	6099	0.7920325398445129	0.3216792	Yes	
row_77	UBE2S	6202	0.7758617997169495	0.32055193	Yes	
row_78	CCNB2	6309	0.7559382915496826	0.31911117	Yes	
row_79	CHEK1	6328	0.7527318596839905	0.32220578	Yes	
row_80	CDC25B	6336	0.7519305348396301	0.32586515	Yes	
row_81	TOP2A	6360	0.7480642795562744	0.32867613	Yes	
row_82	SPAG5	6366	0.7468835115432739	0.33241197	Yes	
row_83	MELK	6440	0.7364494204521179	0.33257416	Yes	
row_84	HMGB3	6517	0.7258761525154114	0.33252463	Yes	
row_85	ORC6	6580	0.7149338722229004	0.33314082	Yes	
row_86	BARD1	6706	0.6959096193313599	0.33039606	No	
row_87	E2F8	6763	0.6877657771110535	0.33117735	No	
row_88	NUDT21	6963	0.6544715166091919	0.32438275	No	
row_89	DEK	6972	0.6539543867111206	0.3274664	No	
row_90	PRDX4	7143	0.6272640228271484	0.32202652	No	
row_91	NOLC1	7211	0.618733823299408	0.32186955	No	
row_92	HMGB2	7432	0.5810378789901733	0.3135958	No	
row_93	POLA2	7463	0.5761470198631287	0.3151252	No	
row_94	CKS1B	7852	0.5162615180015564	0.29781386	No	
row_95	LMNB1	7905	0.5077134966850281	0.2978391	No	
row_96	CDK1	7920	0.5049048066139221	0.2998152	No	
row_97	MCM2	7924	0.5043241381645203	0.30235726	No	
row_98	HMMR	8210	0.4591834247112274	0.29006916	No	
row_99	TFRC	8329	0.44014179706573486	0.28631863	No	
row_100	GSPT1	8369	0.43402403593063354	0.28662232	No	
row_101	RAD51AP1	8411	0.42761677503585815	0.28678825	No	
row_102	SRSF2	8471	0.4189373850822449	0.2859766	No	
row_103	MCM7	8472	0.4188767671585083	0.28821686	No	
row_104	CENPE	8511	0.41188597679138184	0.28845385	No	
row_105	PPP1R8	8637	0.3930529057979584	0.28408936	No	
row_106	GINS4	8657	0.3910595178604126	0.2851979	No	
row_107	NAP1L1	8674	0.3881817162036896	0.28644627	No	
row_108	PDS5B	8705	0.38424691557884216	0.28694934	No	
row_109	MXD3	8837	0.36442309617996216	0.28212133	No	
row_110	DLGAP5	8839	0.3643076717853546	0.284018	No	
row_111	TBRG4	8943	0.347175270318985	0.28054628	No	
row_112	MMS22L	8972	0.34188395738601685	0.28092623	No	
row_113	EIF2S1	9096	0.32071396708488464	0.27627832	No	
row_114	SNRPB	9224	0.30098626017570496	0.27131796	No	
row_115	UBR7	9315	0.2854187488555908	0.26818848	No	
row_116	KIF22	9378	0.27809444069862366	0.26646835	No	
row_117	EZH2	9505	0.25454777479171753	0.26131135	No	
row_118	SRSF1	9597	0.24214860796928406	0.25789872	No	
row_119	STAG1	9685	0.23065410554409027	0.25463155	No	
row_120	BRCA2	9692	0.2299410104751587	0.25555092	No	
row_121	KPNA2	9722	0.22474348545074463	0.25525266	No	
row_122	RNASEH2A	9967	0.18688426911830902	0.24362929	No	
row_123	SSRP1	10123	0.16302399337291718	0.23648256	No	
row_124	CBX5	10130	0.16227780282497406	0.23704006	No	
row_125	XPO1	10184	0.15381035208702087	0.23512082	No	
row_126	UNG	10229	0.1480105221271515	0.23363616	No	
row_127	CDKN1A	10287	0.13836216926574707	0.23142737	No	
row_128	PRKDC	10406	0.11910386383533478	0.22595987	No	
row_129	MCM3	10450	0.11131909489631653	0.22433071	No	
row_130	BRCA1	10511	0.10284533351659775	0.22177677	No	
row_131	HNRNPD	10684	0.07434926182031631	0.21327631	No	
row_132	DCTPP1	10769	0.06164126098155975	0.20926042	No	
row_133	NASP	10784	0.05887830629944801	0.20885104	No	
row_134	PSIP1	10873	0.04288574680685997	0.2045279	No	
row_135	AURKA	10882	0.04188172146677971	0.20433803	No	
row_136	MLH1	11079	0.010480551980435848	0.1942544	No	
row_137	MSH2	11104	0.0058530899696052074	0.19304411	No	
row_138	NUP107	11253	-0.018031390383839607	0.18548405	No	
row_139	BIRC5	11365	-0.03475676476955414	0.17992757	No	
row_140	SLBP	11414	-0.04212803393602371	0.1776697	No	
row_141	MTHFD2	11452	-0.048121459782123566	0.17601293	No	
row_142	MCM5	11489	-0.05327133461833	0.17443545	No	
row_143	DCK	11497	-0.05419600009918213	0.17436318	No	
row_144	RPA2	11603	-0.06855680048465729	0.16929786	No	
row_145	TIPIN	11796	-0.10043663531541824	0.15990227	No	
row_146	POLE	12035	-0.1419011354446411	0.14834873	No	
row_147	ZW10	12183	-0.1643679440021515	0.14162305	No	
row_148	ATAD2	12251	-0.17593656480312347	0.13909788	No	
row_149	CSE1L	12664	-0.24913445115089417	0.1191163	No	
row_150	PHF5A	12746	-0.2635119557380676	0.11633525	No	
row_151	LYAR	12799	-0.27168285846710205	0.115098156	No	
row_152	RANBP1	12887	-0.28843289613723755	0.112139985	No	
row_153	WEE1	13028	-0.31102728843688965	0.10656081	No	
row_154	DUT	13090	-0.3203551471233368	0.10511843	No	
row_155	IPO7	13198	-0.3396795988082886	0.10139968	No	
row_156	LUC7L3	13389	-0.3768361508846283	0.09358581	No	
row_157	CCNE1	13408	-0.37912046909332275	0.09468225	No	
row_158	PCNA	13442	-0.38238298892974854	0.09502013	No	
row_159	ORC2	13576	-0.4054095447063446	0.09030786	No	
row_160	PA2G4	13680	-0.42461222410202026	0.087250285	No	
row_161	ESPL1	13851	-0.4523957669734955	0.08087519	No	
row_162	NAA38	13943	-0.46840667724609375	0.07867263	No	
row_163	HUS1	14029	-0.4832399785518646	0.07685981	No	
row_164	NUP153	14096	-0.49517178535461426	0.076093726	No	
row_165	PNN	14277	-0.5291005373001099	0.069611534	No	
row_166	PRIM2	14911	-0.6573347449302673	0.040380094	No	
row_167	RPA3	15000	-0.6749353408813477	0.0394373	No	
row_168	POLD3	15222	-0.7195640206336975	0.0318527	No	
row_169	NME1	15295	-0.7349939346313477	0.032058846	No	
row_170	MCM6	15552	-0.7880859971046448	0.023030058	No	
row_171	SMC6	15561	-0.789779007434845	0.026840124	No	
row_172	RAD51C	15835	-0.853190004825592	0.017280066	No	
row_173	EXOSC8	16190	-0.9212217330932617	0.0038934809	No	
row_174	PMS2	16205	-0.9246577620506287	0.008114512	No	
row_175	RFC1	16574	-1.0117193460464478	-0.0055123325	No	
row_176	XRCC6	16714	-1.0446280241012573	-0.0071163033	No	
row_177	ING3	16806	-1.0704747438430786	-0.0060988525	No	
row_178	POLD1	16921	-1.0995062589645386	-0.006115995	No	
row_179	NOP56	17014	-1.116228461265564	-0.004905575	No	
row_180	POLD2	17643	-1.3081159591674805	-0.030397814	No	
row_181	SYNCRIP	17738	-1.3353450298309326	-0.028118972	No	
row_182	TUBG1	17801	-1.3552242517471313	-0.024078352	No	
row_183	EED	17802	-1.3566303253173828	-0.016822765	No	
row_184	RAN	17804	-1.3576416969299316	-0.009613499	No	
row_185	LBR	17908	-1.3937824964523315	-0.007487717	No	
row_186	POLE4	18033	-1.4431419372558594	-0.006184343	No	
row_187	CDKN2C	18580	-1.6905803680419922	-0.025388958	No	
row_188	CDKN1B	18595	-1.6973060369491577	-0.017035617	No	
row_189	PRPS1	18662	-1.7318096160888672	-0.01118786	No	
row_190	TRA2B	18714	-1.76352858543396	-0.004394466	No	
row_191	TIMELESS	18954	-1.9193249940872192	-0.0064936513	No	
row_192	STMN1	19028	-1.986419916152954	3.5369198E-4	No	
row_193	RFC3	19092	-2.0401723384857178	0.008005846	No	
row_194	PAN2	19449	-2.6721324920654297	0.0038800912	No	
