NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	95	2.913419723510742	0.0124939075	No	
row_1	DPYSL3	140	2.760828733444214	0.02671467	No	
row_2	MMP14	151	2.745008707046509	0.042600006	No	
row_3	MATN3	1046	1.953211784362793	0.00801723	No	
row_4	PCOLCE	1409	1.8111306428909302	1.10284505E-4	No	
row_5	COL16A1	1416	1.8081246614456177	0.010604251	No	
row_6	SGCG	1463	1.791751503944397	0.018930843	No	
row_7	TNFRSF12A	1556	1.7648721933364868	0.024716852	No	
row_8	SERPINH1	1925	1.6486866474151611	0.015528798	No	
row_9	ITGB3	2067	1.6077302694320679	0.01784063	No	
row_10	TPM4	2295	1.5354704856872559	0.015271169	No	
row_11	SNTB1	2387	1.5079883337020874	0.019573914	No	
row_12	SLIT2	2481	1.48546302318573	0.023638584	No	
row_13	PPIB	2498	1.481626033782959	0.031664185	No	
row_14	PTX3	2698	1.4389697313308716	0.029966762	No	
row_15	GAS1	2711	1.4359248876571655	0.03792623	No	
row_16	FN1	2856	1.402636170387268	0.03885731	No	
row_17	ITGAV	2859	1.4018006324768066	0.047130253	No	
row_18	COPA	2980	1.3743712902069092	0.04913416	No	
row_19	COL4A1	3156	1.3345377445220947	0.04805443	No	
row_20	PLOD1	3258	1.3136695623397827	0.050678644	No	
row_21	FGF2	3373	1.285596251487732	0.05246251	No	
row_22	ECM1	3471	1.264557123184204	0.05500021	No	
row_23	LOX	3666	1.2186475992202759	0.05224495	No	
row_24	COL4A2	3935	1.1653627157211304	0.04534265	No	
row_25	VEGFC	3941	1.1635262966156006	0.052036576	No	
row_26	BMP1	4054	1.1435483694076538	0.053075112	No	
row_27	SERPINE2	4351	1.0839089155197144	0.044237413	No	
row_28	PDGFRB	4512	1.0563527345657349	0.042271473	No	
row_29	LRRC15	4589	1.043576955795288	0.044575214	No	
row_30	SDC4	4618	1.0397114753723145	0.049339306	No	
row_31	COL8A2	4806	1.0050557851791382	0.045669906	No	
row_32	LAMA1	4889	0.987892210483551	0.047330476	No	
row_33	SDC1	4890	0.9876955151557922	0.053232424	No	
row_34	PRSS2	5074	0.9579474925994873	0.04948848	No	
row_35	COL7A1	5196	0.9355759024620056	0.04881864	No	
row_36	COL5A3	5285	0.921343982219696	0.049771126	No	
row_37	VIM	5289	0.9199360013008118	0.05511296	No	
row_38	PTHLH	5408	0.8984906077384949	0.054376736	No	
row_39	FAS	5516	0.8787984848022461	0.05409196	No	
row_40	MAGEE1	5924	0.8169113397598267	0.037915856	No	
row_41	WNT5A	5957	0.8132272958755493	0.041119646	No	
row_42	PLOD3	5981	0.8100441098213196	0.04477006	No	
row_43	PLAUR	6278	0.7613081336021423	0.034004662	No	
row_44	FERMT2	6391	0.7434496879577637	0.032652423	No	
row_45	FOXC2	6494	0.7288635969161987	0.031730406	No	
row_46	TFPI2	6522	0.7249537110328674	0.03466541	No	
row_47	FZD8	6571	0.7167505621910095	0.03646489	No	
row_48	CRLF1	6890	0.6663030982017517	0.02399355	No	
row_49	LOXL1	7005	0.6484339237213135	0.02197007	No	
row_50	MXRA5	7123	0.6310633420944214	0.019687576	No	
row_51	BASP1	7151	0.626423180103302	0.022033814	No	
row_52	COL1A1	7168	0.6247797608375549	0.024939353	No	
row_53	GPX7	7322	0.6001055240631104	0.02060929	No	
row_54	FSTL1	7541	0.5613630414009094	0.012684724	No	
row_55	WIPF1	7573	0.5563052892684937	0.0144050205	No	
row_56	LAMC1	7598	0.5528958439826965	0.016467111	No	
row_57	SGCD	7640	0.5470935702323914	0.01761498	No	
row_58	IGFBP2	7777	0.5267670154571533	0.013726236	No	
row_59	FBLN5	7843	0.5180138945579529	0.013458617	No	
row_60	GEM	7958	0.49891963601112366	0.0105417175	No	
row_61	JUN	8038	0.4876291751861572	0.009368198	No	
row_62	ID2	8067	0.482917845249176	0.010805184	No	
row_63	FSTL3	8076	0.48173239827156067	0.013269855	No	
row_64	GADD45A	8251	0.4530153274536133	0.0069743516	No	
row_65	ITGA5	8354	0.43579626083374023	0.004301122	No	
row_66	NT5E	8425	0.42542093992233276	0.0032215237	No	
row_67	MCM7	8472	0.4188767671585083	0.003344543	No	
row_68	QSOX1	8529	0.409389466047287	0.002893487	No	
row_69	CXCL6	8550	0.40546855330467224	0.0042815846	No	
row_70	FMOD	8563	0.4034237563610077	0.0060713706	No	
row_71	CXCL8	8764	0.3753368556499481	-0.002033497	No	
row_72	MSX1	8806	0.3685510456562042	-0.0019525058	No	
row_73	ELN	9004	0.3353734016418457	-0.010140958	No	
row_74	ITGB5	9277	0.291849285364151	-0.022469869	No	
row_75	GPC1	9367	0.2788088321685791	-0.025408573	No	
row_76	ECM2	9383	0.2771184742450714	-0.024528736	No	
row_77	SERPINE1	9435	0.2681344449520111	-0.025565166	No	
row_78	COL6A2	9450	0.2656077444553375	-0.024702372	No	
row_79	EDIL3	9653	0.23458808660507202	-0.033751756	No	
row_80	FLNA	9867	0.20151318609714508	-0.0435679	No	
row_81	PCOLCE2	10018	0.17934101819992065	-0.050257016	No	
row_82	EFEMP2	10073	0.1714678555727005	-0.05202629	No	
row_83	ENO2	10134	0.16141274571418762	-0.054166075	No	
row_84	MMP2	10193	0.15253008902072906	-0.056255464	No	
row_85	CADM1	10309	0.13556301593780518	-0.06139533	No	
row_86	CALU	10342	0.13107632100582123	-0.062267717	No	
row_87	TPM2	10367	0.126542866230011	-0.06275328	No	
row_88	NOTCH2	10368	0.1263895332813263	-0.061998047	No	
row_89	NNMT	10658	0.07895078510046005	-0.07647868	No	
row_90	ITGA2	10826	0.050607163459062576	-0.08481659	No	
row_91	COL1A2	11068	0.011724770069122314	-0.09721549	No	
row_92	PRRX1	11071	0.011255936697125435	-0.097251706	No	
row_93	RHOB	11102	0.006079962942749262	-0.09876753	No	
row_94	LAMA3	11123	0.003084675408899784	-0.09978386	No	
row_95	COLGALT1	11194	-0.009145695716142654	-0.1033509	No	
row_96	MYLK	11335	-0.029641922563314438	-0.11041716	No	
row_97	DST	11345	-0.031277090311050415	-0.110695906	No	
row_98	TGFB1	11462	-0.04963561147451401	-0.116400965	No	
row_99	COMP	11473	-0.05102742835879326	-0.11661343	No	
row_100	POSTN	11535	-0.06038838252425194	-0.11940863	No	
row_101	VCAM1	11555	-0.06330343335866928	-0.12001339	No	
row_102	EMP3	11595	-0.06759496033191681	-0.12162728	No	
row_103	SLIT3	11907	-0.11875652521848679	-0.1370083	No	
row_104	PMEPA1	11993	-0.13388386368751526	-0.14060605	No	
row_105	FBN2	12112	-0.1537449210882187	-0.14579248	No	
row_106	COL5A1	12153	-0.159214586019516	-0.14691064	No	
row_107	IGFBP4	12393	-0.20280508697032928	-0.15806426	No	
row_108	MMP3	12448	-0.21333052217960358	-0.15958337	No	
row_109	MMP1	12759	-0.26572489738464355	-0.17403446	No	
row_110	CD44	12766	-0.2672356069087982	-0.17274803	No	
row_111	TNC	13051	-0.31466907262802124	-0.18556143	No	
row_112	CXCL1	13053	-0.3149069845676422	-0.18373147	No	
row_113	GADD45B	13166	-0.33296898007392883	-0.18753652	No	
row_114	GJA1	13172	-0.3345824182033539	-0.18579592	No	
row_115	VCAN	13189	-0.33835992217063904	-0.18460187	No	
row_116	COL11A1	13263	-0.35297587513923645	-0.18626958	No	
row_117	RGS4	13272	-0.3550400137901306	-0.18456195	No	
row_118	FBLN1	13354	-0.3718189597129822	-0.18653098	No	
row_119	CDH11	13455	-0.38543975353240967	-0.18940163	No	
row_120	LRP1	13570	-0.4041981101036072	-0.19288453	No	
row_121	P3H1	13575	-0.4053986966609955	-0.19066904	No	
row_122	SGCB	13605	-0.41114503145217896	-0.18971267	No	
row_123	PDLIM4	13841	-0.4505809545516968	-0.19917877	No	
row_124	FAP	13977	-0.47524067759513855	-0.20332366	Yes	
row_125	LAMC2	14001	-0.4787004590034485	-0.20165318	Yes	
row_126	APLP1	14052	-0.48743534088134766	-0.20132744	Yes	
row_127	TGM2	14113	-0.4985213279724121	-0.20145285	Yes	
row_128	TGFBR3	14144	-0.5041334629058838	-0.19999257	Yes	
row_129	PFN2	14218	-0.5183343887329102	-0.20067218	Yes	
row_130	PVR	14259	-0.526303231716156	-0.1995968	Yes	
row_131	FUCA1	14265	-0.5269372463226318	-0.1967068	Yes	
row_132	FBN1	14318	-0.5363859534263611	-0.19619204	Yes	
row_133	TIMP3	14450	-0.5631548762321472	-0.19960466	Yes	
row_134	SAT1	14478	-0.5678860545158386	-0.1976082	Yes	
row_135	COL3A1	14508	-0.5754637122154236	-0.19566995	Yes	
row_136	THBS2	14628	-0.6008276343345642	-0.1982366	Yes	
row_137	GREM1	14738	-0.6244385838508606	-0.20014477	Yes	
row_138	COL6A3	14747	-0.6257482171058655	-0.19681953	Yes	
row_139	COL12A1	14786	-0.6327669620513916	-0.19500451	Yes	
row_140	CAPG	14842	-0.6423923969268799	-0.19401152	Yes	
row_141	SPOCK1	14948	-0.6647846698760986	-0.19547166	Yes	
row_142	CXCL12	15028	-0.6804763674736023	-0.19549283	Yes	
row_143	SNAI2	15075	-0.6900567412376404	-0.19374938	Yes	
row_144	MEST	15184	-0.7125683426856995	-0.19507919	Yes	
row_145	AREG	15352	-0.7491801381111145	-0.1992428	Yes	
row_146	TNFRSF11B	15463	-0.7674588561058044	-0.20034811	Yes	
row_147	IL6	15487	-0.7733765244483948	-0.1969168	Yes	
row_148	SCG2	15619	-0.8020991683006287	-0.19890161	Yes	
row_149	LAMA2	15688	-0.8168586492538452	-0.1975387	Yes	
row_150	THBS1	15690	-0.8169366121292114	-0.19270886	Yes	
row_151	CDH6	15771	-0.838161051273346	-0.19183953	Yes	
row_152	SFRP1	15848	-0.855268120765686	-0.19066101	Yes	
row_153	ADAM12	15853	-0.8562747240066528	-0.18575132	Yes	
row_154	THY1	15854	-0.8566874861717224	-0.18063222	Yes	
row_155	HTRA1	15912	-0.8707356452941895	-0.17837825	Yes	
row_156	IL32	16022	-0.8892566561698914	-0.17870401	Yes	
row_157	COL5A2	16224	-0.928270697593689	-0.18355657	Yes	
row_158	PLOD2	16225	-0.9283084869384766	-0.1780095	Yes	
row_159	CAP2	16312	-0.9496229290962219	-0.17678455	Yes	
row_160	BDNF	16328	-0.9513131380081177	-0.17187609	Yes	
row_161	VEGFA	16422	-0.9730677008628845	-0.17087321	Yes	
row_162	ACTA2	16497	-0.990484356880188	-0.16878325	Yes	
row_163	CTHRC1	16589	-1.0167397260665894	-0.16741595	Yes	
row_164	IGFBP3	16636	-1.0254764556884766	-0.1636682	Yes	
row_165	SPARC	16656	-1.0316826105117798	-0.15848644	Yes	
row_166	TAGLN	16715	-1.0449936389923096	-0.15524295	Yes	
row_167	CDH2	16716	-1.045296311378479	-0.1489968	Yes	
row_168	INHBA	16801	-1.0694420337677002	-0.1469524	Yes	
row_169	ABI3BP	16978	-1.1113123893737793	-0.14941776	Yes	
row_170	ITGB1	17321	-1.2055104970932007	-0.1599088	Yes	
row_171	SFRP4	17431	-1.2396793365478516	-0.15814061	Yes	
row_172	TNFAIP3	17549	-1.2743780612945557	-0.156579	Yes	
row_173	MGP	17562	-1.2792738676071167	-0.1495556	Yes	
row_174	NTM	17615	-1.2966676950454712	-0.1444978	Yes	
row_175	NID2	17756	-1.3410415649414062	-0.14372782	Yes	
row_176	MATN2	17830	-1.3664082288742065	-0.13933979	Yes	
row_177	ANPEP	18068	-1.456567645072937	-0.14289811	Yes	
row_178	OXTR	18177	-1.5028373003005981	-0.1395057	Yes	
row_179	TPM1	18219	-1.5215790271759033	-0.13253482	Yes	
row_180	TIMP1	18228	-1.5243089199066162	-0.123840265	Yes	
row_181	SPP1	18313	-1.5646247863769531	-0.118836924	Yes	
row_182	IL15	18322	-1.5681204795837402	-0.10988057	Yes	
row_183	LGALS1	18359	-1.5843582153320312	-0.10227586	Yes	
row_184	TGFBI	18369	-1.5896201133728027	-0.09324278	Yes	
row_185	FBLN2	18383	-1.5943564176559448	-0.08438835	Yes	
row_186	CD59	18605	-1.7019798755645752	-0.0856524	Yes	
row_187	DAB2	18759	-1.7867801189422607	-0.08289153	Yes	
row_188	GLIPR1	18779	-1.7975775003433228	-0.073133186	Yes	
row_189	MYL9	18987	-1.9469051361083984	-0.072209366	Yes	
row_190	MFAP5	19033	-1.9912149906158447	-0.06263915	Yes	
row_191	PMP22	19045	-2.000737190246582	-0.05125292	Yes	
row_192	SLC6A8	19057	-2.0080270767211914	-0.039823133	Yes	
row_193	BGN	19295	-2.285961627960205	-0.038425438	Yes	
row_194	LUM	19394	-2.50666880607605	-0.028517274	Yes	
row_195	DCN	19407	-2.537891387939453	-0.013973038	Yes	
row_196	CALD1	19515	-3.342780113220215	4.6563844E-4	Yes	
