NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	1	4.971157073974609	0.027476776	Yes	
row_1	MKI67	52	3.1397273540496826	0.042277616	Yes	
row_2	CENPF	74	2.990713119506836	0.05775306	Yes	
row_3	PLK1	186	2.6799728870391846	0.0668532	Yes	
row_4	MAD2L1	205	2.646986484527588	0.08058037	Yes	
row_5	MEIS1	208	2.6389520168304443	0.09509051	Yes	
row_6	PBK	258	2.584329843521118	0.10686747	Yes	
row_7	SUV39H1	298	2.520491361618042	0.11880808	Yes	
row_8	KIF15	302	2.5159668922424316	0.13258547	Yes	
row_9	TPX2	328	2.482548713684082	0.14504	Yes	
row_10	CENPA	541	2.2743895053863525	0.14667076	Yes	
row_11	MYBL2	685	2.162027597427368	0.15124775	Yes	
row_12	AURKB	802	2.0826117992401123	0.15678135	Yes	
row_13	TROAP	1037	1.9568220376968384	0.15551576	Yes	
row_14	CDC25A	1161	1.9000027179718018	0.1596761	Yes	
row_15	CDKN3	1316	1.8439081907272339	0.16192259	Yes	
row_16	SMC1A	1389	1.8177103996276855	0.16826479	Yes	
row_17	KIF4A	1597	1.7513431310653687	0.16725768	Yes	
row_18	KIF11	1659	1.7299034595489502	0.17368254	Yes	
row_19	CTCF	1665	1.7283819913864136	0.18299511	Yes	
row_20	KIF23	1681	1.7252448797225952	0.19177315	Yes	
row_21	E2F1	1850	1.6724010705947876	0.19234584	Yes	
row_22	ILF3	1858	1.6704753637313843	0.20123433	Yes	
row_23	RACGAP1	1950	1.641847848892212	0.20562005	Yes	
row_24	PLK4	1981	1.6321090459823608	0.21310657	Yes	
row_25	CUL1	2092	1.6023139953613281	0.21629074	Yes	
row_26	NDC80	2492	1.4832950830459595	0.20386963	Yes	
row_27	TACC3	2512	1.4791145324707031	0.21107781	Yes	
row_28	KIF2C	2519	1.4782859086990356	0.21895373	Yes	
row_29	CKS2	2927	1.3864489793777466	0.20558256	No	
row_30	CDK4	3054	1.3583548069000244	0.2065883	No	
row_31	EXO1	3331	1.2949029207229614	0.19948512	No	
row_32	CCNA2	3339	1.2936152219772339	0.20628668	No	
row_33	CCNF	3345	1.2932020425796509	0.21318938	No	
row_34	MYC	3425	1.2749598026275635	0.21616401	No	
row_35	E2F2	3574	1.2421128749847412	0.21538827	No	
row_36	NUSAP1	3835	1.1845430135726929	0.20850143	No	
row_37	SMC2	3950	1.161257028579712	0.20903632	No	
row_38	CDC20	4309	1.0915472507476807	0.19656622	No	
row_39	CDC45	4347	1.0843961238861084	0.2006577	No	
row_40	PTTG1	4461	1.064805507659912	0.20071019	No	
row_41	SMAD3	4569	1.047979712486267	0.20097981	No	
row_42	HMGA1	4715	1.02210533618927	0.19914089	No	
row_43	DDX39A	4766	1.0130391120910645	0.20216489	No	
row_44	SMC4	4824	1.0015254020690918	0.20476311	No	
row_45	ODF2	4854	0.9937824010848999	0.20876653	No	
row_46	TMPO	5006	0.9692662954330444	0.20632471	No	
row_47	RBM14	5192	0.9362713694572449	0.2019418	No	
row_48	KIF20B	5210	0.933698832988739	0.20623311	No	
row_49	CDC7	5569	0.8696512579917908	0.19253424	No	
row_50	TTK	5682	0.8525633811950684	0.19146313	No	
row_51	CCND1	5738	0.8436697125434875	0.19329064	No	
row_52	RAD21	5899	0.8203758597373962	0.18955886	No	
row_53	HMGN2	5978	0.8102174997329712	0.19001164	No	
row_54	CBX1	5996	0.8081400394439697	0.19360763	No	
row_55	HOXC10	6186	0.7777141332626343	0.18813983	No	
row_56	UBE2S	6202	0.7758617997169495	0.19166051	No	
row_57	MAPK14	6279	0.7610733509063721	0.19194457	No	
row_58	WRN	6304	0.7561891674995422	0.19489087	No	
row_59	CCNB2	6309	0.7559382915496826	0.19887012	No	
row_60	CHEK1	6328	0.7527318596839905	0.20210758	No	
row_61	CDC25B	6336	0.7519305348396301	0.20590948	No	
row_62	TOP2A	6360	0.7480642795562744	0.2088625	No	
row_63	NEK2	6500	0.7278147339820862	0.20570421	No	
row_64	HMGB3	6517	0.7258761525154114	0.20889638	No	
row_65	ORC6	6580	0.7149338722229004	0.20964898	No	
row_66	STIL	6632	0.7050089240074158	0.2109155	No	
row_67	BARD1	6706	0.6959096193313599	0.21099386	No	
row_68	GINS2	6753	0.689187228679657	0.21243134	No	
row_69	DBF4	7049	0.6409538984298706	0.2007242	No	
row_70	PRC1	7157	0.6261312961578369	0.19865778	No	
row_71	NOLC1	7211	0.618733823299408	0.1993431	No	
row_72	POLA2	7463	0.5761470198631287	0.18955263	No	
row_73	PRPF4B	7652	0.5457211136817932	0.18285185	No	
row_74	SMARCC1	7729	0.5332142114639282	0.1818741	No	
row_75	CKS1B	7852	0.5162615180015564	0.1784235	No	
row_76	LMNB1	7905	0.5077134966850281	0.17854576	No	
row_77	CDK1	7920	0.5049048066139221	0.18061769	No	
row_78	TLE3	7923	0.504701554775238	0.18330912	No	
row_79	MCM2	7924	0.5043241381645203	0.18610188	No	
row_80	CUL4A	8023	0.4892357289791107	0.18374284	No	
row_81	BUB3	8157	0.4682474434375763	0.17945746	No	
row_82	HMMR	8210	0.4591834247112274	0.17931096	No	
row_83	KPNB1	8364	0.43460750579833984	0.17380497	No	
row_84	GSPT1	8369	0.43402403593063354	0.17600156	No	
row_85	SRSF2	8471	0.4189373850822449	0.17309807	No	
row_86	CENPE	8511	0.41188597679138184	0.17336199	No	
row_87	FBXO5	8534	0.40797945857048035	0.17448346	No	
row_88	ABL1	8562	0.40365979075431824	0.17532243	No	
row_89	PDS5B	8705	0.38424691557884216	0.17010644	No	
row_90	CASP8AP2	9059	0.326641321182251	0.15365915	No	
row_91	BCL3	9133	0.3143129348754883	0.15162437	No	
row_92	E2F3	9317	0.2851998507976532	0.14373949	No	
row_93	LIG3	9325	0.2833350598812103	0.14494649	No	
row_94	AMD1	9334	0.28245994448661804	0.1460969	No	
row_95	CDC6	9352	0.28032517433166504	0.14677006	No	
row_96	KIF22	9378	0.27809444069862366	0.14701712	No	
row_97	EZH2	9505	0.25454777479171753	0.14191037	No	
row_98	SRSF1	9597	0.24214860796928406	0.13854505	No	
row_99	UBE2C	9639	0.23616762459278107	0.13773248	No	
row_100	STAG1	9685	0.23065410554409027	0.13668248	No	
row_101	BRCA2	9692	0.2299410104751587	0.13764551	No	
row_102	KPNA2	9722	0.22474348545074463	0.13739027	No	
row_103	KIF5B	9794	0.21361465752124786	0.13490129	No	
row_104	DMD	9925	0.19382740557193756	0.12925142	No	
row_105	XPO1	10184	0.15381035208702087	0.11676018	No	
row_106	RAD54L	10283	0.13869932293891907	0.11245998	No	
row_107	KATNA1	10348	0.12951739132404327	0.10986731	No	
row_108	NOTCH2	10368	0.1263895332813263	0.10958459	No	
row_109	MCM3	10450	0.11131909489631653	0.10601196	No	
row_110	PRMT5	10618	0.08536183834075928	0.09784792	No	
row_111	HNRNPD	10684	0.07434926182031631	0.09489804	No	
row_112	NASP	10784	0.05887830629944801	0.0901041	No	
row_113	AURKA	10882	0.04188172146677971	0.085319474	No	
row_114	BIRC5	11365	-0.03475676476955414	0.06058435	No	
row_115	TGFB1	11462	-0.04963561147451401	0.055894386	No	
row_116	MCM5	11489	-0.05327133461833	0.05484474	No	
row_117	RPA2	11603	-0.06855680048465729	0.049380362	No	
row_118	DKC1	11635	-0.07539477944374084	0.048194643	No	
row_119	SLC38A1	11645	-0.07641048729419708	0.048152324	No	
row_120	MTF2	11779	-0.09772711247205734	0.04181514	No	
row_121	ORC5	11967	-0.12871812283992767	0.032856856	No	
row_122	POLE	12035	-0.1419011354446411	0.030177614	No	
row_123	POLQ	12182	-0.1641639918088913	0.023536013	No	
row_124	ODC1	12228	-0.17169469594955444	0.022159532	No	
row_125	TFDP1	12553	-0.23065277934074402	0.006680495	No	
row_126	EWSR1	12895	-0.28979727625846863	-0.0093502095	No	
row_127	UCK2	13042	-0.3133624792098999	-0.015165603	No	
row_128	EGF	13091	-0.32083240151405334	-0.015871363	No	
row_129	HNRNPU	13111	-0.3233284056186676	-0.015063509	No	
row_130	KMT5A	13117	-0.3246272802352905	-0.013524424	No	
row_131	MT2A	13176	-0.33566004037857056	-0.014665245	No	
row_132	MEIS2	13190	-0.33843767642974854	-0.013463419	No	
row_133	SLC7A1	13496	-0.39243966341018677	-0.027063916	No	
row_134	NCL	13726	-0.4313827157020569	-0.036518265	No	
row_135	ESPL1	13851	-0.4523957669734955	-0.040425967	No	
row_136	CDC27	13967	-0.47296029329299927	-0.04375434	No	
row_137	HUS1	14029	-0.4832399785518646	-0.044233065	No	
row_138	SNRPD1	14095	-0.495024174451828	-0.044853404	No	
row_139	SAP30	14103	-0.49638161063194275	-0.042466637	No	
row_140	FANCC	14130	-0.501657247543335	-0.041033283	No	
row_141	NUMA1	14251	-0.5253996253013611	-0.04432985	No	
row_142	ATRX	14309	-0.5352967381477356	-0.044313435	No	
row_143	NUP98	14379	-0.5483023524284363	-0.044845603	No	
row_144	EFNA5	14535	-0.5813736915588379	-0.0496423	No	
row_145	CHMP1A	14567	-0.5878081321716309	-0.047990456	No	
row_146	SLC7A5	14781	-0.6322973370552063	-0.05550474	No	
row_147	RBL1	14784	-0.6326805949211121	-0.052104615	No	
row_148	PRIM2	14911	-0.6573347449302673	-0.054980874	No	
row_149	FOXN3	15030	-0.6816170811653137	-0.057308927	No	
row_150	SFPQ	15284	-0.7331166863441467	-0.06633359	No	
row_151	INCENP	15549	-0.7873702049255371	-0.07562671	No	
row_152	MCM6	15552	-0.7880859971046448	-0.071366	No	
row_153	CHAF1A	15756	-0.8344948291778564	-0.07724342	No	
row_154	SLC12A2	15821	-0.8513602018356323	-0.075838774	No	
row_155	TOP1	15948	-0.8752167820930481	-0.07750848	No	
row_156	CUL5	16059	-0.8972771167755127	-0.07822855	No	
row_157	PAFAH1B1	16173	-0.9190247654914856	-0.078983344	No	
row_158	MARCKS	16247	-0.9330783486366272	-0.07759163	No	
row_159	DR1	16304	-0.9485024809837341	-0.075235315	No	
row_160	DTYMK	16350	-0.956273078918457	-0.07226708	No	
row_161	TRAIP	16811	-1.0725188255310059	-0.09011768	No	
row_162	ARID4A	16823	-1.0739891529083252	-0.08473919	No	
row_163	PURA	17071	-1.130364179611206	-0.09125374	No	
row_164	YTHDC1	17116	-1.1414438486099243	-0.08720838	No	
row_165	CCNT1	17400	-1.2294307947158813	-0.09503614	No	
row_166	RPS6KA5	17447	-1.24469792842865	-0.09052243	No	
row_167	RASAL2	17449	-1.2447943687438965	-0.08368092	No	
row_168	SS18	17508	-1.261208176612854	-0.07969639	No	
row_169	SRSF10	17539	-1.270717978477478	-0.07421112	No	
row_170	SYNCRIP	17738	-1.3353450298309326	-0.07705642	No	
row_171	PML	17794	-1.353065848350525	-0.07240806	No	
row_172	LBR	17908	-1.3937824964523315	-0.07053381	No	
row_173	RAD23B	18021	-1.4386297464370728	-0.0683595	No	
row_174	G3BP1	18082	-1.4650115966796875	-0.063349806	No	
row_175	CUL3	18202	-1.5120041370391846	-0.06113119	No	
row_176	HSPA8	18206	-1.5150094032287598	-0.05289676	No	
row_177	NUP50	18405	-1.6017833948135376	-0.054266624	No	
row_178	HIF1A	18507	-1.6472749710083008	-0.050368022	No	
row_179	SQLE	18547	-1.6737546920776367	-0.043116327	No	
row_180	UPF1	18563	-1.6807936429977417	-0.034584448	No	
row_181	CDKN2C	18580	-1.6905803680419922	-0.026050089	No	
row_182	CDKN1B	18595	-1.6973060369491577	-0.017375052	No	
row_183	TRA2B	18714	-1.76352858543396	-0.013711868	No	
row_184	E2F4	18861	-1.8495832681655884	-0.011020218	No	
row_185	TNPO2	18896	-1.8730295896530151	-0.0024064272	No	
row_186	STMN1	19028	-1.986419916152954	0.0018187298	No	
row_187	ATF5	19048	-2.0014657974243164	0.01191951	No	
row_188	MNAT1	19294	-2.283616304397583	0.011894695	No	
