NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC30A10	118	2.836777925491333	0.009461889	No	
row_1	ENDOD1	320	2.49348783493042	0.012747223	No	
row_2	KEL	341	2.4712893962860107	0.025272503	No	
row_3	RAP1GAP	582	2.2370336055755615	0.025133526	No	
row_4	TNS1	624	2.209270715713501	0.035134964	No	
row_5	BPGM	876	2.0401031970977783	0.033346504	No	
row_6	IGSF3	880	2.0365078449249268	0.04436546	No	
row_7	ABCB6	978	1.9814904928207397	0.05022064	No	
row_8	CCND3	985	1.9767529964447021	0.060756557	No	
row_9	EPB42	994	1.9736100435256958	0.07117178	No	
row_10	MYL4	995	1.9729663133621216	0.08199726	No	
row_11	PDZK1IP1	1194	1.886575698852539	0.08210769	No	
row_12	ALDH1L1	1403	1.8122007846832275	0.081292816	No	
row_13	PGLS	1429	1.8043415546417236	0.0899	No	
row_14	RHCE	1672	1.7280038595199585	0.08686458	No	
row_15	GYPB	1772	1.6948223114013672	0.0910434	No	
row_16	HBD	1798	1.6862108707427979	0.09900242	No	
row_17	SLC4A1	1865	1.6671204566955566	0.104736075	No	
row_18	BLVRA	1869	1.6659396886825562	0.11372176	No	
row_19	MFHAS1	2192	1.5684161186218262	0.1056729	No	
row_20	MOCOS	2464	1.4891968965530396	0.09982723	No	
row_21	ALDH6A1	2483	1.484935998916626	0.10704392	No	
row_22	HBQ1	2568	1.4660234451293945	0.11074317	No	
row_23	TYR	3169	1.3317536115646362	0.08701696	No	
row_24	DCAF11	3206	1.3243603706359863	0.0924216	No	
row_25	ALAD	3233	1.3180803060531616	0.098308995	No	
row_26	PC	3272	1.310506820678711	0.10353417	No	
row_27	SDCBP	3402	1.2808517217636108	0.1038899	No	
row_28	PRDX2	3547	1.248329997062683	0.10329135	No	
row_29	E2F2	3574	1.2421128749847412	0.10876192	No	
row_30	SLC2A1	3619	1.2314109802246094	0.11324277	No	
row_31	TAL1	3842	1.1836711168289185	0.108255096	No	
row_32	UROD	4061	1.14120614528656	0.10324131	No	
row_33	GYPA	4158	1.1224586963653564	0.10443479	No	
row_34	GYPC	4182	1.1176047325134277	0.10937736	No	
row_35	UBAC1	4213	1.111966848373413	0.11392695	No	
row_36	DMTN	4326	1.0882552862167358	0.114105195	No	
row_37	TRIM10	4464	1.0641202926635742	0.11285795	No	
row_38	RHD	4741	1.017301321029663	0.10416442	No	
row_39	USP15	4770	1.0126508474349976	0.108272515	No	
row_40	ACP5	4943	0.979896605014801	0.10475287	No	
row_41	NARF	5272	0.9235197901725769	0.09285519	No	
row_42	NUDT4	5379	0.9049326181411743	0.09233791	No	
row_43	HBZ	5424	0.896420955657959	0.094980694	No	
row_44	SYNJ1	5571	0.8689021468162537	0.092196815	No	
row_45	MPP1	5620	0.8606619238853455	0.09443651	No	
row_46	CA2	5932	0.8157137036323547	0.0828266	No	
row_47	P4HA2	5967	0.8119127750396729	0.08552293	No	
row_48	ABCG2	6054	0.7988987565040588	0.085458286	No	
row_49	HDGF	6192	0.7773823142051697	0.08263774	No	
row_50	SLC25A37	6676	0.6986213326454163	0.061489113	No	
row_51	RBM38	6725	0.6942524909973145	0.06281574	No	
row_52	ADIPOR1	6743	0.6911918520927429	0.06572896	No	
row_53	MINPP1	6751	0.6898062229156494	0.069151804	No	
row_54	ERMAP	6768	0.6869243383407593	0.07209334	No	
row_55	HTATIP2	6805	0.6794227361679077	0.073959254	No	
row_56	UROS	6826	0.6748266220092773	0.076627515	No	
row_57	AQP3	6996	0.650684118270874	0.07145668	No	
row_58	PSMD9	7042	0.6429668068885803	0.07265707	No	
row_59	GYPE	7068	0.639039158821106	0.07487036	No	
row_60	RANBP10	7208	0.618791401386261	0.0710762	No	
row_61	SLC6A9	7252	0.6119123697280884	0.07220964	No	
row_62	FTCD	7451	0.5783663988113403	0.06514206	No	
row_63	FN3K	7717	0.5356940031051636	0.054374937	No	
row_64	GLRX5	7858	0.5157128572463989	0.04996347	No	
row_65	GDE1	7872	0.5136072039604187	0.052109193	No	
row_66	CTNS	7910	0.5072637796401978	0.052978776	No	
row_67	AHSP	8115	0.475454181432724	0.045036186	No	
row_68	CTSB	8149	0.4699624180793762	0.045907985	No	
row_69	ISCA1	8306	0.44397857785224915	0.040275365	No	
row_70	TFRC	8329	0.44014179706573486	0.04155249	No	
row_71	CAT	8599	0.3986204266548157	0.02982637	No	
row_72	DCAF10	8645	0.392026424407959	0.029649874	No	
row_73	KHNYN	8755	0.37637215852737427	0.026077256	No	
row_74	GCLC	8792	0.3705100417137146	0.026248204	No	
row_75	ALAS2	8811	0.3679812550544739	0.027336279	No	
row_76	BSG	8880	0.35834363102912903	0.025785355	No	
row_77	TSPO2	8886	0.35709691047668457	0.027486099	No	
row_78	CA1	8936	0.34765228629112244	0.026859239	No	
row_79	KLF1	9067	0.32579177618026733	0.02192292	No	
row_80	EZH1	9188	0.30722877383232117	0.017401973	No	
row_81	ADD2	9296	0.2888684868812561	0.013452674	No	
row_82	ICAM4	9299	0.28806835412979126	0.014929833	No	
row_83	CTSE	9337	0.2820460796356201	0.014563665	No	
row_84	LRP10	9411	0.27246880531311035	0.012282943	No	
row_85	OPTN	9482	0.259577214717865	0.010086654	No	
row_86	SMOX	9995	0.1827469766139984	-0.015392478	No	
row_87	FBXO7	10077	0.17061328887939453	-0.018645851	No	
row_88	XK	10308	0.13570502400398254	-0.029797392	No	
row_89	TSPAN5	10507	0.10346807539463043	-0.0394707	No	
row_90	EIF2AK1	10546	0.09781435132026672	-0.04089945	No	
row_91	GAPVD1	10559	0.09631644934415817	-0.040991638	No	
row_92	RHAG	10665	0.07814504951238632	-0.04599371	No	
row_93	GATA1	10730	0.06752952933311462	-0.048933417	No	
row_94	RIOK3	10861	0.0445413775742054	-0.055412926	No	
row_95	CLCN3	10895	0.03938371688127518	-0.05690367	No	
row_96	ASNS	10931	0.03258945420384407	-0.058535136	No	
row_97	SLC22A4	11152	-7.654992514289916E-4	-0.069909856	No	
row_98	PPOX	11206	-0.01168772578239441	-0.07258701	No	
row_99	FBXO34	11303	-0.027013521641492844	-0.077404134	No	
row_100	SLC10A3	11651	-0.07711703330278397	-0.09492866	No	
row_101	FOXO3	11937	-0.12360323965549469	-0.10899133	No	
row_102	YPEL5	12049	-0.144450843334198	-0.113939926	No	
row_103	NCOA4	12051	-0.1446264237165451	-0.1131981	No	
row_104	MAP2K3	12161	-0.16068050265312195	-0.117954195	No	
row_105	FBXO9	12176	-0.16321182250976562	-0.11778278	No	
row_106	CLIC2	12191	-0.16617423295974731	-0.117595114	No	
row_107	SPTA1	12222	-0.17059148848056793	-0.11821076	No	
row_108	SIDT2	12354	-0.1956998109817505	-0.12391261	No	
row_109	BCAM	12530	-0.22670204937458038	-0.13172013	No	
row_110	CCDC28A	12648	-0.24724072217941284	-0.13641505	No	
row_111	TCEA1	12673	-0.25113269686698914	-0.13627845	No	
row_112	MBOAT2	12678	-0.25173303484916687	-0.1351041	No	
row_113	MOSPD1	12800	-0.27170297503471375	-0.1398717	No	
row_114	HBB	12860	-0.283057302236557	-0.14137022	No	
row_115	HMBS	12898	-0.2900814712047577	-0.1416923	No	
row_116	BMP2K	13132	-0.3271125853061676	-0.15194876	No	
row_117	KAT2B	13149	-0.3293454349040985	-0.15096924	No	
row_118	NFE2L1	13185	-0.33776283264160156	-0.15092625	No	
row_119	SNCA	13327	-0.3662189245223999	-0.15620969	No	
row_120	NEK7	13556	-0.4018414318561554	-0.16579753	No	
row_121	CIR1	13622	-0.4138275980949402	-0.16688885	No	
row_122	EPOR	13771	-0.440403014421463	-0.1721273	No	
row_123	ATG4A	13900	-0.46216657757759094	-0.17621191	No	
row_124	CDC27	13967	-0.47296029329299927	-0.17703049	No	
row_125	CPOX	14071	-0.4912927746772766	-0.17966221	No	
row_126	SLC11A2	14209	-0.5157819390296936	-0.18391813	No	
row_127	SLC7A11	14306	-0.5350160002708435	-0.1859479	No	
row_128	GMPS	14512	-0.5756046175956726	-0.1933927	No	
row_129	DAAM1	14516	-0.5765931606292725	-0.19038415	No	
row_130	GCLM	14552	-0.5840955972671509	-0.18898956	No	
row_131	BNIP3L	14682	-0.6128491163253784	-0.1922991	No	
row_132	RCL1	14709	-0.6179928183555603	-0.190253	No	
row_133	BACH1	14806	-0.6372426152229309	-0.19172187	No	
row_134	SEC14L1	14828	-0.639923095703125	-0.18929684	No	
row_135	BTRC	15308	-0.7387756705284119	-0.21001826	No	
row_136	UCP2	15366	-0.7506542801856995	-0.20884767	No	
row_137	KLF3	15599	-0.7977488040924072	-0.21647008	No	
row_138	SELENBP1	15728	-0.8267810940742493	-0.21855408	Yes	
row_139	HAGH	15780	-0.8404916524887085	-0.21658021	Yes	
row_140	RNF123	15841	-0.8543049693107605	-0.21499607	Yes	
row_141	ACKR1	15911	-0.8705599904060364	-0.21378824	Yes	
row_142	TOP1	15948	-0.8752167820930481	-0.210848	Yes	
row_143	TMEM9B	16037	-0.8919965624809265	-0.21050528	Yes	
row_144	VEZF1	16081	-0.9013633728027344	-0.20778364	Yes	
row_145	ANK1	16124	-0.910376250743866	-0.20496084	Yes	
row_146	TRIM58	16291	-0.9444260597229004	-0.20836477	Yes	
row_147	FECH	16559	-1.007246971130371	-0.21664798	Yes	
