NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTB	223	2.6263139247894287	0.02183099	Yes	
row_1	TNF	333	2.4794392585754395	0.04766432	Yes	
row_2	DNTT	355	2.455949544906616	0.07772699	Yes	
row_3	CCL7	457	2.3454577922821045	0.10227291	Yes	
row_4	IL1R1	879	2.037400960922241	0.106449865	Yes	
row_5	CD14	883	2.034783124923706	0.1320979	Yes	
row_6	PF4	1095	1.9294097423553467	0.14570904	Yes	
row_7	LTBR	1102	1.926723599433899	0.16983247	Yes	
row_8	STAM2	1247	1.8673279285430908	0.18610322	Yes	
row_9	TNFRSF12A	1556	1.7648721933364868	0.1926377	Yes	
row_10	TNFRSF21	1820	1.6810551881790161	0.20042437	Yes	
row_11	IL17RA	2052	1.6126567125320435	0.20898996	Yes	
row_12	ITGB3	2067	1.6077302694320679	0.22865678	Yes	
row_13	IFNGR1	2288	1.5374042987823486	0.23683403	Yes	
row_14	SOCS1	2992	1.3723828792572021	0.21807046	Yes	
row_15	CD38	3000	1.3709863424301147	0.23509535	Yes	
row_16	CD9	3189	1.3276419639587402	0.24225894	Yes	
row_17	CXCL3	3219	1.3213118314743042	0.2575221	Yes	
row_18	IL12RB1	3462	1.266802191734314	0.26113614	Yes	
row_19	IL1B	3981	1.15662682056427	0.24915408	Yes	
row_20	HMOX1	4342	1.0858337879180908	0.24440272	Yes	
row_21	PTPN2	4375	1.0783648490905762	0.25643083	Yes	
row_22	CSF2RB	4713	1.0223695039749146	0.25205797	Yes	
row_23	IL3RA	4852	0.9939936995506287	0.25756297	Yes	
row_24	STAT2	5096	0.9543635845184326	0.2571636	Yes	
row_25	CSF3R	5292	0.9192837476730347	0.25878882	Yes	
row_26	FAS	5516	0.8787984848022461	0.2584602	Yes	
row_27	REG1A	5671	0.8535692095756531	0.2613614	Yes	
row_28	ACVR1B	5912	0.8186893463134766	0.25939596	Yes	
row_29	TYK2	5956	0.8132761716842651	0.26749665	Yes	
row_30	IL17RB	5986	0.8094297051429749	0.2762688	Yes	
row_31	IL9R	6057	0.7986781597137451	0.2827954	Yes	
row_32	PDGFC	6432	0.7374832034111023	0.27290648	Yes	
row_33	CRLF2	6574	0.7163533568382263	0.2747365	Yes	
row_34	INHBE	6668	0.6994969844818115	0.27882212	Yes	
row_35	ITGA4	6728	0.694075345993042	0.28458816	Yes	
row_36	IFNAR1	7223	0.6170743107795715	0.26699892	No	
row_37	CSF2	7296	0.6036897301673889	0.27095	No	
row_38	EBI3	7674	0.542424738407135	0.2584333	No	
row_39	IL1R2	7751	0.5300081968307495	0.26124427	No	
row_40	JUN	8038	0.4876291751861572	0.25271428	No	
row_41	IL4R	8270	0.4491383135318756	0.24652572	No	
row_42	SOCS3	8327	0.44043806195259094	0.2492298	No	
row_43	PIM1	8455	0.4220733940601349	0.24804837	No	
row_44	CNTFR	8605	0.3975478708744049	0.24542414	No	
row_45	TLR2	8918	0.35209208726882935	0.23383786	No	
row_46	BAK1	9193	0.3066394329071045	0.22363015	No	
row_47	IL10RB	9646	0.23536767065525055	0.20336133	No	
row_48	ACVRL1	10008	0.18082351982593536	0.18708242	No	
row_49	MYD88	10173	0.15527623891830444	0.18061435	No	
row_50	CXCL10	10177	0.1545088291168213	0.18241929	No	
row_51	IRF9	10247	0.14371930062770844	0.18069199	No	
row_52	CSF2RA	10681	0.07471727579832077	0.1593635	No	
row_53	IL7	11131	0.001878762268461287	0.13628824	No	
row_54	CXCL11	11367	-0.03490818291902542	0.12464117	No	
row_55	TGFB1	11462	-0.04963561147451401	0.120434694	No	
row_56	CXCL13	11507	-0.05562833696603775	0.118876494	No	
row_57	GRB2	11624	-0.07271331548690796	0.11383086	No	
row_58	IL2RA	11751	-0.09259245544672012	0.10852284	No	
row_59	IL13RA1	12551	-0.23047736287117004	0.07034039	No	
row_60	CD44	12766	-0.2672356069087982	0.06271975	No	
row_61	IFNGR2	12871	-0.2858765423297882	0.060994502	No	
row_62	IL18R1	12906	-0.29149895906448364	0.062941745	No	
row_63	CXCL1	13053	-0.3149069845676422	0.05942391	No	
row_64	PTPN1	13235	-0.3468509316444397	0.054510545	No	
row_65	CD36	13826	-0.4477665424346924	0.029835599	No	
row_66	HAX1	13919	-0.4655197858810425	0.031005694	No	
row_67	OSMR	14257	-0.5260744094848633	0.020339483	No	
row_68	TNFRSF1B	14556	-0.5857575535774231	0.012436474	No	
row_69	IRF1	14611	-0.5974165797233582	0.01723404	No	
row_70	STAT3	14944	-0.6642993688583374	0.00857784	No	
row_71	IL6	15487	-0.7733765244483948	-0.009498771	No	
row_72	IL2RG	15493	-0.7747192978858948	6.794351E-5	No	
row_73	CCR1	15527	-0.7829792499542236	0.008298922	No	
row_74	PLA2G2A	15860	-0.8583785891532898	0.0021037732	No	
row_75	PTPN11	16071	-0.8999620676040649	0.0027122952	No	
row_76	MAP3K8	16322	-0.9508398175239563	0.0019081549	No	
row_77	IL15RA	16586	-1.01565420627594	0.0012571099	No	
row_78	CBL	16758	-1.0563956499099731	0.00585569	No	
row_79	CSF1	16760	-1.0567957162857056	0.019205099	No	
row_80	LEPR	16804	-1.070054054260254	0.030561917	No	
row_81	CXCL9	16853	-1.0816702842712402	0.041808806	No	
row_82	STAT1	17137	-1.1463055610656738	0.041785594	No	
row_83	PIK3R5	17958	-1.4116994142532349	0.017501447	No	
row_84	A2M	18104	-1.4758806228637695	0.028756954	No	
row_85	IL6ST	18622	-1.711627721786499	0.023864117	No	
row_86	TNFRSF1A	18729	-1.7734386920928955	0.040899232	No	
