NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROS1	12	3.6675331592559814	0.01979705	Yes	
row_1	MMP14	151	2.745008707046509	0.027938485	Yes	
row_2	EREG	310	2.5056748390197754	0.03371262	Yes	
row_3	AXL	363	2.442762851715088	0.04462135	Yes	
row_4	CD70	399	2.4160537719726562	0.05626103	Yes	
row_5	CCL7	457	2.3454577922821045	0.06636932	Yes	
row_6	FZD5	525	2.2869057655334473	0.075634204	Yes	
row_7	IL1A	631	2.203998565673828	0.08247126	Yes	
row_8	LY6E	660	2.1819705963134766	0.09316995	Yes	
row_9	IL1R1	879	2.037400960922241	0.093232475	Yes	
row_10	CD14	883	2.034783124923706	0.104405336	Yes	
row_11	LTA	1079	1.9348092079162598	0.10508681	Yes	
row_12	CSF3	1287	1.8530627489089966	0.104692265	Yes	
row_13	CLEC5A	1351	1.8287971019744873	0.11161373	Yes	
row_14	HBEGF	1437	1.801938533782959	0.117247306	Yes	
row_15	GP1BA	1503	1.7805382013320923	0.12379661	Yes	
row_16	SLC28A2	1574	1.7594472169876099	0.12996978	Yes	
row_17	RIPK2	1591	1.7542804479599	0.13890836	Yes	
row_18	MSR1	1701	1.7196063995361328	0.14284171	Yes	
row_19	P2RX7	1883	1.6611353158950806	0.142724	Yes	
row_20	HRH1	2000	1.626023769378662	0.14577416	Yes	
row_21	ITGB3	2067	1.6077302694320679	0.15130967	Yes	
row_22	TNFAIP6	2185	1.5711358785629272	0.1540025	Yes	
row_23	IL2RB	2199	1.5664736032485962	0.16205075	Yes	
row_24	ACVR2A	2235	1.554020643234253	0.1688913	Yes	
row_25	PTPRE	2303	1.5319457054138184	0.17395315	Yes	
row_26	FFAR2	2482	1.4850212335586548	0.1730102	Yes	
row_27	TNFSF15	2539	1.4729374647140503	0.17831272	Yes	
row_28	CCL20	2606	1.4605915546417236	0.18302907	Yes	
row_29	APLNR	2693	1.4399603605270386	0.1865957	Yes	
row_30	TLR3	2738	1.4277597665786743	0.19226761	Yes	
row_31	MARCO	2783	1.415749192237854	0.19787268	Yes	
row_32	TACR1	2801	1.4135006666183472	0.20486231	Yes	
row_33	PDPN	2897	1.3925230503082275	0.20769913	Yes	
row_34	TACR3	2970	1.376503348350525	0.21163689	Yes	
row_35	MET	3236	1.3174076080322266	0.2052591	Yes	
row_36	IRAK2	3379	1.2841941118240356	0.20506087	Yes	
row_37	IRF7	3400	1.2813915014266968	0.2111598	Yes	
row_38	MYC	3425	1.2749598026275635	0.21701592	Yes	
row_39	BDKRB1	3437	1.2726167440414429	0.22353168	Yes	
row_40	CCL17	3553	1.247159719467163	0.22452436	Yes	
row_41	VIP	3893	1.1733744144439697	0.21351567	Yes	
row_42	IL1B	3981	1.15662682056427	0.21545316	Yes	
row_43	PDE4B	3985	1.1551299095153809	0.2217288	Yes	
row_44	RHOG	4043	1.1457189321517944	0.22515787	Yes	
row_45	PCDH7	4076	1.1375131607055664	0.22983485	Yes	
row_46	SLC31A2	4081	1.1370317935943604	0.235958	Yes	
row_47	LCK	4144	1.1246460676193237	0.23901103	Yes	
row_48	PROK2	4228	1.1091479063034058	0.24089117	Yes	
row_49	PSEN1	4294	1.094887614250183	0.24362332	Yes	
row_50	NMUR1	4404	1.0745091438293457	0.24396528	Yes	
row_51	AQP9	4583	1.045114517211914	0.24057327	No	
row_52	SCN1B	4973	0.9755696654319763	0.22587617	No	
row_53	MEFV	5075	0.9579106569290161	0.22598295	No	
row_54	TNFSF9	5098	0.954042911529541	0.23015594	No	
row_55	HPN	5109	0.9519111514091492	0.23493801	No	
row_56	LCP2	5124	0.9489349126815796	0.23949653	No	
row_57	CSF3R	5292	0.9192837476730347	0.23597318	No	
row_58	HAS2	5421	0.8968758583068848	0.23434308	No	
row_59	IL10RA	5527	0.8766798377037048	0.23379067	No	
row_60	SLAMF1	5815	0.8330424427986145	0.22357793	No	
row_61	CMKLR1	5885	0.822808027267456	0.22458838	No	
row_62	ACVR1B	5912	0.8186893463134766	0.22780086	No	
row_63	NPFFR2	5994	0.8083232045173645	0.22810973	No	
row_64	TNFRSF9	6048	0.7997856140136719	0.2298199	No	
row_65	NLRP3	6195	0.7766110897064209	0.22658888	No	
row_66	PLAUR	6278	0.7613081336021423	0.22658426	No	
row_67	MEP1A	6690	0.6974374055862427	0.20920035	No	
row_68	OLR1	6759	0.688591718673706	0.20951533	No	
row_69	CD82	6839	0.6734145879745483	0.20917661	No	
row_70	SGMS2	6861	0.6698176860809326	0.21181902	No	
row_71	FPR1	6911	0.662282407283783	0.21297066	No	
row_72	P2RY2	7202	0.6200756430625916	0.20141706	No	
row_73	IFNAR1	7223	0.6170743107795715	0.20381758	No	
row_74	ADGRE1	7554	0.55836421251297	0.18985067	No	
row_75	TAPBP	7588	0.5545257329940796	0.1912303	No	
row_76	ADM	7616	0.5506973266601562	0.19289906	No	
row_77	IL12B	7654	0.5454916954040527	0.19402142	No	
row_78	EBI3	7674	0.542424738407135	0.1960581	No	
row_79	LPAR1	8209	0.45922982692718506	0.17098355	No	
row_80	RELA	8218	0.45799341797828674	0.17311935	No	
row_81	IL4R	8270	0.4491383135318756	0.17298087	No	
row_82	ITGA5	8354	0.43579626083374023	0.17111231	No	
row_83	PTAFR	8383	0.4321061372756958	0.17206912	No	
row_84	SLC4A4	8408	0.42808765172958374	0.17321053	No	
row_85	LYN	8422	0.42574962973594666	0.1749081	No	
row_86	CXCL6	8550	0.40546855330467224	0.17059398	No	
row_87	GCH1	8716	0.3829527497291565	0.16418825	No	
row_88	CXCL8	8764	0.3753368556499481	0.16384587	No	
row_89	TPBG	8776	0.37283337116241455	0.16535234	No	
row_90	SELE	8879	0.358349084854126	0.16206948	No	
row_91	TLR2	8918	0.35209208726882935	0.16206339	No	
row_92	EDN1	8985	0.33883801102638245	0.1605347	No	
row_93	ADORA2B	9002	0.3357594311237335	0.16157603	No	
row_94	IL18	9018	0.3327285647392273	0.16265225	No	
row_95	GPR132	9143	0.3125223219394684	0.15797591	No	
row_96	LDLR	9254	0.29494553804397583	0.15392612	No	
row_97	ICAM4	9299	0.28806835412979126	0.15325314	No	
row_98	C3AR1	9312	0.2857612073421478	0.15422311	No	
row_99	GNA15	9344	0.2812373638153076	0.15418476	No	
row_100	GPC3	9385	0.27649396657943726	0.15365432	No	
row_101	SERPINE1	9435	0.2681344449520111	0.15261164	No	
row_102	KIF1B	9502	0.255278617143631	0.15061775	No	
row_103	LIF	9797	0.21309100091457367	0.1365914	No	
