NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY6E	660	2.1819705963134766	-0.00712525	No	
row_1	TMEM140	935	2.000521659851074	0.0033817287	No	
row_2	HELZ2	1216	1.8777308464050293	0.0120695485	No	
row_3	RIPK2	1591	1.7542804479599	0.014401485	No	
row_4	MOV10	2006	1.624220609664917	0.013075159	No	
row_5	SP110	2817	1.4099711179733276	-0.011265302	No	
row_6	CMTR1	3298	1.3024697303771973	-0.019945787	No	
row_7	IRF7	3400	1.2813915014266968	-0.009381634	No	
row_8	BATF2	3432	1.2737733125686646	0.004691116	No	
row_9	USP18	3735	1.2041654586791992	0.003961587	No	
row_10	OASL	4314	1.0904796123504639	-0.012369712	No	
row_11	PROCR	4328	1.087965726852417	3.4381822E-4	No	
row_12	TRIM21	4705	1.023794174194336	-0.0064125205	No	
row_13	PSMB9	4997	0.9713385105133057	-0.009439863	No	
row_14	STAT2	5096	0.9543635845184326	-0.0027439343	No	
row_15	CNP	5962	0.8123759627342224	-0.037265502	No	
row_16	CASP1	6087	0.793531596660614	-0.033885885	No	
row_17	LGALS3BP	6609	0.7109529972076416	-0.05195225	No	
row_18	PLSCR1	6910	0.662420928478241	-0.059242588	No	
row_19	TRIM14	6948	0.6562713384628296	-0.053074192	No	
row_20	GBP2	7397	0.5872500538825989	-0.06890547	No	
row_21	TRIM26	7605	0.5519922971725464	-0.07276822	No	
row_22	IFIH1	8079	0.4813746511936188	-0.091188364	No	
row_23	LAP3	8242	0.45459145307540894	-0.09393342	No	
row_24	DHX58	8257	0.4514225125312805	-0.08910115	No	
row_25	PARP12	8265	0.44980376958847046	-0.08392857	No	
row_26	IL4R	8270	0.4491383135318756	-0.07860979	No	
row_27	OAS1	8293	0.4459669291973114	-0.07425632	No	
row_28	PNPT1	8330	0.4401150643825531	-0.070695296	No	
row_29	CMPK2	9257	0.2945646047592163	-0.11472536	No	
row_30	TRIM5	9430	0.26883816719055176	-0.120269895	No	
row_31	CXCL10	10177	0.1545088291168213	-0.15675963	No	
row_32	RNF31	10238	0.14604900777339935	-0.15805085	No	
row_33	RSAD2	10244	0.14411965012550354	-0.15653542	No	
row_34	IRF9	10247	0.14371930062770844	-0.15487051	No	
row_35	MVB12A	10365	0.1268720179796219	-0.15933092	No	
row_36	RTP4	10390	0.12227173149585724	-0.159062	No	
row_37	LAMP3	11090	0.009063296020030975	-0.1949221	No	
row_38	IL7	11131	0.001878762268461287	-0.19695745	No	
row_39	CXCL11	11367	-0.03490818291902542	-0.20862152	No	
row_40	SLC25A28	11396	-0.039763085544109344	-0.20957334	No	
row_41	CCRL2	11457	-0.049092017114162445	-0.21205717	No	
row_42	DDX60	11560	-0.06401310861110687	-0.21651885	No	
row_43	MX1	11598	-0.06800509244203568	-0.21758643	No	
row_44	ELF1	11868	-0.11308625340461731	-0.23003855	No	
row_45	UBA7	11885	-0.11541342735290527	-0.2294423	No	
row_46	NMI	12120	-0.15504281222820282	-0.23957719	No	
row_47	IFI27	12348	-0.19295978546142578	-0.24888544	No	
row_48	PSMB8	12607	-0.2389242947101593	-0.2592236	No	
row_49	SELL	12683	-0.25249406695365906	-0.25997743	No	
row_50	TAP1	12909	-0.29230132699012756	-0.26796082	No	
row_51	CD47	13470	-0.3877791464328766	-0.29200938	No	
row_52	PARP9	14118	-0.4993818700313568	-0.3191623	No	
row_53	TRIM25	14204	-0.5145819187164307	-0.31720692	No	
row_54	IFI44	14247	-0.5247259736061096	-0.31291392	No	
row_55	EPSTI1	14317	-0.5363438725471497	-0.30986747	No	
row_56	PARP14	14528	-0.5793341994285583	-0.31354827	No	
row_57	IRF1	14611	-0.5974165797233582	-0.3104196	No	
row_58	PSME1	14700	-0.6166648864746094	-0.3073629	No	
row_59	ADAR	14862	-0.6459218263626099	-0.30770305	No	
row_60	TDRD7	14934	-0.662431001663208	-0.3032086	No	
row_61	ISG15	15234	-0.7216989994049072	-0.3097183	No	
row_62	PSMA3	15656	-0.8090382814407349	-0.32143202	No	
row_63	CASP8	16067	-0.8991075754165649	-0.33147174	No	
row_64	IFIT2	16129	-0.911506175994873	-0.32339892	No	
row_65	OGFR	16566	-1.0097919702529907	-0.33341518	Yes	
row_66	TRAFD1	16738	-1.051099181175232	-0.32928604	Yes	
