NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL7	457	2.3454577922821045	-0.010143946	No	
row_1	METTL7B	474	2.3303377628326416	0.0024335103	No	
row_2	SLAMF7	598	2.2261741161346436	0.008877773	No	
row_3	OAS3	606	2.2205824851989746	0.021289354	No	
row_4	LY6E	660	2.1819705963134766	0.031099718	No	
row_5	ISOC1	699	2.1512317657470703	0.04150906	No	
row_6	BPGM	876	2.0401031970977783	0.04414183	No	
row_7	HELZ2	1216	1.8777308464050293	0.037410263	No	
row_8	XCL1	1511	1.7780362367630005	0.032432605	No	
row_9	RIPK2	1591	1.7542804479599	0.038438026	No	
row_10	STAT4	1655	1.731471061706543	0.045139752	No	
row_11	CASP7	1776	1.6938197612762451	0.048676874	No	
row_12	TNFAIP6	2185	1.5711358785629272	0.036613006	No	
row_13	IL2RB	2199	1.5664736032485962	0.044951588	No	
row_14	EIF4E3	2766	1.4203693866729736	0.023848744	No	
row_15	SP110	2817	1.4099711179733276	0.02937344	No	
row_16	SOCS1	2992	1.3723828792572021	0.028268674	No	
row_17	CD38	3000	1.3709863424301147	0.035793062	No	
row_18	IDO1	3121	1.3413013219833374	0.037302364	No	
row_19	PFKP	3180	1.3288624286651611	0.041946735	No	
row_20	SPPL2A	3286	1.306282639503479	0.044030394	No	
row_21	CMTR1	3298	1.3024697303771973	0.05095377	No	
row_22	IRF7	3400	1.2813915014266968	0.053101122	No	
row_23	BATF2	3432	1.2737733125686646	0.05882503	No	
row_24	USP18	3735	1.2041654586791992	0.0501325	No	
row_25	SECTM1	3818	1.187354326248169	0.052721586	No	
row_26	UPP1	3962	1.159857153892517	0.051997606	No	
row_27	PDE4B	3985	1.1551299095153809	0.05750451	No	
row_28	MX2	4206	1.112981915473938	0.052528467	No	
row_29	OASL	4314	1.0904796123504639	0.053267308	No	
row_30	PTPN2	4375	1.0783648490905762	0.05636728	No	
row_31	TRIM21	4705	1.023794174194336	0.045240752	No	
row_32	CSF2RB	4713	1.0223695039749146	0.050759766	No	
row_33	CFB	4948	0.9789159297943115	0.04428845	No	
row_34	SERPING1	4965	0.9760842323303223	0.049075738	No	
row_35	PSMB9	4997	0.9713385105133057	0.053059928	No	
row_36	STAT2	5096	0.9543635845184326	0.053481255	No	
row_37	LCP2	5124	0.9489349126815796	0.05754345	No	
row_38	RAPGEF6	5181	0.9383591413497925	0.06004494	No	
row_39	NOD1	5350	0.9101456999778748	0.05659153	No	
row_40	FAS	5516	0.8787984848022461	0.05311296	No	
row_41	ZNFX1	5526	0.8769974112510681	0.0576923	No	
row_42	IL10RA	5527	0.8766798377037048	0.06273529	No	
row_43	NCOA3	5560	0.8714873194694519	0.06609338	No	
row_44	CMKLR1	5885	0.822808027267456	0.054069303	No	
row_45	TNFAIP2	5945	0.8145449757575989	0.055703405	No	
row_46	IRF4	5975	0.8105916380882263	0.058866363	No	
row_47	CASP1	6087	0.793531596660614	0.057690166	No	
row_48	DDX58	6093	0.7925778031349182	0.06199077	No	
row_49	ST3GAL5	6337	0.7518618702888489	0.053747877	No	
row_50	PTPN6	6513	0.7261285185813904	0.048873898	No	
row_51	CIITA	6559	0.7186461687088013	0.050680432	No	
row_52	LGALS3BP	6609	0.7109529972076416	0.052235834	No	
row_53	VAMP8	6620	0.7078729271888733	0.05579059	No	
row_54	IFNAR2	6656	0.7017694115638733	0.058017235	No	
row_55	PTGS2	6840	0.6733241677284241	0.052425746	No	
row_56	PLSCR1	6910	0.662420928478241	0.05266758	No	
row_57	FPR1	6911	0.662282407283783	0.05647728	No	
row_58	TRIM14	6948	0.6562713384628296	0.058390487	No	
row_59	FCGR1A	7229	0.6162478923797607	0.04745386	No	
row_60	IRF5	7372	0.5911491513252258	0.04351018	No	
row_61	TAPBP	7588	0.5545257329940796	0.03558029	No	
row_62	TRIM26	7605	0.5519922971725464	0.037928037	No	
row_63	RIPK1	7628	0.5489077568054199	0.039947726	No	
row_64	IFIH1	8079	0.4813746511936188	0.019442918	No	
row_65	ARL4A	8201	0.46080654859542847	0.015835568	No	
row_66	LAP3	8242	0.45459145307540894	0.01638176	No	
row_67	DHX58	8257	0.4514225125312805	0.018254435	No	
row_68	PARP12	8265	0.44980376958847046	0.020479836	No	
row_69	IL4R	8270	0.4491383135318756	0.022856569	No	
row_70	SOCS3	8327	0.44043806195259094	0.02249383	No	
row_71	PNPT1	8330	0.4401150643825531	0.024922097	No	
row_72	XAF1	8403	0.42878490686416626	0.023664812	No	
row_73	PIM1	8455	0.4220733940601349	0.023455031	No	
row_74	GCH1	8716	0.3829527497291565	0.012210801	No	
row_75	LYSMD2	8807	0.36852094531059265	0.0096758995	No	
row_76	CMPK2	9257	0.2945646047592163	-0.01185179	No	
row_77	PSMB10	9293	0.2891032099723816	-0.01199895	No	
row_78	PLA2G4A	9405	0.27384698390960693	-0.016164564	No	
row_79	BTG1	10053	0.1743149310350418	-0.04862447	No	
row_80	MYD88	10173	0.15527623891830444	-0.053885907	No	
row_81	CXCL10	10177	0.1545088291168213	-0.053152274	No	
row_82	RNF31	10238	0.14604900777339935	-0.055415325	No	
row_83	RSAD2	10244	0.14411965012550354	-0.054844894	No	
row_84	IRF9	10247	0.14371930062770844	-0.054121606	No	
row_85	CDKN1A	10287	0.13836216926574707	-0.055342764	No	
row_86	RTP4	10390	0.12227173149585724	-0.059914816	No	
