NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YBX2	327	2.4828102588653564	-0.0013016606	Yes	
row_1	TNNI3	586	2.2351458072662354	-5.913678E-4	Yes	
row_2	CCNA1	601	2.2255754470825195	0.012681601	Yes	
row_3	TENM2	681	2.1666722297668457	0.022221463	Yes	
row_4	NUDT11	732	2.1268105506896973	0.03301088	Yes	
row_5	TFAP2B	866	2.045077323913574	0.038992416	Yes	
row_6	C5	1110	1.9238420724868774	0.038520835	Yes	
row_7	PROP1	1251	1.8658418655395508	0.04301298	Yes	
row_8	GP1BA	1503	1.7805382013320923	0.041226257	Yes	
row_9	CALML5	1541	1.7699881792068481	0.050444055	Yes	
row_10	TG	1700	1.7197062969207764	0.05308592	Yes	
row_11	ARPP21	1821	1.6803706884384155	0.05744625	Yes	
row_12	NPHS1	1829	1.6781423091888428	0.0676384	Yes	
row_13	MAGIX	1844	1.674337387084961	0.07744449	Yes	
row_14	NTF3	1880	1.6613222360610962	0.08608232	Yes	
row_15	HTR1D	1945	1.6426767110824585	0.093102634	Yes	
row_16	LFNG	2093	1.601901650428772	0.09557266	Yes	
row_17	THRB	2175	1.5741567611694336	0.10128257	Yes	
row_18	CDH16	2193	1.568005084991455	0.1102647	Yes	
row_19	HNF1A	2299	1.5338194370269775	0.114479326	Yes	
row_20	ABCB11	2335	1.5236564874649048	0.12225135	Yes	
row_21	PCDHB1	2360	1.5167896747589111	0.13054924	Yes	
row_22	CLDN16	2456	1.4908674955368042	0.13501106	Yes	
row_23	PAX4	2494	1.4824151992797852	0.14242023	Yes	
row_24	KLK8	2592	1.4628089666366577	0.14660212	Yes	
row_25	IFNG	2630	1.4550364017486572	0.15383911	Yes	
row_26	DCC	2712	1.4357496500015259	0.15867855	Yes	
row_27	FGF22	2726	1.4303784370422363	0.16700204	Yes	
row_28	CD207	2806	1.4122153520584106	0.17179692	Yes	
row_29	TCF7L1	2883	1.397165298461914	0.17665236	Yes	
row_30	PDCD1	2906	1.3905879259109497	0.18426	Yes	
row_31	WNT16	3022	1.366576910018921	0.18690546	Yes	
row_32	VPS50	3030	1.364073395729065	0.19512235	Yes	
row_33	FGGY	3138	1.3378678560256958	0.19800112	Yes	
row_34	UGT2B17	3151	1.3350461721420288	0.20577678	Yes	
row_35	INSL5	3208	1.323834776878357	0.21120568	Yes	
row_36	KLHDC8A	3230	1.3183822631835938	0.21841092	Yes	
row_37	SSTR4	3412	1.2786489725112915	0.21708901	Yes	
row_38	SLC30A3	3492	1.2601377964019775	0.22092743	Yes	
row_39	CACNA1F	3591	1.2375515699386597	0.22364089	Yes	
row_40	ASB7	3622	1.2310746908187866	0.22983144	Yes	
row_41	DLK2	3625	1.2298403978347778	0.23746277	Yes	
row_42	CAPN9	3639	1.2256280183792114	0.24449854	Yes	
row_43	HSD11B2	3694	1.2119834423065186	0.24932744	Yes	
row_44	MYH7	3760	1.198569655418396	0.2535029	Yes	
row_45	GRID2	3964	1.1597036123275757	0.25029477	Yes	
row_46	KCNN1	4048	1.1447181701660156	0.25320038	Yes	
row_47	PDE6B	4097	1.133582353591919	0.2578466	Yes	
row_48	SOX10	4109	1.131219506263733	0.26439205	Yes	
row_49	TFF2	4229	1.108762264251709	0.2652091	Yes	
row_50	PNMT	4263	1.1025569438934326	0.2704362	Yes	
row_51	BRDT	4287	1.0960094928741455	0.27613944	Yes	
row_52	CPB1	4442	1.067868947982788	0.27488866	Yes	
row_53	CLPS	4600	1.0416673421859741	0.27331787	Yes	
row_54	PKP1	4660	1.0335338115692139	0.2767658	Yes	
row_55	MTHFR	4865	0.9924437999725342	0.272454	Yes	
row_56	PTPRJ	5009	0.9688175916671753	0.27114934	Yes	
row_57	ADRA2C	5060	0.9595614075660706	0.27459762	Yes	
row_58	MEFV	5075	0.9579106569290161	0.2798979	Yes	
row_59	NOS1	5145	0.9447206258773804	0.28226992	Yes	
row_60	CYP11B2	5288	0.92049241065979	0.28071305	Yes	
row_61	NGB	5314	0.9148551821708679	0.28517348	Yes	
row_62	DTNB	5393	0.9011704921722412	0.286806	Yes	
row_63	SLC25A23	5485	0.8827937245368958	0.2876504	Yes	
row_64	GAMT	5525	0.8772537112236023	0.2911501	Yes	
row_65	SCGB1A1	5534	0.875713586807251	0.29624385	Yes	
row_66	SERPINB2	5593	0.8649342656135559	0.2986831	Yes	
row_67	NPY4R	5615	0.8612803220748901	0.30301353	Yes	
row_68	ATP4A	5691	0.8516484498977661	0.3044898	Yes	
row_69	PTGFR	5887	0.8224607110023499	0.29957452	Yes	
row_70	ATP6V1B1	5896	0.8207693099975586	0.3043227	Yes	
row_71	EFHD1	5937	0.8154457211494446	0.30738193	Yes	
row_72	GPR3	6109	0.7909091711044312	0.3035098	Yes	
row_73	CLDN8	6125	0.7883619666099548	0.30769202	Yes	
row_74	KRT15	6201	0.7758690118789673	0.3086917	Yes	
row_75	CACNG1	6216	0.7736897468566895	0.31283337	Yes	
row_76	VPREB1	6592	0.713219404220581	0.2979191	No	
row_77	BARD1	6706	0.6959096193313599	0.29645002	No	
row_78	HTR1B	6961	0.654636800289154	0.287427	No	
row_79	UPK3B	6978	0.652897298336029	0.29070553	No	
row_80	EDAR	7242	0.6141471862792969	0.28096226	No	
row_81	SLC38A3	7450	0.5785474181175232	0.27389216	No	
row_82	TLX1	7644	0.546369194984436	0.26734394	No	
row_83	IL12B	7654	0.5454916954040527	0.2703091	No	
row_84	AMBN	7741	0.5311333537101746	0.26920047	No	
row_85	IGFBP2	7777	0.5267670154571533	0.2707028	No	
row_86	EPHA5	7789	0.5247235298156738	0.27343386	No	
row_87	YPEL1	7812	0.5213961601257324	0.27557492	No	
row_88	BMPR1B	7827	0.5192610025405884	0.27811643	No	
row_89	CLSTN3	7831	0.5189807415008545	0.28122523	No	
row_90	KCNMB1	7866	0.514373242855072	0.28270134	No	
row_91	FSHB	7869	0.514072597026825	0.28583103	No	
row_92	TGM1	7979	0.4964767396450043	0.2833146	No	
row_93	ITIH3	8036	0.4877704977989197	0.28348526	No	
row_94	CAMK1D	8051	0.4845314919948578	0.28580835	No	
row_95	TEX15	8054	0.48435139656066895	0.2887511	No	
row_96	SLC16A7	8095	0.47858861088752747	0.28969175	No	
row_97	CALCB	8332	0.44006067514419556	0.2802504	No	
row_98	NR6A1	8528	0.409506231546402	0.27273795	No	
row_99	CCR8	8536	0.4077438414096832	0.27494022	No	
row_100	KRT5	8602	0.39833056926727295	0.27408278	No	
row_101	CNTFR	8605	0.3975478708744049	0.2764796	No	
row_102	CPEB3	8653	0.39133331179618835	0.27650934	No	
row_103	CD80	8835	0.364583820104599	0.26943862	No	
row_104	KRT13	8885	0.35719746351242065	0.2691502	No	
row_105	SPHK2	8956	0.34462034702301025	0.2676963	No	
row_106	EDN1	8985	0.33883801102638245	0.26837882	No	
row_107	ENTPD7	9138	0.3133210241794586	0.26248595	No	
row_108	TCL1A	9212	0.30300140380859375	0.2606151	No	
row_109	COPZ2	9336	0.282312273979187	0.25602746	No	
row_110	ALOX12B	9391	0.2752379775047302	0.25496492	No	
row_111	MYOT	9494	0.2569968104362488	0.25130448	No	
row_112	CHRNG	9571	0.24477410316467285	0.24891222	No	
row_113	AKR1B10	9602	0.24135875701904297	0.24887818	No	
row_114	SKIL	9647	0.23515428602695465	0.24808088	No	
row_115	SNN	9772	0.2154059261083603	0.24302073	No	
row_116	LGALS7	9783	0.2145787924528122	0.24385294	No	
row_117	ABCG4	9959	0.18886709213256836	0.23598748	No	
row_118	SGK1	9994	0.18279297649860382	0.23537819	No	
row_119	KLK7	10095	0.1685512363910675	0.23126495	No	
row_120	FGF16	10104	0.1664411574602127	0.23189788	No	
row_121	KCNQ2	10107	0.16634374856948853	0.2328406	No	
row_122	SPTBN2	10176	0.15471577644348145	0.23029579	No	
row_123	ARHGDIG	10200	0.15172459185123444	0.23006018	No	
row_124	RSAD2	10244	0.14411965012550354	0.22874206	No	
row_125	SNCB	10261	0.1418115347623825	0.22880621	No	
row_126	GTF3C5	10269	0.14060735702514648	0.22932841	No	
row_127	ITGB1BP2	10358	0.1270994246006012	0.22557525	No	
row_128	PDK2	10400	0.1204717829823494	0.22421189	No	
row_129	KCND1	10431	0.1146792471408844	0.22338113	No	
row_130	P2RY4	10445	0.111864373087883	0.22341216	No	
row_131	SMPX	10579	0.09251412004232407	0.2171135	No	
row_132	NR4A2	10892	0.04030752182006836	0.2012263	No	
row_133	MAST3	10903	0.03772968426346779	0.20094626	No	
row_134	GPRC5C	10946	0.02974638342857361	0.19896054	No	
row_135	CKM	11055	0.013851702213287354	0.1934605	No	
row_136	IRS4	11306	-0.027232443913817406	0.1806985	No	
row_137	RYR2	11388	-0.03868437930941582	0.17675142	No	
row_138	CYP39A1	11410	-0.04159975424408913	0.17592666	No	
row_139	TSHB	11591	-0.06730946153402328	0.16703804	No	
row_140	MX1	11598	-0.06800509244203568	0.16715534	No	
row_141	CPA2	11619	-0.07176486402750015	0.16657202	No	
