NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	1	4.971157073974609	0.027070701	No	
row_1	PLK1	186	2.6799728870391846	0.032173645	No	
row_2	SEC11A	288	2.534747838973999	0.040778086	No	
row_3	TES	410	2.400538682937622	0.04761563	No	
row_4	SQSTM1	859	2.0504565238952637	0.03562643	No	
row_5	CDC25A	1161	1.9000027179718018	0.030421117	No	
row_6	TXNRD1	1255	1.8649816513061523	0.03578521	No	
row_7	SCD	1439	1.801147699356079	0.036145046	No	
row_8	GLA	1678	1.7260822057724	0.033250015	No	
row_9	PSPH	1718	1.7112658023834229	0.040569026	No	
row_10	ALDOA	1754	1.6978753805160522	0.04802191	No	
row_11	SERPINH1	1925	1.6486866474151611	0.048222456	No	
row_12	BCAT1	2294	1.5357954502105713	0.03756393	No	
row_13	TRIB3	2440	1.4950834512710571	0.038219754	No	
row_14	COPS5	2448	1.4928045272827148	0.046002302	No	
row_15	DDIT4	2562	1.4674665927886963	0.048162907	No	
row_16	NFKBIB	2735	1.4285625219345093	0.047059	No	
row_17	PSMA4	2744	1.4266250133514404	0.054428745	No	
row_18	MCM4	2786	1.4152921438217163	0.060029466	No	
row_19	TBK1	3010	1.3692986965179443	0.055963833	No	
row_20	LTA4H	3145	1.3364670276641846	0.056323316	No	
row_21	CD9	3189	1.3276419639587402	0.061342355	No	
row_22	EBP	3341	1.2934095859527588	0.060587455	No	
row_23	CCNF	3345	1.2932020425796509	0.06748792	No	
row_24	CYB5B	3465	1.2657747268676758	0.0682377	No	
row_25	FDXR	3473	1.2643828392028809	0.07477399	No	
row_26	SLA	3488	1.2616724967956543	0.08093336	No	
row_27	NUP205	3577	1.2412950992584229	0.08315331	No	
row_28	SLC2A1	3619	1.2314109802246094	0.08775078	No	
row_29	CXCR4	3727	1.205881118774414	0.08879458	No	
row_30	RPA1	3802	1.189984679222107	0.09145884	No	
row_31	MTHFD2L	3923	1.1667520999908447	0.09161663	No	
row_32	HPRT1	3984	1.1556732654571533	0.09481795	No	
row_33	GAPDH	4325	1.0882911682128906	0.08316639	No	
row_34	PHGDH	4335	1.086464762687683	0.0886285	No	
row_35	TMEM97	4662	1.0331007242202759	0.07740008	No	
row_36	HSPD1	4763	1.0133546590805054	0.07775559	No	
row_37	DDX39A	4766	1.0130391120910645	0.08317923	No	
row_38	ITGB2	5029	0.9646332859992981	0.07488817	No	
row_39	GPI	5089	0.9556872844696045	0.07705011	No	
row_40	SLC9A3R1	5146	0.9446437954902649	0.079307	No	
row_41	SYTL2	5254	0.9268786907196045	0.07882857	No	
row_42	RRM2	5337	0.9115575551986694	0.079559885	No	
row_43	ARPC5L	5366	0.9077731370925903	0.08306413	No	
row_44	CFP	5553	0.8722864985466003	0.078200944	No	
row_45	SLC1A5	5616	0.861127495765686	0.07969177	No	
row_46	M6PR	5819	0.8321031332015991	0.07378162	No	
row_47	ENO1	5929	0.8159741759300232	0.072594635	No	
row_48	PDK1	5964	0.8120884895324707	0.075266436	No	
row_49	PIK3R3	6145	0.7846519947052002	0.07023551	No	
row_50	SLC1A4	6264	0.7641408443450928	0.068300135	No	
row_51	DHCR7	6283	0.7599847316741943	0.07151538	No	
row_52	SDF2L1	6316	0.7548393607139587	0.0739783	No	
row_53	STC1	6471	0.7319288849830627	0.07000478	No	
row_54	RDH11	6532	0.7233489155769348	0.07084736	No	
row_55	QDPR	6655	0.7017829418182373	0.06836483	No	
row_56	SORD	7063	0.6394058465957642	0.050798047	No	
row_57	NUPR1	7084	0.6374711394309998	0.053241402	No	
row_58	PPP1R15A	7201	0.6204161643981934	0.050625335	No	
row_59	PSME3	7240	0.6148938536643982	0.052014314	No	
row_60	AK4	7275	0.6070888042449951	0.05356764	No	
row_61	CCT6A	7313	0.6010757088661194	0.054932963	No	
row_62	LDHA	7352	0.5937002897262573	0.056206312	No	
row_63	ABCF2	7499	0.5673405528068542	0.051748674	No	
row_64	PSMC4	7662	0.5441817045211792	0.046336953	No	
row_65	ME1	7706	0.5376101732254028	0.04704561	No	
row_66	MCM2	7924	0.5043241381645203	0.038571108	No	
row_67	RIT1	8055	0.4838899075984955	0.034485895	No	
row_68	TOMM40	8180	0.46397000551223755	0.030602397	No	
row_69	POLR3G	8195	0.4616840183734894	0.032397065	No	
row_70	SRD5A1	8203	0.46039140224456787	0.03454681	No	
row_71	CTH	8224	0.4573051631450653	0.03600719	No	
row_72	TFRC	8329	0.44014179706573486	0.033028346	No	
row_73	CORO1A	8346	0.4367651641368866	0.03458359	No	
row_74	SLC6A6	8401	0.428926557302475	0.034130212	No	
row_75	GCLC	8792	0.3705100417137146	0.015975805	No	
row_76	ACTR2	8929	0.3493986427783966	0.010846415	No	
row_77	STARD4	8977	0.3406301438808441	0.010273426	No	
row_78	LDLR	9254	0.29494553804397583	-0.0023956876	No	
row_79	PFKL	9276	0.2919834554195404	-0.0018890318	No	
row_80	YKT6	9310	0.28601253032684326	-0.0020357498	No	
row_81	PPA1	9448	0.2659573554992676	-0.007672126	No	
row_82	PSAT1	9774	0.215115487575531	-0.023311708	No	
row_83	P4HA1	9780	0.21491146087646484	-0.022397825	No	
row_84	PDAP1	9978	0.18463604152202606	-0.03158187	No	
row_85	SLC2A3	10086	0.16954182088375092	-0.036192294	No	
row_86	RAB1A	10100	0.16715684533119202	-0.035952825	No	
row_87	DAPP1	10121	0.16358715295791626	-0.03609496	No	
row_88	UNG	10229	0.1480105221271515	-0.04082286	No	
row_89	TUBA4A	10272	0.14034166932106018	-0.042229947	No	
row_90	CDKN1A	10287	0.13836216926574707	-0.042199314	No	
row_91	ERO1A	10374	0.1252247542142868	-0.045965135	No	
row_92	FADS1	10667	0.07806498557329178	-0.060645267	No	
row_93	GBE1	10751	0.06450573354959488	-0.06458717	No	
row_94	AURKA	10882	0.04188172146677971	-0.07108396	No	
row_95	ASNS	10931	0.03258945420384407	-0.073389344	No	
row_96	STIP1	11113	0.004363112151622772	-0.08272922	No	
row_97	CCNG1	11232	-0.015617357566952705	-0.088748515	No	
row_98	HK2	11290	-0.024466443806886673	-0.09156381	No	
row_99	UCHL5	11421	-0.04375952482223511	-0.09805036	No	
row_100	MTHFD2	11452	-0.048121459782123566	-0.099339806	No	
row_101	RRP9	11615	-0.07102984189987183	-0.10733302	No	
row_102	PSMD14	12070	-0.14704930782318115	-0.13001753	No	
row_103	GTF2H1	12132	-0.15693581104278564	-0.13231702	No	
