NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF4	100	2.891934871673584	0.052407544	Yes	
row_1	PLK1	186	2.6799728870391846	0.101367936	Yes	
row_2	WDR43	390	2.4245316982269287	0.13918428	Yes	
row_3	IPO4	1148	1.9055818319320679	0.13821752	Yes	
row_4	PLK4	1981	1.6321090459823608	0.1279567	Yes	
row_5	RABEPK	1993	1.6286283731460571	0.15979837	Yes	
row_6	SLC29A2	2348	1.5181020498275757	0.17182213	Yes	
row_7	PUS1	2354	1.5176836252212524	0.2017644	Yes	
row_8	PRMT3	2378	1.5120011568069458	0.23066902	Yes	
row_9	MCM4	2786	1.4152921438217163	0.23792462	Yes	
row_10	CDK4	3054	1.3583548069000244	0.25123858	Yes	
row_11	MYC	3425	1.2749598026275635	0.2576024	Yes	
row_12	SLC19A1	3563	1.2447422742843628	0.2753333	Yes	
row_13	NOP2	4181	1.117653489112854	0.26587948	Yes	
row_14	UTP20	4274	1.1007846593856812	0.28305736	Yes	
row_15	GRWD1	4349	1.0843051671981812	0.30083194	Yes	
row_16	RRP12	4656	1.0338143110275269	0.30568483	Yes	
row_17	TMEM97	4662	1.0331007242202759	0.3259848	Yes	
row_18	HSPD1	4763	1.0133546590805054	0.34101206	Yes	
row_19	MRTO4	4828	1.000604271888733	0.3576348	Yes	
row_20	SRM	6119	0.7890527844429016	0.3070729	No	
row_21	MAP3K6	6562	0.7183432579040527	0.2986627	No	
row_22	FARSA	6965	0.6544192433357239	0.29103518	No	
row_23	SORD	7063	0.6394058465957642	0.29877564	No	
row_24	NOLC1	7211	0.618733823299408	0.30353644	No	
row_25	NOC4L	7485	0.5703839659690857	0.30086303	No	
row_26	AIMP2	7489	0.5696591138839722	0.31204408	No	
row_27	MYBBP1A	7567	0.5571765303611755	0.31917566	No	
row_28	IMP4	8145	0.4709677994251251	0.29890868	No	
row_29	CBX3	8342	0.43793201446533203	0.2975549	No	
row_30	WDR74	8720	0.3822184205055237	0.28579524	No	
row_31	TBRG4	8943	0.347175270318985	0.28130007	No	
row_32	NOP16	9314	0.2855417728424072	0.26797628	No	
row_33	TFB2M	9558	0.24662087857723236	0.26040155	No	
row_34	TCOF1	9891	0.19889746606349945	0.24730563	No	
row_35	NIP7	9928	0.1937221884727478	0.24931115	No	
row_36	UNG	10229	0.1480105221271515	0.23684639	No	
row_37	MPHOSPH10	10644	0.08086680620908737	0.21718982	No	
row_38	DCTPP1	10769	0.06164126098155975	0.21204694	No	
row_39	HK2	11290	-0.024466443806886673	0.18582328	No	
row_40	MCM5	11489	-0.05327133461833	0.17671275	No	
row_41	RRP9	11615	-0.07102984189987183	0.17170532	No	
row_42	PPRC1	12397	-0.20309121906757355	0.13562934	No	
row_43	PES1	12480	-0.21860650181770325	0.13576718	No	
row_44	EXOSC5	13636	-0.41749170422554016	0.08474636	No	
row_45	PA2G4	13680	-0.42461222410202026	0.09098661	No	
row_46	GNL3	14579	-0.5910056829452515	0.05661956	No	
row_47	RCL1	14709	-0.6179928183555603	0.062290218	No	
row_48	PHB	15153	-0.7063099145889282	0.053589195	No	
row_49	DUSP2	15624	-0.80336594581604	0.045432515	No	
row_50	SUPV3L1	15702	-0.8195227384567261	0.057784304	No	
row_51	BYSL	15782	-0.8407886028289795	0.070456505	No	
row_52	LAS1L	16424	-0.9745180010795593	0.056921795	No	
row_53	DDX18	16588	-1.0157816410064697	0.06876127	No	
row_54	NOP56	17014	-1.116228461265564	0.06914146	No	
row_55	HSPE1	17598	-1.2922732830047607	0.06490874	No	
row_56	NPM1	18615	-1.7072739601135254	0.046692144	No	
