NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DTX2	384	2.4276299476623535	0.06473166	Yes	
row_1	FZD5	525	2.2869057655334473	0.13708635	Yes	
row_2	DTX4	709	2.144899606704712	0.20229627	Yes	
row_3	TCF7L2	1198	1.8847087621688843	0.24281031	Yes	
row_4	CUL1	2092	1.6023139953613281	0.2527262	Yes	
row_5	LFNG	2093	1.601901650428772	0.30843905	Yes	
row_6	HES1	2260	1.5453492403030396	0.3536692	Yes	
row_7	PSEN2	3100	1.3459255695343018	0.35743833	Yes	
row_8	DLL1	4363	1.0805103778839111	0.33027643	No	
row_9	HEYL	5309	0.9156177043914795	0.31364194	No	
row_10	CCND1	5738	0.8436697125434875	0.3210275	No	
row_11	WNT5A	5957	0.8132272958755493	0.33812737	No	
row_12	NOTCH1	7189	0.6215843558311462	0.2965947	No	
row_13	FBXW11	8890	0.3563605844974518	0.22177787	No	
row_14	JAG1	9012	0.33403193950653076	0.22718787	No	
row_15	NOTCH2	10368	0.1263895332813263	0.16207147	No	
row_16	PRKCA	10518	0.10125535726547241	0.15794928	No	
row_17	ARRB1	10941	0.03014272078871727	0.13734882	No	
row_18	PPARD	10986	0.024435987696051598	0.13594146	No	
row_19	WNT2	11114	0.004325208719819784	0.12957673	No	
row_20	KAT2A	13067	-0.31725257635116577	0.040472012	No	
row_21	DTX1	13363	-0.37366098165512085	0.038334005	No	
row_22	APH1A	13371	-0.37415993213653564	0.050987888	No	
row_23	PSENEN	13519	-0.3965412378311157	0.057238106	No	
row_24	ST3GAL6	13857	-0.4530242383480072	0.05570567	No	
row_25	SAP30	14103	-0.49638161063194275	0.060400814	No	
row_26	FZD7	15254	-0.7257667779922485	0.026646867	No	
row_27	RBX1	15255	-0.7259175777435303	0.051893704	No	
row_28	FZD1	16710	-1.0442345142364502	0.013620466	No	
row_29	SKP1	17221	-1.1761215925216675	0.0283618	No	
row_30	NOTCH3	17343	-1.2107832431793213	0.06426452	No	
row_31	MAML2	17835	-1.367788314819336	0.08664658	No	
