NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	79	2.976550817489624	0.013183561	No	
row_1	HADHB	197	2.6606714725494385	0.022569967	No	
row_2	IDH2	974	1.9830960035324097	-0.0060453964	No	
row_3	ECH1	1087	1.9326608180999756	-6.239117E-4	No	
row_4	ECHS1	1723	1.7099947929382324	-0.023533788	No	
row_5	CASP7	1776	1.6938197612762451	-0.016395839	No	
row_6	ALDH6A1	2483	1.484935998916626	-0.044282123	No	
row_7	COX10	3009	1.3696037530899048	-0.06347961	No	
row_8	NDUFC1	3012	1.368943452835083	-0.05564133	No	
row_9	MRPS12	3083	1.3510972261428833	-0.051422242	No	
row_10	PDHB	3275	1.309633731842041	-0.053699516	No	
row_11	ACADSB	4268	1.102130651473999	-0.098593056	No	
row_12	PRDX3	4323	1.0884175300598145	-0.095070645	No	
row_13	GLUD1	4377	1.078332781791687	-0.09155504	No	
row_14	AIFM1	4437	1.0685368776321411	-0.088406466	No	
row_15	ETFA	4591	1.0434495210647583	-0.09026332	No	
row_16	ACO2	5012	0.9686259031295776	-0.10635841	No	
row_17	ATP6V1H	5025	0.9652857184410095	-0.10137889	No	
row_18	ATP6V1F	5052	0.9609411358833313	-0.09714838	No	
row_19	GPI	5089	0.9556872844696045	-0.093465365	No	
row_20	COX5A	5683	0.8524172306060791	-0.119178884	No	
row_21	BDH2	5775	0.8380526304244995	-0.119021855	No	
row_22	SLC25A11	6333	0.7524097561836243	-0.14345431	No	
row_23	LRPPRC	6449	0.7350740432739258	-0.14513552	No	
row_24	DLD	6708	0.6957516670227051	-0.1544381	No	
row_25	MTX2	6758	0.6887201070785522	-0.15297595	No	
row_26	MTRR	6780	0.6853473782539368	-0.15008575	No	
row_27	ALAS1	6933	0.6583144664764404	-0.1541252	No	
row_28	TOMM22	6956	0.655255138874054	-0.15146127	No	
row_29	ATP6AP1	6976	0.6536654829978943	-0.14865147	No	
row_30	MRPS22	6991	0.6516179442405701	-0.14559503	No	
row_31	OAT	7108	0.6339445114135742	-0.14791463	No	
row_32	COX4I1	7133	0.6287633180618286	-0.1455078	No	
row_33	LDHA	7352	0.5937002897262573	-0.15333435	No	
row_34	NDUFA7	7394	0.5876705050468445	-0.15204483	No	
row_35	NDUFA4	7828	0.519221305847168	-0.17141917	No	
row_36	MAOB	8285	0.44689658284187317	-0.19240221	No	
row_37	ISCA1	8306	0.44397857785224915	-0.19086057	No	
row_38	MRPL15	8579	0.4023461937904358	-0.2025891	No	
row_39	MRPS11	8617	0.39596661925315857	-0.2022049	No	
row_40	SLC25A4	8788	0.37094488739967346	-0.20884208	No	
