NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUDT19	85	2.9519622325897217	0.024057519	No	
row_1	SULT2B1	360	2.452413320541382	0.033571493	No	
row_2	IDE	447	2.3559906482696533	0.051836934	No	
row_3	PEX6	522	2.288963556289673	0.07007464	No	
row_4	PEX13	643	2.1962924003601074	0.08505114	No	
row_5	ISOC1	699	2.1512317657470703	0.10294049	No	
row_6	HAO2	728	2.130571126937866	0.12202108	No	
row_7	IDH2	974	1.9830960035324097	0.12850767	No	
row_8	PABPC1	975	1.9828318357467651	0.14760692	No	
row_9	ECH1	1087	1.9326608180999756	0.16050746	No	
row_10	CNBP	1339	1.8329850435256958	0.1652392	No	
row_11	SIAH1	1419	1.807807445526123	0.1785848	No	
row_12	CLN8	1767	1.696230173110962	0.17705616	No	
row_13	EHHADH	2842	1.4068242311477661	0.13530618	No	
row_14	UGT2B17	3151	1.3350461721420288	0.13230664	No	
row_15	RXRG	3162	1.3336929082870483	0.14463827	No	
row_16	ABCD1	3181	1.3286857604980469	0.15650976	No	
row_17	PEX11A	3185	1.3280373811721802	0.16914736	No	
row_18	ESR2	3202	1.324747920036316	0.1810839	No	
row_19	ABCD2	3248	1.3155635595321655	0.19143873	No	
row_20	HSD11B2	3694	1.2119834423065186	0.18019961	No	
row_21	ABCD3	4114	1.1308283805847168	0.16951752	No	
row_22	TSPO	4140	1.1250330209732056	0.17906691	No	
row_23	ITGB1BP1	4594	1.0433684587478638	0.1657917	No	
row_24	HSD17B11	5378	0.9053282737731934	0.13419493	No	
row_25	CTPS1	5452	0.8891478776931763	0.13900065	No	
row_26	SCGB1A1	5534	0.875713586807251	0.14326507	No	
row_27	CRAT	5895	0.8208545446395874	0.13263516	No	
row_28	SLC25A19	6121	0.7887212038040161	0.12864697	No	
row_29	ABCB9	6296	0.7576941251754761	0.12698594	No	
row_30	TOP2A	6360	0.7480642795562744	0.13094762	No	
row_31	RDH11	6532	0.7233489155769348	0.12911025	No	
row_32	HRAS	6621	0.7076610922813416	0.13139547	No	
row_33	ACOX1	6630	0.7054762244224548	0.13777892	No	
row_34	SMARCC1	7729	0.5332142114639282	0.08637827	No	
row_35	ABCC5	7734	0.5328032970428467	0.09130444	No	
