NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNRD1	1255	1.8649816513061523	-0.018442934	No	
row_1	MBP	1692	1.722962498664856	0.0016595101	No	
row_2	SBNO2	1959	1.6371800899505615	0.028374432	No	
row_3	HMOX2	2500	1.4815187454223633	0.03718374	No	
row_4	PFKP	3180	1.3288624286651611	0.03509242	No	
row_5	PRDX2	3547	1.248329997062683	0.047084663	No	
row_6	MPO	3764	1.1979997158050537	0.0655368	No	
row_7	SRXN1	6459	0.7333894968032837	-0.054688375	No	
row_8	FES	6493	0.729352593421936	-0.03839743	No	
row_9	LSP1	6737	0.6919912695884705	-0.033809174	No	
row_10	PRDX4	7143	0.6272640228271484	-0.03913411	No	
row_11	GPX3	7215	0.6182581186294556	-0.02753357	No	
row_12	STK25	7233	0.6159554719924927	-0.013217455	No	
row_13	HHEX	8216	0.4580622613430023	-0.052337915	No	
row_14	MSRA	8578	0.40238505601882935	-0.0609492	No	
row_15	CAT	8599	0.3986204266548157	-0.052146383	No	
row_16	PDLIM1	8631	0.3938727080821991	-0.044025384	No	
row_17	GCLC	8792	0.3705100417137146	-0.043103345	No	
row_18	GPX4	8869	0.36002326011657715	-0.038127337	No	
row_19	NDUFS2	10226	0.1482609361410141	-0.10408836	No	
row_20	LAMTOR5	10852	0.04603726416826248	-0.13504061	No	
row_21	ABCC1	11783	-0.09818870574235916	-0.18036553	No	
row_22	IPCEF1	11943	-0.12470617890357971	-0.18545346	No	
row_23	TXN	12031	-0.14170846343040466	-0.18642563	No	
row_24	G6PD	13309	-0.3615601062774658	-0.24307103	No	
row_25	GLRX2	13415	-0.37961888313293457	-0.23910068	No	
row_26	SCAF4	13616	-0.4128800630569458	-0.23918743	No	
row_27	ERCC2	13732	-0.4324643313884735	-0.23442736	No	
row_28	SOD2	13979	-0.47571125626564026	-0.23532638	No	
row_29	GCLM	14552	-0.5840955972671509	-0.2502896	Yes	
row_30	NQO1	14834	-0.6412447094917297	-0.24890362	Yes	
row_31	TXNRD2	14871	-0.6487821936607361	-0.23475349	Yes	
row_32	GSR	14889	-0.6529651284217834	-0.21952474	Yes	
row_33	MGST1	15014	-0.67856365442276	-0.20915814	Yes	
row_34	NDUFB4	15338	-0.746627926826477	-0.2073298	Yes	
row_35	EGLN2	15395	-0.7550662755966187	-0.1915856	Yes	
row_36	NDUFA6	15538	-0.7844932675361633	-0.179531	Yes	
row_37	CDKN2D	16216	-0.926689088344574	-0.19143686	Yes	
row_38	PRDX1	16231	-0.9290035367012024	-0.16924724	Yes	
row_39	OXSR1	16731	-1.0489600896835327	-0.1689995	Yes	
row_40	PRDX6	16915	-1.0980523824691772	-0.15131775	Yes	
row_41	GLRX	17699	-1.3241466283798218	-0.1588647	Yes	
row_42	ATOX1	18290	-1.555381178855896	-0.15080102	Yes	
row_43	PRNP	18636	-1.719095230102539	-0.126122	Yes	
row_44	SOD1	18731	-1.773688793182373	-0.087210424	Yes	
row_45	FTL	18864	-1.850353717803955	-0.04835928	Yes	
row_46	JUNB	19513	-3.333148956298828	5.648107E-4	Yes	
