NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	1	4.971157073974609	0.037004046	Yes	
row_1	ELOVL3	75	2.9903435707092285	0.055529997	Yes	
row_2	YBX2	327	2.4828102588653564	0.061093688	Yes	
row_3	THEG	412	2.3998615741729736	0.07465087	Yes	
row_4	IDE	447	2.3559906482696533	0.090459414	Yes	
row_5	TNNI3	586	2.2351458072662354	0.10000412	Yes	
row_6	CCNA1	601	2.2255754470825195	0.11587189	Yes	
row_7	OAZ3	726	2.1332955360412598	0.12537935	Yes	
row_8	HTR5A	988	1.9755817651748657	0.12664641	Yes	
row_9	AKAP4	1007	1.967515230178833	0.1403843	Yes	
row_10	TALDO1	1112	1.9232745170593262	0.14935759	Yes	
row_11	CHRM4	1244	1.868277668952942	0.15652859	Yes	
row_12	STAM2	1247	1.8673279285430908	0.17034476	Yes	
row_13	SYCP1	1276	1.856359601020813	0.1827384	Yes	
row_14	CDKN3	1316	1.8439081907272339	0.19447197	Yes	
row_15	CHFR	2181	1.572637677192688	0.16164015	Yes	
row_16	ART3	2373	1.5133520364761353	0.16307144	Yes	
row_17	TNP1	2479	1.4859777688980103	0.16873349	Yes	
row_18	KIF2C	2519	1.4782859086990356	0.17774168	Yes	
row_19	MLF1	2528	1.475269079208374	0.18832597	Yes	
row_20	GAPDHS	2547	1.4713000059127808	0.198365	Yes	
row_21	DCC	2712	1.4357496500015259	0.20061016	Yes	
row_22	PAPOLB	2761	1.422037124633789	0.20873496	Yes	
row_23	POMC	2800	1.4135043621063232	0.21731183	Yes	
row_24	TEKT2	2913	1.3893053531646729	0.2218923	Yes	
row_25	HOXB1	3023	1.3665097951889038	0.22645755	Yes	
row_26	TNP2	3175	1.3304986953735352	0.22858854	Yes	
row_27	RPL39L	3452	1.2694144248962402	0.22381824	Yes	
row_28	TULP2	3472	1.2644083499908447	0.2322635	Yes	
row_29	NF2	3660	1.220387578010559	0.23171727	Yes	
row_30	HSPA2	3922	1.167304277420044	0.22695935	Yes	
row_31	ACRBP	4117	1.130204200744629	0.2253799	Yes	
row_32	TSN	4209	1.1125595569610596	0.22898039	Yes	
row_33	IL12RB2	4238	1.107154130935669	0.23578937	Yes	
row_34	DNAJB8	4381	1.0780773162841797	0.23650289	Yes	
row_35	GPR182	4403	1.0746709108352661	0.24343069	Yes	
row_36	NAA11	4518	1.0554611682891846	0.24541952	Yes	
row_37	MLLT10	4590	1.043575406074524	0.24953716	Yes	
row_38	GAD1	4614	1.0400059223175049	0.25610343	Yes	
row_39	NEFH	4638	1.0368530750274658	0.2626462	Yes	
row_40	NCAPH	4652	1.034312129020691	0.26968572	Yes	
row_41	DMC1	4840	0.9973850250244141	0.26747718	Yes	
row_42	ZPBP	4876	0.9901296496391296	0.27305287	Yes	
row_43	ADAM2	5048	0.9613078236579895	0.2714005	Yes	
row_44	MTOR	5070	0.958589494228363	0.27746302	Yes	
row_45	DDX4	5142	0.9450180530548096	0.280846	Yes	
row_46	NOS1	5145	0.9447206258773804	0.28778493	Yes	
row_47	HBZ	5424	0.896420955657959	0.28013116	Yes	
row_48	PHF7	5469	0.8868269920349121	0.2844727	Yes	
row_49	ADCYAP1	5472	0.8862696886062622	0.29097593	Yes	
row_50	TTK	5682	0.8525633811950684	0.28655338	Yes	
