NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	835	2.062361478805542	0.0038440009	No	
row_1	SMURF2	1529	1.77303946018219	0.008425539	No	
row_2	PPP1CA	1978	1.6325347423553467	0.022406386	No	
row_3	FURIN	3704	1.2108838558197021	-0.03875111	No	
row_4	SLC20A1	3877	1.1758440732955933	-0.02094288	No	
row_5	SKI	4201	1.113806962966919	-0.01229539	No	
row_6	SMAD3	4569	1.047979712486267	-0.007399162	No	
row_7	BCAR3	4659	1.0335683822631836	0.011448181	No	
row_8	CTNNB1	5216	0.9322368502616882	0.0040152026	No	
row_9	KLF10	5274	0.9233372211456299	0.022008436	No	
row_10	ID1	6395	0.7431796193122864	-0.018674292	No	
row_11	RAB31	7155	0.6262487173080444	-0.04346601	No	
row_12	PPP1R15A	7201	0.6204161643981934	-0.031719957	No	
row_13	BMPR1A	7315	0.6006616353988647	-0.023913871	No	
row_14	LEFTY2	7436	0.5806470513343811	-0.016920777	No	
row_15	ID2	8067	0.482917845249176	-0.038334798	No	
row_16	SMAD7	8271	0.4490005671977997	-0.038587254	No	
row_17	NCOR2	8553	0.40536126494407654	-0.043834437	No	
row_18	MAP3K7	8742	0.37915414571762085	-0.044899072	No	
row_19	LTBP2	8899	0.3551197350025177	-0.044864804	No	
row_20	BMPR2	9170	0.3093998432159424	-0.051721305	No	
row_21	FNTA	9278	0.29182636737823486	-0.050604552	No	
row_22	SMAD1	9328	0.2828283905982971	-0.046712887	No	
row_23	WWTR1	9331	0.2825244069099426	-0.04041426	No	
row_24	SERPINE1	9435	0.2681344449520111	-0.03962888	No	
row_25	SKIL	9647	0.23515428602695465	-0.04513746	No	
row_26	TGIF1	9832	0.20765851438045502	-0.049882356	No	
row_27	CDKN1C	11057	0.013556085526943207	-0.112437926	No	
row_28	TGFBR1	11247	-0.017497606575489044	-0.12174822	No	
row_29	TGFB1	11462	-0.04963561147451401	-0.1316143	No	
row_30	PMEPA1	11993	-0.13388386368751526	-0.15580076	No	
row_31	ARID4B	12644	-0.24672262370586395	-0.18359359	No	
row_32	HDAC1	12716	-0.25855788588523865	-0.18138172	No	
row_33	IFNGR2	12871	-0.2858765423297882	-0.18281361	No	
row_34	BMP2	12923	-0.29403841495513916	-0.17877068	No	
row_35	ID3	13464	-0.3871297538280487	-0.19773278	No	
row_36	FKBP1A	14559	-0.5861288905143738	-0.24063858	No	
row_37	SMAD6	15093	-0.6955738067626953	-0.25225255	Yes	
row_38	TJP1	15193	-0.7141180038452148	-0.24115679	Yes	
row_39	HIPK2	15370	-0.7511289119720459	-0.23317705	Yes	
row_40	SPTBN1	15431	-0.7606346011161804	-0.21902436	Yes	
row_41	ENG	15536	-0.7844399213790894	-0.20659205	Yes	
row_42	THBS1	15690	-0.8169366121292114	-0.19594002	Yes	
row_43	APC	16662	-1.0330471992492676	-0.22240262	Yes	
row_44	ACVR1	16733	-1.0496776103973389	-0.20221446	Yes	
row_45	UBE2D3	16742	-1.0518851280212402	-0.17879207	Yes	
row_46	XIAP	17251	-1.1840095520019531	-0.17805527	Yes	
row_47	RHOA	17302	-1.2002676725387573	-0.15342793	Yes	
row_48	SMURF1	17470	-1.2491408586502075	-0.13370217	Yes	
row_49	PPM1A	17884	-1.3847999572753906	-0.12353687	Yes	
row_50	CDH1	18586	-1.6946074962615967	-0.12114328	Yes	
row_51	TRIM33	19037	-1.9935314655303955	-0.099085815	Yes	
row_52	CDK9	19195	-2.1393704414367676	-0.058675952	Yes	
row_53	JUNB	19513	-3.333148956298828	5.647902E-4	Yes	
