NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	95	2.913419723510742	0.080147654	Yes	
row_1	HDAC2	364	2.439974784851074	0.137599	Yes	
row_2	CUL1	2092	1.6023139953613281	0.09571871	Yes	
row_3	ADAM17	2196	1.5667297840118408	0.13615467	Yes	
row_4	PSEN2	3100	1.3459255695343018	0.12908535	Yes	
row_5	AXIN1	3112	1.3431057929992676	0.16771723	Yes	
row_6	HEY1	3262	1.3121618032455444	0.19836298	Yes	
row_7	TP53	3316	1.2982583045959473	0.23353034	Yes	
row_8	SKP2	3328	1.2953814268112183	0.27076948	Yes	
row_9	MYC	3425	1.2749598026275635	0.30304986	Yes	
row_10	TCF7	3992	1.1540638208389282	0.30767846	Yes	
row_11	DLL1	4363	1.0805103778839111	0.3202206	Yes	
row_12	CTNNB1	5216	0.9322368502616882	0.30369607	No	
row_13	WNT1	5563	0.8709537982940674	0.31135446	No	
row_14	FZD8	6571	0.7167505621910095	0.28058565	No	
row_15	NOTCH1	7189	0.6215843558311462	0.267057	No	
row_16	FRAT1	7255	0.6113225221633911	0.28156126	No	
row_17	WNT6	8053	0.4843559265136719	0.254789	No	
row_18	NOTCH4	8069	0.48284703493118286	0.26811025	No	
row_19	NCOR2	8553	0.40536126494407654	0.25514925	No	
row_20	JAG1	9012	0.33403193950653076	0.24138978	No	
row_21	CCND2	10488	0.1058456152677536	0.1687717	No	
row_22	LEF1	10492	0.10550844669342041	0.17169683	No	
row_23	PPARD	10986	0.024435987696051598	0.14710584	No	
row_24	DVL2	11159	-0.002044395310804248	0.13833728	No	
row_25	DKK4	11168	-0.003927328623831272	0.13804129	No	
row_26	CSNK1E	12108	-0.15278512239456177	0.09430423	No	
row_27	NKD1	12447	-0.21270538866519928	0.08316325	No	
row_28	HDAC11	12612	-0.23982137441635132	0.08174448	No	
row_29	KAT2A	13067	-0.31725257635116577	0.06770064	No	
row_30	RBPJ	13666	-0.42209890484809875	0.049325526	No	
row_31	JAG2	13858	-0.45317113399505615	0.052747212	No	
row_32	PTCH1	14050	-0.4863883852958679	0.057138294	No	
row_33	HEY2	14451	-0.5635983943939209	0.05305533	No	
row_34	WNT5B	14587	-0.5933743119239807	0.06344294	No	
row_35	GNAI1	15386	-0.7543312907218933	0.044498157	No	
row_36	AXIN2	15523	-0.7821699976921082	0.060344145	No	
row_37	HDAC5	15693	-0.8174117803573608	0.07552483	No	
row_38	MAML1	16169	-0.9176124930381775	0.077923715	No	
row_39	NCSTN	16582	-1.0139446258544922	0.0863675	No	
row_40	FZD1	16710	-1.0442345142364502	0.110323384	No	
row_41	NUMB	17197	-1.1670609712600708	0.11943745	No	
