NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGES	166	2.713911294937134	0.0073196995	Yes	
row_1	FBP1	336	2.4775145053863525	0.013098436	Yes	
row_2	PEMT	426	2.382772445678711	0.02246109	Yes	
row_3	RAP1GAP	582	2.2370336055755615	0.027554523	Yes	
row_4	IL1R1	879	2.037400960922241	0.024182234	Yes	
row_5	AKR1C3	972	1.9842469692230225	0.031053543	Yes	
row_6	ECH1	1087	1.9326608180999756	0.036484156	Yes	
row_7	XDH	1172	1.8967962265014648	0.043256763	Yes	
row_8	SLC35D1	1187	1.89024817943573	0.05361286	Yes	
row_9	TTPA	1239	1.869649052619934	0.061933793	Yes	
row_10	CYP17A1	1302	1.8481799364089966	0.06955972	Yes	
row_11	DDC	1327	1.83871328830719	0.07909632	Yes	
row_12	ESR1	1525	1.773882269859314	0.07930167	Yes	
row_13	PGD	1578	1.7583411931991577	0.086918384	Yes	
row_14	HSD17B2	1592	1.7542264461517334	0.09652887	Yes	
row_15	FETUB	1632	1.739910364151001	0.10471018	Yes	
row_16	PMM1	1781	1.6917574405670166	0.10696944	Yes	
row_17	VTN	2080	1.6049085855484009	0.10095843	Yes	
row_18	BCAT1	2294	1.5357954502105713	0.09894028	Yes	
row_19	F11	2355	1.5175577402114868	0.10473161	Yes	
row_20	TKFC	2359	1.5172107219696045	0.11347015	Yes	
row_21	ARPP19	2392	1.5072603225708008	0.12064987	Yes	
row_22	TMEM176B	2427	1.4982846975326538	0.12767349	Yes	
row_23	EPHA2	2631	1.4545831680297852	0.12569669	Yes	
row_24	CROT	2740	1.4271588325500488	0.12847455	Yes	
row_25	AOX1	2745	1.426548719406128	0.13662988	Yes	
row_26	TYR	3169	1.3317536115646362	0.12255003	Yes	
row_27	ABCD2	3248	1.3155635595321655	0.12622595	Yes	
row_28	PC	3272	1.310506820678711	0.13271798	Yes	
row_29	APOE	3436	1.2726221084594727	0.13174419	Yes	
row_30	FABP1	3569	1.2443734407424927	0.13220878	Yes	
row_31	ABCC2	3575	1.2420132160186768	0.13923065	Yes	
row_32	CYP2C18	3684	1.2145122289657593	0.14076199	Yes	
row_33	CYP26A1	3871	1.1771303415298462	0.13803838	Yes	
row_34	UPP1	3962	1.159857153892517	0.14018066	Yes	
row_35	HPRT1	3984	1.1556732654571533	0.14586855	Yes	
row_36	EPHX1	4104	1.1324795484542847	0.14634988	Yes	
row_37	CRP	4196	1.1148923635482788	0.14817683	Yes	
row_38	CCL25	4245	1.1054819822311401	0.1521735	Yes	
row_39	AKR1C2	4307	1.0920567512512207	0.15541884	Yes	
row_40	HMOX1	4342	1.0858337879180908	0.16002472	Yes	
row_41	HGFAC	4361	1.0809853076934814	0.16543002	Yes	
row_42	PTGR1	4543	1.0517863035202026	0.16223037	Yes	
row_43	AQP9	4583	1.045114517211914	0.16633883	Yes	
row_44	GAD1	4614	1.0400059223175049	0.17088303	Yes	
row_45	PGRMC1	4642	1.0365325212478638	0.17556208	Yes	
row_46	TMEM97	4662	1.0331007242202759	0.18063496	Yes	
row_47	CFB	4948	0.9789159297943115	0.17162707	Yes	
row_48	ACO2	5012	0.9686259031295776	0.17404538	Yes	
row_49	HES6	5296	0.9186729192733765	0.16478784	Yes	
row_50	TAT	5369	0.9067642688751221	0.16637786	Yes	
row_51	CYP2E1	5420	0.8969638347625732	0.16904873	Yes	
row_52	SPINT2	5451	0.8892219662666321	0.17270903	Yes	
row_53	FAS	5516	0.8787984848022461	0.17454906	Yes	
row_54	ITIH1	5541	0.8744010329246521	0.17843293	Yes	
row_55	LEAP2	5610	0.8618609309196472	0.17996669	Yes	
row_56	SLC1A5	5616	0.861127495765686	0.18475585	Yes	
row_57	REG1A	5671	0.8535692095756531	0.18696538	Yes	
row_58	RBP4	5884	0.8228840827941895	0.18081994	Yes	
row_59	UGDH	5888	0.8222204446792603	0.18548451	Yes	
row_60	CA2	5932	0.8157137036323547	0.18804128	Yes	
row_61	GCKR	6275	0.761660099029541	0.17481062	No	
row_62	PTGES3	6363	0.747403085231781	0.17469037	No	
row_63	ACOX1	6630	0.7054762244224548	0.16506267	No	
row_64	GART	6724	0.6942771673202515	0.16432054	No	
row_65	GSTA3	6810	0.6789490580558777	0.16390249	No	
row_66	ALAS1	6933	0.6583144664764404	0.16144906	No	
row_67	CDA	6968	0.6543585062026978	0.16352566	No	
row_68	G6PC	6982	0.6525487899780273	0.16667822	No	
row_69	MAOA	7035	0.6440533995628357	0.16776307	No	
row_70	NDRG2	7344	0.5961412191390991	0.15532134	No	
row_71	PTGDS	7348	0.595133900642395	0.15865473	No	
row_72	CYP1A1	7388	0.5890136957168579	0.16008958	No	
row_73	DHRS7	7456	0.5765952467918396	0.16000289	No	
row_74	ANGPTL3	7587	0.5547095537185669	0.1565282	No	
row_75	SERPINA6	7946	0.5012456774711609	0.14094315	No	
row_76	AP4B1	7980	0.4964340627193451	0.14214575	No	
row_77	ID2	8067	0.482917845249176	0.14052685	No	
row_78	NPC1	8116	0.47536006569862366	0.14082979	No	
row_79	ITIH4	8183	0.46359750628471375	0.14013246	No	
row_80	ARG1	8223	0.45737019181251526	0.14079562	No	
row_81	SLC6A6	8401	0.428926557302475	0.13415177	No	
row_82	BPHL	8515	0.4115915596485138	0.13071774	No	
row_83	CAT	8599	0.3986204266548157	0.12875992	No	
row_84	CYP2S1	8615	0.3962516784667969	0.13030659	No	
row_85	GCH1	8716	0.3829527497291565	0.12737732	No	
row_86	GCLC	8792	0.3705100417137146	0.12566863	No	
row_87	ALDH3A1	8904	0.3540847599506378	0.12200099	No	
row_88	DDAH2	9125	0.31527960300445557	0.1124661	No	
row_89	AHCY	9168	0.30974888801574707	0.11210869	No	
row_90	NFS1	9281	0.2915045917034149	0.10802247	No	
row_91	PSMB10	9293	0.2891032099723816	0.10914801	No	
row_92	ABHD6	9350	0.28056368231773376	0.10789515	No	
row_93	ENTPD5	9423	0.2696664333343506	0.10575055	No	
row_94	SERPINE1	9435	0.2681344449520111	0.106753185	No	
row_95	MAN1A1	9698	0.22890344262123108	0.09453883	No	
row_96	F10	9814	0.21136829257011414	0.08982763	No	
row_97	SLC22A1	9841	0.20586569607257843	0.08968913	No	
row_98	MTHFD1	9883	0.19957247376441956	0.08873762	No	
row_99	ARG2	9933	0.1925119012594223	0.087330796	No	
row_100	ENPEP	9981	0.1843031495809555	0.085979335	No	
row_101	SMOX	9995	0.1827469766139984	0.08637795	No	
row_102	PAPSS2	10047	0.17505759000778198	0.08476532	No	
row_103	BCAR1	10056	0.17408870160579681	0.08537189	No	
row_104	PTS	10237	0.1461942046880722	0.07691547	No	
row_105	GSTT2	10263	0.14167597889900208	0.076452434	No	
row_106	ETFDH	10554	0.0969604104757309	0.062015895	No	
row_107	ADH1C	10783	0.05950154364109039	0.05056772	No	
