NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	183	-0.44040504	-2.4767783	0.0	0.0	0.0	4472	tags=48%, list=23%, signal=61%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	-0.45578617	-2.261858	0.0	0.0	0.0	2295	tags=35%, list=12%, signal=39%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	139	-0.35465074	-1.8982491	0.0	0.0024503204	0.003	5417	tags=47%, list=28%, signal=65%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	-0.34583613	-1.7033973	0.0	0.014841314	0.013	2960	tags=30%, list=15%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	148	-0.30113274	-1.6374913	0.0	0.024927093	0.031	3290	tags=30%, list=17%, signal=35%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	96	-0.3126747	-1.5375344	0.013953488	0.04363255	0.074	4930	tags=46%, list=25%, signal=61%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	192	-0.25272563	-1.3974806	0.006369427	0.10937261	0.196	3106	tags=24%, list=16%, signal=29%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	199	-0.24045472	-1.351252	0.021582734	0.13438481	0.266	3162	tags=24%, list=16%, signal=28%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	-0.26145443	-1.2653145	0.09615385	0.2332928	0.468	1765	tags=19%, list=9%, signal=21%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	191	-0.22309054	-1.2416464	0.052238807	0.2548295	0.543	3798	tags=28%, list=19%, signal=34%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	190	-0.22426385	-1.2290443	0.06944445	0.25640336	0.58	2997	tags=23%, list=15%, signal=27%	
