NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.028957048	No	
row_1	BID	1711	1.7363537549972534	-0.03690557	No	
row_2	COA6	2371	1.5394113063812256	-0.054548703	No	
row_3	COX10	2377	1.5386830568313599	-0.038564466	No	
row_4	NDUFC1	3715	1.2238212823867798	-0.09440814	No	
row_5	NDUFA8	3925	1.1836007833480835	-0.0926636	No	
row_6	DLD	4358	1.094812035560608	-0.10332509	No	
row_7	COX6A2	4845	0.9951696395874023	-0.117815554	No	
row_8	TAZ	5538	0.873523473739624	-0.14418457	No	
row_9	NDUFA12	5586	0.8646206259727478	-0.13747537	No	
row_10	NDUFAF1	5929	0.8058443665504456	-0.14655834	No	
row_11	NDUFS1	6931	0.6343437433242798	-0.19134378	No	
row_12	COX5A	7578	0.5214351415634155	-0.21906346	No	
row_13	NDUFB11	8315	0.40153706073760986	-0.25267738	No	
row_14	COX4I1	8536	0.3634472191333771	-0.2601556	No	
row_15	NDUFA7	8930	0.2970602214336395	-0.2772319	No	
row_16	COX4I2	9504	0.1988724023103714	-0.30460197	No	
row_17	UQCC3	9615	0.1809123456478119	-0.30834964	No	
row_18	NDUFS8	10097	0.10300202667713165	-0.33200014	No	
row_19	CDK1	10313	0.06526241451501846	-0.34236866	No	
row_20	CCNB1	10451	0.04296005889773369	-0.34896106	No	
row_21	NDUFA4	11279	-0.1028551384806633	-0.3904078	No	
row_22	COX7B	11723	-0.18262729048728943	-0.41126347	No	
row_23	COX6A1	11770	-0.1886952668428421	-0.41163749	No	
row_24	COX15	11911	-0.2128962278366089	-0.41659045	No	
row_25	SNCA	12229	-0.2721736431121826	-0.43002078	No	
row_26	NDUFS7	12400	-0.3043666183948517	-0.43555114	No	
row_27	NDUFS2	12515	-0.32551494240760803	-0.43797818	No	
row_28	NDUFA13	12589	-0.33796200156211853	-0.43816525	No	
row_29	CYCS	12700	-0.35806408524513245	-0.440043	No	
row_30	NDUFS3	12921	-0.40061450004577637	-0.44712892	No	
row_31	NDUFV1	12966	-0.41017112135887146	-0.4450623	No	
row_32	NDUFB10	13252	-0.47012507915496826	-0.45475745	No	
row_33	NDUFA10	13492	-0.512168288230896	-0.46164304	No	
row_34	NDUFA2	13601	-0.5339803695678711	-0.46156108	No	
row_35	SDHD	13699	-0.5526789426803589	-0.460716	No	
row_36	SDHA	13877	-0.5914117693901062	-0.46357653	No	
row_37	NDUFB2	14354	-0.6788054704666138	-0.48089203	No	
row_38	NDUFA11	14362	-0.6797233819961548	-0.47407728	No	
row_39	COX5B	14719	-0.7550846338272095	-0.48441607	No	
row_40	NDUFA6	14765	-0.7650474309921265	-0.47865504	No	
row_41	NDUFA9	14866	-0.7830516695976257	-0.47553262	No	
row_42	CYC1	14902	-0.7885197997093201	-0.46900952	No	
row_43	COX7A2L	15216	-0.8581799864768982	-0.47604862	No	
row_44	COQ9	15983	-1.0453617572784424	-0.5044096	Yes	
row_45	NDUFB6	16054	-1.061004877090454	-0.49681038	Yes	
row_46	UQCRB	16078	-1.0665067434310913	-0.48673588	Yes	
row_47	NDUFB8	16219	-1.0987626314163208	-0.4823382	Yes	
row_48	NDUFB9	16487	-1.1634575128555298	-0.4837892	Yes	
row_49	DNAJC15	16498	-1.1669725179672241	-0.47198567	Yes	
row_50	NDUFB4	16804	-1.2538002729415894	-0.4744374	Yes	
row_51	PINK1	16992	-1.306217908859253	-0.47026715	Yes	
row_52	NDUFB7	17144	-1.3499342203140259	-0.46378395	Yes	
row_53	UQCRHL	17156	-1.3530917167663574	-0.45006728	Yes	
row_54	NDUFB5	17440	-1.4468022584915161	-0.44935036	Yes	
row_55	MECP2	17609	-1.496090054512024	-0.44219875	Yes	
row_56	COX6B1	17732	-1.5409563779830933	-0.43220782	Yes	
row_57	UQCRC2	17851	-1.5899460315704346	-0.42149404	Yes	
row_58	UQCR10	18007	-1.657707691192627	-0.4119679	Yes	
row_59	UQCR11	18072	-1.6881605386734009	-0.39744022	Yes	
row_60	COX6C	18097	-1.6976392269134521	-0.38075534	Yes	
row_61	SDHAF2	18247	-1.7632315158843994	-0.36980677	Yes	
row_62	COX8A	18275	-1.7718786001205444	-0.35249254	Yes	
row_63	NDUFS5	18399	-1.8300461769104004	-0.33950156	Yes	
row_64	UQCRH	18432	-1.8432153463363647	-0.32169145	Yes	
row_65	NDUFS4	18491	-1.8779492378234863	-0.30485192	Yes	
row_66	ISCU	18558	-1.9076142311096191	-0.2881107	Yes	
row_67	NDUFA1	18708	-1.9966981410980225	-0.2746978	Yes	
row_68	NDUFB3	18723	-2.0082199573516846	-0.2542203	Yes	
row_69	UQCRQ	18821	-2.075815439224243	-0.23729798	Yes	
row_70	NDUFA5	18928	-2.1558778285980225	-0.21999343	Yes	
row_71	PARK7	18962	-2.18536376953125	-0.19862325	Yes	
row_72	NDUFV2	18963	-2.1861724853515625	-0.17554738	Yes	
row_73	SDHC	18989	-2.208305597305298	-0.15352362	Yes	
row_74	NDUFS6	19077	-2.2985856533050537	-0.13373557	Yes	
row_75	UQCRFS1	19083	-2.30952525138855	-0.1096148	Yes	
row_76	NDUFB1	19099	-2.326361894607544	-0.08583061	Yes	
row_77	NDUFA3	19188	-2.4321136474609375	-0.06468454	Yes	
row_78	COX7C	19260	-2.545414924621582	-0.04146823	Yes	
row_79	NDUFV3	19280	-2.5732030868530273	-0.015284259	Yes	
row_80	NDUFAB1	19312	-2.6319806575775146	0.010902974	Yes	
