NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLOC1S3	1191	1.9478710889816284	-0.038107842	No	
row_1	AP3B2	1270	1.9117175340652466	-0.01943568	No	
row_2	APBA1	2212	1.5787527561187744	-0.049072728	No	
row_3	KIF4A	2314	1.5501281023025513	-0.03587283	No	
row_4	WASF1	3663	1.235373854637146	-0.09050394	No	
row_5	TRIM46	3977	1.1754581928253174	-0.09264623	No	
row_6	RAB27B	4271	1.1119945049285889	-0.09451345	No	
row_7	SPAST	4822	0.9995141625404358	-0.11092517	No	
row_8	SPG7	5427	0.8929786682128906	-0.1313765	No	
row_9	FLOT2	6103	0.7744420170783997	-0.15688364	No	
row_10	KIF1A	6704	0.6714746356010437	-0.1797574	No	
row_11	NEFL	6787	0.658486008644104	-0.1761597	No	
row_12	KIF17	6893	0.6414276361465454	-0.1739466	No	
row_13	DLG2	8015	0.45003655552864075	-0.22622733	No	
row_14	FBXW11	8196	0.4222050607204437	-0.23047024	No	
row_15	KIF5C	8682	0.3401937782764435	-0.25136337	No	
row_16	KIF1C	9366	0.2202889770269394	-0.28385642	No	
row_17	SNAPIN	9436	0.20934082567691803	-0.28491935	No	
row_18	CNIH2	10117	0.09996829181909561	-0.31868574	No	
row_19	FEZ1	10239	0.0754980593919754	-0.32400948	No	
row_20	MAP1A	10240	0.07541760057210922	-0.3231147	No	
row_21	DTNBP1	10995	-0.0558810718357563	-0.3612078	No	
row_22	BLOC1S4	11258	-0.09948824346065521	-0.37349442	No	
row_23	KIF1B	11998	-0.22932566702365875	-0.4087587	No	
row_24	AGBL4	12625	-0.3435039222240448	-0.43686002	No	
row_25	BLOC1S6	12893	-0.39517828822135925	-0.44589546	No	
row_26	AP3S2	12908	-0.3973723351955414	-0.44190046	No	
row_27	AP3S1	13791	-0.574114203453064	-0.4804243	No	
row_28	BORCS5	13945	-0.6023961305618286	-0.48114154	No	
row_29	NDEL1	13977	-0.6084186434745789	-0.47551644	No	
row_30	TMEM108	14095	-0.6304426193237305	-0.4740505	No	
row_31	KIF5B	14277	-0.6634596586227417	-0.47548243	No	
row_32	APP	14316	-0.6711649298667908	-0.46947268	No	
row_33	DST	14428	-0.6907675862312317	-0.4669826	No	
row_34	RAB21	14653	-0.7452244162559509	-0.4696547	No	
row_35	AP3M1	14963	-0.8004554510116577	-0.47604057	No	
row_36	MAPT	15095	-0.8294718861579895	-0.47293288	No	
row_37	BLOC1S1	15500	-0.9258116483688354	-0.4827145	Yes	
row_38	HAP1	15537	-0.935738742351532	-0.47346294	Yes	
row_39	HNRNPU	15609	-0.9562097191810608	-0.46576753	Yes	
row_40	KLC3	15782	-0.9968770742416382	-0.46278107	Yes	
row_41	MGARP	16059	-1.0621354579925537	-0.46436605	Yes	
row_42	BLOC1S5	16223	-1.0998930931091309	-0.45969474	Yes	
row_43	AP3M2	16483	-1.162335991859436	-0.4592171	Yes	
row_44	DYNC1H1	16500	-1.1671946048736572	-0.44619143	Yes	
row_45	ARL8A	16536	-1.1765731573104858	-0.4340311	Yes	
row_46	SFPQ	16865	-1.2701878547668457	-0.43582046	Yes	
row_47	TERF2	17175	-1.3597303628921509	-0.43557087	Yes	
row_48	SYBU	17573	-1.4850742816925049	-0.43835738	Yes	
row_49	TRAK2	17765	-1.5563966035842896	-0.4297092	Yes	
row_50	AP3B1	17981	-1.6448254585266113	-0.42124543	Yes	
row_51	KIF3B	18023	-1.6641098260879517	-0.40360916	Yes	
row_52	ARL8B	18146	-1.719680905342102	-0.38947704	Yes	
row_53	PAFAH1B1	18159	-1.7250932455062866	-0.3696266	Yes	
row_54	SOD1	18379	-1.8206281661987305	-0.35928267	Yes	
row_55	PURA	18666	-1.9732905626296997	-0.35057133	Yes	
row_56	OPA1	18669	-1.9749009609222412	-0.3272431	Yes	
row_57	MAP2	18695	-1.9887795448303223	-0.3049324	Yes	
row_58	UCHL1	18706	-1.9955471754074097	-0.2817704	Yes	
row_59	KIF5A	18812	-2.070221185684204	-0.2626055	Yes	
row_60	KIF3A	18828	-2.0819926261901855	-0.23867488	Yes	
row_61	SPG11	19059	-2.2729756832122803	-0.2235295	Yes	
row_62	TRAK1	19119	-2.3473849296569824	-0.1987118	Yes	
row_63	HSPA8	19182	-2.422741413116455	-0.17315422	Yes	
row_64	BLOC1S2	19227	-2.49771785736084	-0.14578189	Yes	
row_65	MAPK8IP3	19237	-2.5163168907165527	-0.116389856	Yes	
row_66	AP3D1	19254	-2.537729501724243	-0.08710359	Yes	
row_67	ACTR10	19274	-2.5651779174804688	-0.05764586	Yes	
row_68	HIF1A	19284	-2.5808393955230713	-0.027488314	Yes	
row_69	HSPB1	19501	-3.352297067642212	0.0011821929	Yes	
