NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.013251974	No	
row_1	NOS2	138	2.8670382499694824	0.025694529	No	
row_2	IDH2	730	2.192805290222168	0.007212517	No	
row_3	IDE	911	2.092116594314575	0.0094067715	No	
row_4	BID	1711	1.7363537549972534	-0.022326281	No	
row_5	BNIP3	1924	1.6713377237319946	-0.024096213	No	
row_6	IL4	2247	1.5685434341430664	-0.032112602	No	
row_7	SLC25A25	2301	1.553663730621338	-0.026316093	No	
row_8	COA6	2371	1.5394113063812256	-0.021424318	No	
row_9	COX10	2377	1.5386830568313599	-0.013230759	No	
row_10	UCN	2517	1.5001511573791504	-0.012170338	No	
row_11	SLC25A13	3117	1.3529877662658691	-0.035678603	No	
row_12	IFNG	3492	1.271813988685608	-0.048010845	No	
row_13	NDUFC1	3715	1.2238212823867798	-0.052755464	No	
row_14	ACTN3	3859	1.194870114326477	-0.053578533	No	
row_15	NDUFA8	3925	1.1836007833480835	-0.050434574	No	
row_16	ADSL	4225	1.1225743293762207	-0.059712607	No	
row_17	AIFM2	4268	1.1123985052108765	-0.055771742	No	
row_18	DLD	4358	1.094812035560608	-0.054355163	No	
row_19	MTFR1	4359	1.0942580699920654	-0.04834452	No	
row_20	FAHD1	4744	1.0183550119400024	-0.06258551	No	
row_21	PDHB	4825	0.9991520047187805	-0.06122951	No	
row_22	CBFA2T3	4843	0.9953435063362122	-0.05664029	No	
row_23	COX6A2	4845	0.9951696395874023	-0.05122558	No	
row_24	PIK3CA	5169	0.9383277893066406	-0.06275533	No	
row_25	SLC25A23	5182	0.9356458187103271	-0.05823576	No	
row_26	MTFR1L	5266	0.9202563166618347	-0.05746808	No	
row_27	ETFA	5363	0.9044403433799744	-0.057458762	No	
row_28	SDHAF4	5415	0.895261824131012	-0.05517548	No	
row_29	TAZ	5538	0.873523473739624	-0.05667896	No	
row_30	NDUFA12	5586	0.8646206259727478	-0.054357376	No	
row_31	MYBBP1A	5769	0.8342354893684387	-0.059175834	No	
row_32	NDUFAF1	5929	0.8058443665504456	-0.06296223	No	
row_33	GPD1	6606	0.6863501667976379	-0.094109535	No	
row_34	NDUFS1	6931	0.6343437433242798	-0.10736068	No	
row_35	COX5A	7578	0.5214351415634155	-0.13786426	No	
row_36	MTFR2	7630	0.5121893882751465	-0.13768516	No	
row_37	ACO2	7888	0.4704584777355194	-0.14837578	No	
row_38	OGDHL	7935	0.46325182914733887	-0.14820722	No	
row_39	FLCN	8079	0.4394134283065796	-0.15317993	No	
row_40	NDUFB11	8315	0.40153706073760986	-0.16311276	No	
row_41	COX4I1	8536	0.3634472191333771	-0.17248002	No	
row_42	CAT	8594	0.35397377610206604	-0.17347988	No	
row_43	NDUFA7	8930	0.2970602214336395	-0.18915188	No	
row_44	SLC25A18	8990	0.28553515672683716	-0.19063099	No	
row_45	TRAP1	9029	0.2795025408267975	-0.19105853	No	
row_46	COX4I2	9504	0.1988724023103714	-0.21444961	No	
